row,key,attn,n_samples,n_sets,max_gen,flow_steps,no_reasoning,expert_graph,compile,static_cache,top_p,temperature,warmup_s,n_runs,p50_ms,p99_ms,mean_ms,nohook_p50_ms,prompt_tokens,vision_ms,prefill_ms,decode_ms,flow_ms,other_ms,decode_tokens,ms_per_token,peak_alloc_gb,peak_reserved_gb,gpu_util_before,gpu_others_before,gpu_others_after,graph_stats,error,drift_ade_m,cot_identical,minade_vs_gt_m,run
1-rollout x 6 flow samples,1-rollout x 6 flow samples/n6,flash_attention_2,1.0,6.0,256.0,10.0,False,False,(),False,0.98,0.6,,,,,,,,,,,,,,,,,,,,,"RuntimeError: The expanded size of the tensor (1) must match the existing size (6) at non-singleton dimension 0.  Target sizes: [1, 1, 64, 3086].  Tensor sizes: [6, 1, 64, 3086]",,,,bench1
compile-expert,compile-expert/n1,flash_attention_2,1.0,1.0,256.0,10.0,False,False,"('expert',)",False,0.98,0.6,162.35105681419373,16.0,936.5379284135996,1028.963478235528,906.7167977918872,902.7957855723798,3086.0,87.7207278390415,174.39159407513216,436.20807403931394,161.27151221735403,47.12488962104544,15.875,27.45250492771744,25.865593433380127,26.96875,0.0,[],[],,,0.0018732635071501,1.0,1.6226544380187988,bench1
compile-expert,compile-expert/n6,flash_attention_2,6.0,1.0,256.0,10.0,False,False,"('expert',)",False,0.98,0.6,184.08275508880615,16.0,2584.0496965683997,2656.475017685443,2558.938959438819,2508.4521980024874,3086.0,593.5722288559191,1026.7457416048271,445.52861544070765,412.3013269272633,80.79104661010206,16.75,26.544196945191185,31.966604709625244,33.443359375,12.0,[],[],,,0.0013816016726195,1.0,0.6184260845184326,bench1
compile-lm,compile-lm/n1,flash_attention_2,1.0,1.0,256.0,10.0,False,False,"('lm',)",False,0.98,0.6,15.795711994171144,16.0,1156.5175289288163,1267.579307500273,1114.580041030422,1153.2548582181334,3086.0,86.84055431513116,167.7608088357374,587.4748399946839,225.365718069952,47.138119814917445,15.875,37.00555599586243,25.26711940765381,26.615234375,2.0,[],[],,,0.0043227169662714,1.0,1.6237757205963137,bench1
default,default/n1,flash_attention_2,1.0,1.0,256.0,10.0,False,False,(),False,0.98,0.6,2.7933857440948486,16.0,983.3589880727232,1076.7932675313205,955.9523584903218,982.8343889676034,3086.0,82.68698159372434,174.66500593582168,429.8777674557641,223.71742664836347,45.00517685664818,15.875,27.081606172895174,22.072776794433594,22.458984375,1.0,[],[],,,0.0,1.0,1.6230891942977903,bench1
default,default/n6,flash_attention_2,6.0,1.0,256.0,10.0,False,False,(),False,0.98,0.6,5.499217510223389,16.0,2721.808623056859,2774.441049993038,2681.738782732282,2648.387141060084,3086.0,593.8682371634059,1031.3029736862518,433.8873118394986,543.8648603158072,78.81539972731844,16.75,25.979817397312093,29.17952013015747,31.365234375,0.0,[],[],,,0.0,1.0,0.6188420057296753,bench1
expert-cuda-graph,expert-cuda-graph/n1,flash_attention_2,1.0,1.0,256.0,10.0,False,True,(),False,0.98,0.6,2.347531795501709,16.0,939.8920084349812,1237.810011766851,961.3032660563476,933.8341276161372,3086.0,82.64008746482432,174.71317265881223,427.3272244608961,234.2338004964404,42.38898097537458,15.875,26.92438256958924,24.68600177764893,25.861328125,2.0,[],[],"{'captures': 6, 'replays': 220, 'eager_fallbacks': 0, 'graphs': 6}",,0.0,1.0,1.6230891942977903,bench1
expert-cuda-graph,expert-cuda-graph/n6,flash_attention_2,6.0,1.0,256.0,10.0,False,True,(),False,0.98,0.6,5.4331464767456055,16.0,2700.343172531575,2748.562272172421,2665.281570458319,2654.8896078020334,3086.0,589.0473045874387,1035.2541832835414,421.4442559168674,543.6106824199669,75.92514425050467,16.75,25.15645192384993,29.17952013015747,31.662109375,0.0,[],[],"{'captures': 6, 'replays': 220, 'eager_fallbacks': 0, 'graphs': 6}",,0.0,1.0,0.6188420057296753,bench1
flow-2,flow-2/n1,flash_attention_2,1.0,1.0,256.0,2.0,False,False,(),False,0.98,0.6,1.597687005996704,16.0,804.5617840252817,907.3735682293772,774.6468013501726,806.6109023056924,3086.0,86.64188563125208,176.09648971119896,427.5329958181828,45.770440192427486,38.60498999711126,15.875,26.92011434221034,25.3396520614624,26.615234375,1.0,[],[],,,0.5666236281394958,1.0,1.3648141622543335,bench1
flow-2,flow-2/n6,flash_attention_2,6.0,1.0,256.0,2.0,False,False,(),False,0.98,0.6,4.609847068786621,16.0,2263.612824026495,2326.0902285575867,2230.109925789293,2236.101368907839,3086.0,589.8467993247323,1036.3293015980162,426.8486897344701,107.76465729577468,69.32047783629969,16.75,25.47950298234333,29.17952013015747,31.662109375,12.0,[],[],,,0.5620718002319336,1.0,0.7610803246498108,bench1
flow-5,flow-5/n1,flash_attention_2,1.0,1.0,256.0,5.0,False,False,(),False,0.98,0.6,1.7673077583312988,16.0,882.716154679656,970.6773934420198,853.4426224068739,879.6686232089996,3086.0,86.43564773956314,174.78605470387265,437.1200460009277,113.91212441958488,41.18874954292551,15.875,27.490973917110356,25.3396520614624,26.615234375,0.0,[],[],,,0.1715002059936523,1.0,1.52774977684021,bench1
flow-5,flow-5/n6,flash_attention_2,6.0,1.0,256.0,5.0,False,False,(),False,0.98,0.6,4.8835978507995605,16.0,2428.960575722158,2490.0410783477128,2395.829730434343,2387.360783759505,3086.0,590.0849578320049,1033.6142621235922,428.0128851532936,271.60579949850217,72.51182582695037,16.75,25.545112652390795,29.17952013015747,31.662109375,15.0,[],[],,,0.17704439163208,1.0,0.6274475455284119,bench1
no-reasoning,no-reasoning/n1,flash_attention_2,1.0,1.0,256.0,10.0,True,False,(),False,0.98,0.6,1.1004221439361572,16.0,658.1307826563716,1293.0719666182997,767.9731511161663,651.2945690192282,3087.0,85.51846537739038,174.8546083108522,251.68613257119432,221.2706008576788,34.64334399905056,9.375,27.14504540460166,25.339872360229492,26.62109375,1.0,[],[],,,1.0815463066101074,0.0,1.4691143035888672,bench1
no-reasoning,no-reasoning/n6,flash_attention_2,6.0,1.0,256.0,10.0,True,False,(),False,0.98,0.6,4.568238973617554,16.0,2391.3532719016075,7212.867780542,2916.918222734239,2379.745709709823,3087.0,600.3688225755468,1037.2660632128827,638.5577364708297,544.7024754830636,96.02312499191612,22.8125,28.403151610956915,29.180916786193848,31.662109375,12.0,[],[],,,1.2805805206298828,0.0,0.5270323753356934,bench1
,noise-floor/n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2756675481796265,0.4166666666666667,,bench1
,noise-floor/n6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2854913473129272,0.4166666666666667,,bench1
reason-cap-16,reason-cap-16/n1,flash_attention_2,1.0,1.0,16.0,10.0,False,False,(),False,0.98,0.6,1.8761491775512695,16.0,924.3207168765366,942.018104251474,899.3788001826033,928.3640687353908,3086.0,85.27677471283823,174.78475294774398,373.4516547410749,223.4757826081477,42.389835172798485,13.875,26.921865979922146,25.3396520614624,26.611328125,1.0,[],[],,,2.0787549018859863,0.75,2.286986827850342,bench1
reason-cap-16,reason-cap-16/n6,flash_attention_2,6.0,1.0,16.0,10.0,False,False,(),False,0.98,0.6,5.255197763442993,16.0,2626.826009247452,2642.606830736622,2611.67397769168,2626.128625590354,3086.0,590.4977842001244,1037.8700859146193,368.17769304616377,542.7299459697679,72.39846856100485,14.125,26.13630539095594,29.17952013015747,31.662109375,12.0,[],[],,,2.3205864429473877,0.75,1.1218827962875366,bench1
reason-cap-32,reason-cap-32/n1,flash_attention_2,1.0,1.0,32.0,10.0,False,False,(),False,0.98,0.6,1.993590831756592,16.0,993.6454920098186,1075.5135659594089,958.071336208377,990.8867278136312,3086.0,86.49705280549824,174.7037079767324,426.6853737644851,224.2900705896318,45.89513107202947,15.875,26.864857037692904,25.3396520614624,26.615234375,1.0,[],[],,,0.0,1.0,1.6230891942977903,bench1
reason-cap-32,reason-cap-32/n6,flash_attention_2,6.0,1.0,32.0,10.0,False,False,(),False,0.98,0.6,5.480205774307251,16.0,2708.9922321029007,2818.464002944529,2679.3475414742716,2667.648198083043,3086.0,589.7285041282885,1037.393797072582,431.1578353517689,543.5848446795717,77.48256024206057,16.75,25.69924391565077,29.17952013015747,31.662109375,12.0,[],[],,,0.0,1.0,0.6188420057296753,bench1
