route_id,town,attempt,status,killed,wall_s,ticks,total_ms,world_tick_ms,tree_ms,agent_ms,mib_in,server_age_routes,server_index
10857,Town12,1,finished,,535.9,4000,110.519,90.159,16.669,1.876,4132.2,12,65
11381,Town12,1,finished,,618.4,4000,134.817,86.692,44.739,1.982,4132.2,14,66
11715,Town12,1,server_died_rc139,server_died_rc139,150.2,,,,,,,15,63
11715,Town12,2,server_died_rc139,server_died_rc139,155.2,,,,,,,0,71
11715,Town12,3,server_died_rc139,server_died_rc139,165.2,,,,,,,0,79
11755,Town12,1,server_died_rc139,server_died_rc139,235.2,,,,,,,1,86
11755,Town12,2,server_died_rc139,server_died_rc139,245.2,,,,,,,0,94
11755,Town12,3,server_died_rc139,server_died_rc139,240.2,,,,,,,0,102
14194,Town12,1,finished,,443.4,4000,93.088,71.146,18.799,1.401,4132.2,1,88
14842,Town12,1,finished,,641.3,3494,160.706,110.885,46.493,1.944,3609.0,8,85
14862,Town12,1,finished,,631.3,3941,141.544,95.281,42.904,1.791,4070.4,15,60
14909,Town12,1,finished,,561.3,3723,131.318,85.439,42.751,1.631,3848.0,11,67
1711,Town12,1,finished,,197.2,1479,92.526,50.866,37.939,2.837,1532.6,0,60
17563,Town12,1,finished,,550.0,4000,120.457,70.993,46.543,1.581,4132.2,13,65
17569,Town12,1,finished,,444.5,4000,94.076,72.258,18.899,1.339,4132.2,2,88
17598,Town12,1,finished,,763.9,4000,175.217,143.762,27.917,1.852,4132.2,0,87
17635,Town12,1,finished,,422.8,4000,88.804,64.454,21.329,1.14,4132.2,15,66
17655,Town12,1,finished,,598.4,4000,131.971,106.52,22.099,1.592,4132.2,12,67
1773,Town12,1,finished,,488.8,4000,107.865,77.337,27.321,1.895,4132.2,0,61
17752,Town12,1,finished,,651.7,4000,143.741,94.412,46.159,1.783,4132.2,9,85
1790,Town12,1,finished,,630.5,4000,142.269,93.576,45.135,2.263,4132.2,0,62
1792,Town12,1,finished,,452.0,4000,99.299,61.459,34.637,1.622,4132.2,0,64
1825,Town12,1,finished,,430.1,4000,91.37,59.586,29.043,1.473,4132.2,0,65
18252,Town12,1,finished,,383.6,1995,153.749,95.599,55.172,1.809,2068.2,16,60
18305,Town12,1,finished,,176.2,1317,82.57,67.566,12.224,1.202,1367.8,0,110
18311,Town12,1,finished,,179.4,1323,82.481,66.655,12.804,1.461,1371.9,14,65
1833,Town12,1,finished,,144.6,1294,65.774,47.39,15.168,1.836,1343.1,0,66
18356,Town12,1,finished,,540.3,4000,117.059,81.628,32.327,1.641,4132.2,3,88
1852,Town12,1,finished,,186.7,1301,87.28,70.67,13.155,1.826,1351.3,0,63
1956,Town12,1,finished,,501.6,4000,107.135,87.23,16.753,1.576,4132.2,0,67
2050,Town12,1,finished,,590.3,4000,129.227,71.718,54.367,1.629,4132.2,1,60
2082,Town12,1,finished,,442.2,2207,166.645,110.025,53.044,1.969,2286.5,1,66
2084,Town12,1,finished,,706.5,4000,158.949,99.381,56.236,1.859,4132.2,1,63
2086,Town12,1,finished,,513.4,4000,111.14,87.489,20.395,1.622,4132.2,1,61
2091,Town12,1,finished,,364.5,4000,73.582,48.88,21.936,1.098,4132.2,1,64
20920,Town12,1,finished,,349.5,2606,107.249,77.369,27.022,1.333,2694.4,16,66
2115,Town12,1,finished,,405.9,4000,83.086,62.43,17.562,1.359,4132.2,1,65
2127,Town12,1,finished,,193.2,1313,95.648,47.182,46.212,1.144,1363.7,1,62
2129,Town12,1,finished,,210.6,1309,106.109,58.643,45.183,1.195,1359.6,2,66
2143,Town12,1,finished,,206.8,1319,104.151,82.848,18.677,1.227,1367.8,1,67
2144,Town12,1,finished,,293.2,1803,118.836,93.565,21.507,1.814,1870.4,2,60
2164,Town12,1,finished,,207.2,1313,102.686,78.295,21.106,1.548,1363.7,2,62
2201,Town12,1,finished,,551.6,4000,120.361,76.241,40.816,1.582,4132.2,3,66
2204,Town12,1,finished,,502.5,4000,107.911,55.978,49.204,1.483,4132.2,2,67
2215,Town12,1,finished,,654.1,4000,142.981,95.793,44.076,1.717,4132.2,2,64
2273,Town12,1,finished,,335.2,4000,66.065,48.787,15.16,0.977,4132.2,2,65
2283,Town12,1,finished,,593.0,4000,130.731,99.034,28.984,1.628,4132.2,3,62
2286,Town12,1,finished,,235.7,1475,114.851,75.354,36.816,1.084,1528.5,2,61
23658,Town12,1,server_died_rc139,server_died_rc139,230.2,,,,,,,1,110
23658,Town12,2,finished,,427.2,4000,88.437,64.013,21.107,1.423,4132.2,0,118
23659,Town12,1,finished,,385.9,4000,79.703,59.421,17.589,1.187,4132.2,15,65
23670,Town13,1,server_died_rc139,server_died_rc139,250.3,,,,,,,17,60
23670,Town13,2,server_died_rc139,server_died_rc139,235.2,,,,,,,0,68
23670,Town13,3,server_died_rc139,server_died_rc139,245.3,,,,,,,0,76
23687,Town12,1,server_died_rc139,server_died_rc139,350.3,,,,,,,1,87
23687,Town12,2,server_died_rc139,server_died_rc139,375.3,,,,,,,0,95
23687,Town12,3,server_died_rc139,server_died_rc139,330.2,,,,,,,0,103
23695,Town13,1,server_died_rc139,server_died_rc139,175.4,,,,,,,13,67
23695,Town13,2,server_died_rc139,server_died_rc139,165.2,,,,,,,0,75
23695,Town13,3,server_died_rc139,server_died_rc139,195.2,,,,,,,0,83
23700,Town12,1,finished,,410.4,2469,137.623,93.174,40.799,2.091,2554.3,17,66
23708,Town12,1,server_died_rc139,server_died_rc139,135.3,,,,,,,10,85
23708,Town12,2,server_died_rc139,server_died_rc139,140.2,,,,,,,0,93
23708,Town12,3,server_died_rc139,server_died_rc139,160.2,,,,,,,0,101
2373,Town12,1,finished,,234.8,1408,116.161,92.855,20.458,1.187,1462.6,2,63
23771,Town12,1,finished,,413.5,4000,84.968,61.896,19.43,1.703,4132.2,16,65
2390,Town12,1,finished,,190.0,1379,86.092,65.966,17.875,0.823,1429.6,3,60
23901,Town13,1,finished,,378.7,2840,95.445,66.006,24.641,1.908,2937.5,4,88
23910,Town12,1,finished,,298.1,2397,95.52,73.003,18.872,2.17,2480.2,1,118
23918,Town13,1,finished,,596.0,4000,119.658,80.169,34.561,1.989,4132.2,18,66
23930,Town12,1,finished,,417.9,3348,105.302,72.153,30.274,1.757,3460.7,17,65
2397,Town12,1,finished,,196.8,1307,101.154,66.477,32.501,1.089,1355.4,3,61
2403,Town12,1,finished,,153.6,1455,63.943,46.152,15.569,0.793,1507.9,4,60
24041,Town13,1,server_died_rc139,server_died_rc139,220.3,,,,,,,5,88
24041,Town13,2,server_died_rc139,server_died_rc139,225.2,,,,,,,0,96
24041,Town13,3,server_died_rc139,server_died_rc139,215.3,,,,,,,0,104
24071,Town13,1,server_died_rc139,server_died_rc139,170.2,,,,,,,0,84
24071,Town13,2,server_died_rc139,server_died_rc139,175.2,,,,,,,0,92
24071,Town13,3,server_died_rc139,server_died_rc139,160.4,,,,,,,0,100
24078,Town12,1,finished,,281.6,1658,128.75,94.737,30.858,1.719,1718.0,0,109
24092,Town13,1,finished,,474.7,4000,93.224,55.862,32.73,1.566,4132.2,0,91
24098,Town12,1,finished,,465.7,4000,95.241,78.118,14.298,1.493,4132.2,2,118
2416,Town12,1,finished,,240.4,2215,79.736,63.656,13.684,1.099,2294.8,3,63
24206,Town03,1,finished,,340.2,4000,78.163,67.398,9.232,1.05,4132.2,1,109
24211,Town01,1,finished,,88.7,1330,51.13,43.925,6.044,0.753,1380.2,18,65
