arm,vs,readout,n,value,delta,lo,hi,halfwidth,cluster_mean,cluster_mean_vs
A ridge_late pooled (qwen4b L18),ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8477610349655151,-0.03014889732003212,-0.06417250335093513,0.0060594464250453405,0.03511597488799024,,
A ridge_late pooled (qwen4b L18),ridge ego,"(ii) all frames, deciles 1-9",17695,1.5304445028305054,-0.04414934292435646,-0.06329510347031,-0.02815098386980323,0.017572059800253385,,
A ridge_late pooled (qwen4b L18),ridge ego,"side: straight, deciles 1-9",10645,1.3738049268722534,-0.0699676051735878,-0.096368703224986,-0.043931956851947465,0.02621837318651927,,
A ridge_late pooled (qwen4b L18),ridge ego,"(iii) RFS, rater frames",478,7.084776393118838,-0.01959122047847954,-0.08269997806000981,0.0446905028507344,0.0636952404553721,7.0514250633873985,7.10118790904095
d vjepa2 mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8291336297988892,-0.04877632111310959,-0.09525333086002093,0.0007579234963794627,0.04800562717820019,,
d vjepa2 mean,ridge ego,"(ii) all frames, deciles 1-9",17695,1.5446871519088745,-0.029906712472438812,-0.04845092659823114,-0.012794672354545716,0.01782812712184271,,
d vjepa2 mean,ridge ego,"side: straight, deciles 1-9",10645,1.39303457736969,-0.05073782429099083,-0.07468355703974382,-0.02437737654728406,0.02515309024622988,,
d vjepa2 mean,ridge ego,"(iii) RFS, rater frames",478,7.11588178474211,0.011514171144792681,-0.10203365538036537,0.1125493720497659,0.10729151371506562,7.053958583473969,7.10118790904095
d2 qwenvid L18_last,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8286902904510498,-0.04921954497694969,-0.07319873336433219,-0.02771199231736815,0.02274337052348202,,
d2 qwenvid L18_last,ridge ego,"(ii) all frames, deciles 1-9",17695,1.5532394647598267,-0.021354468539357185,-0.03232572207913892,-0.010821960932146156,0.01075188057349638,,
d2 qwenvid L18_last,ridge ego,"side: straight, deciles 1-9",10645,1.4161045551300049,-0.027667835354804993,-0.04497039680581679,-0.012425905371955655,0.016272245716930568,,
d2 qwenvid L18_last,ridge ego,"(iii) RFS, rater frames",478,7.109694873575922,0.005327259978603574,-0.06387286835769766,0.07486614324977157,0.06936950580373462,7.068993894224159,7.10118790904095
d2 qwenvid L18_mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8160630464553833,-0.06184669956564903,-0.1021562047747784,-0.023634384351275503,0.039260910211751446,,
d2 qwenvid L18_mean,ridge ego,"(ii) all frames, deciles 1-9",17695,1.5369101762771606,-0.03768365457653999,-0.057747735462740306,-0.01975611357546585,0.018995810943637226,,
d2 qwenvid L18_mean,ridge ego,"side: straight, deciles 1-9",10645,1.3867881298065186,-0.05698428675532341,-0.08390985465471122,-0.02918947517939879,0.027360189737656214,,
d2 qwenvid L18_mean,ridge ego,"(iii) RFS, rater frames",478,7.069874845515429,-0.03449276808188887,-0.1182999214851889,0.04910824016367941,0.08370408082443416,7.064352451050986,7.10118790904095
op-small temporal,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8229631185531616,-0.05494685098528862,-0.14083641168053546,0.03259299129563738,0.08671470148808641,,
op-small temporal,ridge ego,"(ii) all frames, deciles 1-9",17695,1.3733643293380737,-0.20122934877872467,-0.23418549337821717,-0.17199480006714968,0.031095346655533748,,
op-small temporal,ridge ego,"side: straight, deciles 1-9",10645,1.1634581089019775,-0.2803143858909607,-0.3215666661612639,-0.2383841701951251,0.0415912479830694,,
op-small temporal,ridge ego,"(iii) RFS, rater frames",478,7.044859581508031,-0.059508032089288156,-0.22867415635796276,0.0929810693220051,0.16082761283998392,7.013966328475696,7.10118790904095
op-small vision,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8485339879989624,-0.029375990852713585,-0.10791949285400779,0.05149335108283525,0.07970642196842152,,
op-small vision,ridge ego,"(ii) all frames, deciles 1-9",17695,1.37638258934021,-0.1982111781835556,-0.22864784570215005,-0.16912299825677218,0.029762423722688933,,
op-small vision,ridge ego,"side: straight, deciles 1-9",10645,1.1780208349227905,-0.26575157046318054,-0.305564090946187,-0.22526116152843906,0.04015146470887396,,
op-small vision,ridge ego,"(iii) RFS, rater frames",478,7.0385451408247155,-0.06582247277260289,-0.21755337204093872,0.07033051643603856,0.14394194423848863,7.008368443907389,7.10118790904095
op-small hidden,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.828021764755249,-0.04988815262913704,-0.1469783580914693,0.04260567001004875,0.09479201405075903,,
op-small hidden,ridge ego,"(ii) all frames, deciles 1-9",17695,1.3709455728530884,-0.20364819467067719,-0.2373555826496636,-0.17449138252406615,0.03143210006279873,,
op-small hidden,ridge ego,"side: straight, deciles 1-9",10645,1.1518025398254395,-0.29196974635124207,-0.3341532849731371,-0.2519324183422808,0.04111043331542816,,
op-small hidden,ridge ego,"(iii) RFS, rater frames",478,6.9705825656500044,-0.1337850479473123,-0.29474385915686874,0.010758560242415352,0.15275120969964204,6.9520237399137965,7.10118790904095
op-small plan,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8908380270004272,0.012928169220685959,-0.10073109728129115,0.12764901036125192,0.11419005382127154,,
op-small plan,ridge ego,"(ii) all frames, deciles 1-9",17695,1.3632911443710327,-0.21130256354808807,-0.24521481815111257,-0.17953365217504116,0.0328405829880357,,
op-small plan,ridge ego,"side: straight, deciles 1-9",10645,1.1715424060821533,-0.272229939699173,-0.3166369442265815,-0.2310697263617558,0.042783608932412856,,
op-small plan,ridge ego,"(iii) RFS, rater frames",478,7.1129144051765065,0.008546791579187387,-0.14305614046647358,0.1573769344324431,0.15021653744945834,7.110103572778263,7.10118790904095
op-cinque temporal,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.7367011308670044,-0.1412087082862854,-0.24653229621884565,-0.027075673930049445,0.1097283111443981,,
op-cinque temporal,ridge ego,"(ii) all frames, deciles 1-9",17695,1.2521586418151855,-0.322435200214386,-0.35568510390206026,-0.2888031282183196,0.03344098784187033,,
op-cinque temporal,ridge ego,"side: straight, deciles 1-9",10645,1.0640982389450073,-0.37967416644096375,-0.42453817417738643,-0.3372942582984953,0.043621957939445566,,
op-cinque temporal,ridge ego,"(iii) RFS, rater frames",478,7.392647988985744,0.2882803753884266,0.12190690351433833,0.4462837519838815,0.1621884242347716,7.408938890550992,7.10118790904095
op-cinque vision,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.803977608680725,-0.07393240183591843,-0.16945611216538575,0.0174234464264787,0.09343977929593222,,
op-cinque vision,ridge ego,"(ii) all frames, deciles 1-9",17695,1.360863447189331,-0.2137303352355957,-0.24678494982726024,-0.18380016423169623,0.031492392797782,,
op-cinque vision,ridge ego,"side: straight, deciles 1-9",10645,1.150422215461731,-0.2933502793312073,-0.3338046416681882,-0.2512054432578904,0.04129959920514889,,
op-cinque vision,ridge ego,"(iii) RFS, rater frames",478,7.076669436370813,-0.027698177226504292,-0.19417585429386502,0.13065300480173025,0.16241442954779764,7.0629206081849984,7.10118790904095
op-cinque hidden,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.7891875505447388,-0.08872231096029282,-0.17985935063655686,-0.0019375545714674619,0.0889608980325447,,
op-cinque hidden,ridge ego,"(ii) all frames, deciles 1-9",17695,1.314156174659729,-0.26043763756752014,-0.29301346657981436,-0.2303723590010818,0.03132055378936628,,
op-cinque hidden,ridge ego,"side: straight, deciles 1-9",10645,1.1115453243255615,-0.3322271704673767,-0.3740642088132966,-0.2901282484146657,0.04196798019931544,,
op-cinque hidden,ridge ego,"(iii) RFS, rater frames",478,7.091814407491943,-0.012553206105374715,-0.17229221341695772,0.13877643394821793,0.15553432368258782,7.061921685202348,7.10118790904095
op-cinque plan,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.797527551651001,-0.08038243651390076,-0.20582342569075118,0.04705211873303815,0.12643777221189467,,
op-cinque plan,ridge ego,"(ii) all frames, deciles 1-9",17695,1.2800118923187256,-0.2945818603038788,-0.32826566978370925,-0.25876869793482166,0.034748485924443795,,
op-cinque plan,ridge ego,"side: straight, deciles 1-9",10645,1.0838030576705933,-0.3599693179130554,-0.4072643143128969,-0.31470171528423563,0.04628129951433063,,
op-cinque plan,ridge ego,"(iii) RFS, rater frames",478,7.3824397271910955,0.27807211359377754,0.0965154274722265,0.4515880275830711,0.1775363000554223,7.433754389197984,7.10118790904095
op-lebowski temporal,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.7686978578567505,-0.1092120036482811,-0.23170271762103914,0.015328347775808984,0.12351553269842407,,
op-lebowski temporal,ridge ego,"(ii) all frames, deciles 1-9",17695,1.2582013607025146,-0.3163924515247345,-0.3527056266620854,-0.28072537880862614,0.03599012392672962,,
op-lebowski temporal,ridge ego,"side: straight, deciles 1-9",10645,1.062526822090149,-0.38124558329582214,-0.4267886212847693,-0.33519475873514837,0.045796931274810465,,
op-lebowski temporal,ridge ego,"(iii) RFS, rater frames",478,7.36445981839861,0.2600922048012924,0.09167133628379107,0.41501036990864365,0.1616695168124263,7.3776982963711735,7.10118790904095
op-lebowski vision,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.795393943786621,-0.08251620829105377,-0.18034374819190943,0.008414415159754038,0.09437908167583173,,
op-lebowski vision,ridge ego,"(ii) all frames, deciles 1-9",17695,1.3430848121643066,-0.2315090298652649,-0.2659564888747216,-0.20043968055472225,0.032758404159999685,,
op-lebowski vision,ridge ego,"side: straight, deciles 1-9",10645,1.1285064220428467,-0.3152660131454468,-0.35835750300408675,-0.2683599486561677,0.04499877717395953,,
op-lebowski vision,ridge ego,"(iii) RFS, rater frames",478,7.005080484636129,-0.09928712896118949,-0.26024897524599927,0.05101704974008491,0.1556330124930421,7.013926503291235,7.10118790904095
op-lebowski hidden,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.7991576194763184,-0.07875224202871323,-0.17369458231410345,0.013051972211026365,0.0933732772625649,,
op-lebowski hidden,ridge ego,"(ii) all frames, deciles 1-9",17695,1.3465862274169922,-0.22800758481025696,-0.26219502811276,-0.19615135675274034,0.03302183568000984,,
op-lebowski hidden,ridge ego,"side: straight, deciles 1-9",10645,1.1303797960281372,-0.3133925497531891,-0.3581750665469063,-0.265749674468358,0.04621269603927414,,
op-lebowski hidden,ridge ego,"(iii) RFS, rater frames",478,7.073241298998338,-0.031126314598978112,-0.2002866083799487,0.13170532971913892,0.1659959690495438,7.100489078601711,7.10118790904095
op-lebowski plan,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8070111274719238,-0.0708986148238182,-0.21357197038030745,0.06035177995348773,0.1369618751668976,,
op-lebowski plan,ridge ego,"(ii) all frames, deciles 1-9",17695,1.2870421409606934,-0.287551611661911,-0.32430107721510887,-0.2518837501346375,0.03620866354023569,,
op-lebowski plan,ridge ego,"side: straight, deciles 1-9",10645,1.0892002582550049,-0.35457226634025574,-0.4033101336504518,-0.30726736336875315,0.04802138514084933,,
op-lebowski plan,ridge ego,"(iii) RFS, rater frames",478,7.284228038138353,0.17986042454103507,0.0017264968847683945,0.3573211798548714,0.1777973414850515,7.361897156380598,7.10118790904095
alp vit_mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.884334683418274,0.006424731109291315,-0.037071364065875585,0.047732644436974475,0.04240200425142503,,
alp vit_mean,ridge ego,"(ii) all frames, deciles 1-9",17695,1.5198830366134644,-0.054710809141397476,-0.0783184985678173,-0.03424555756319288,0.022036470502312208,,
alp vit_mean,ridge ego,"side: straight, deciles 1-9",10645,1.3411855697631836,-0.10258692502975464,-0.1359029422516474,-0.07066133515987012,0.03262080354588864,,
alp vit_mean,ridge ego,"(iii) RFS, rater frames",478,7.024437943598864,-0.07992966999845429,-0.15555222145545214,-0.0004087927657667054,0.07757171434484271,7.014244842592248,7.10118790904095
alp vis_mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.887980580329895,0.010070622898638248,-0.03399048540047817,0.05259797714274818,0.04329423127161318,,
alp vis_mean,ridge ego,"(ii) all frames, deciles 1-9",17695,1.5153788328170776,-0.05921502038836479,-0.08174966179039617,-0.0387559199452847,0.021496870922555734,,
alp vis_mean,ridge ego,"side: straight, deciles 1-9",10645,1.333800196647644,-0.10997224599123001,-0.14198196520319895,-0.07876372265042522,0.03160912127638686,,
alp vis_mean,ridge ego,"(iii) RFS, rater frames",478,7.007870313921575,-0.0964972996757433,-0.1731028700739752,-0.01746485853497618,0.07781900576949952,7.008393650102308,7.10118790904095
alp L09_mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.861713171005249,-0.016196679323911667,-0.07754244403504933,0.044824392403510965,0.061183418219280146,,
