direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,A ridge_late op-cinque temporal,ADE vs log,s_ego deciles 1-9,pre_onset,1291,1.6727561950683594,-0.29368263483047485,-0.4235145415483369,-0.16766276435667382,0.12792588859583154
0,A ridge_late op-cinque temporal,ADE vs log,all deciles (side column),pre_onset,1510,1.852307915687561,-0.5303593277931213,-0.6793511839729036,-0.37808963853812433,0.15063077271738964
0,A ridge_late op-cinque temporal,ADE vs log,s_ego deciles 1-9,straight_yaw,42497,0.9330328702926636,-0.40210920572280884,-0.442628213367814,-0.3677875984473501,0.03742030746023195
0,A ridge_late op-cinque temporal,ADE vs log,all deciles (side column),straight_yaw,46580,1.1949785947799683,-0.5299704670906067,-0.5776064044117815,-0.490408527784834,0.04359893831347372
0,A ridge_late op-cinque temporal,ADE vs log,s_ego deciles 1-9,all,95724,1.0934804677963257,-0.31778690218925476,-0.34461248516011683,-0.2892735845724218,0.027669450293847514
0,A ridge_late op-cinque temporal,ADE vs log,all deciles (side column),all,106360,1.3469631671905518,-0.49239104986190796,-0.5239677647400186,-0.4593821892442916,0.03229278774786351
0,A ridge_late op-cinque temporal,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1291,,0.10842657089233398,-0.018884921140131627,0.22962060500089093,0.12425276307051128
0,A ridge_late op-cinque temporal,RFS,rater frames (subset),all,479,7.457946164918519,0.40291609341204815,0.232182940827845,0.5821891255985259,0.17500309238534045
0,A ridge_late op-cinque temporal,RFS,decile 10 only,all,90,6.50259723934041,0.587150599120348,0.1979265718687399,1.0289792722384643,0.41552635018486217
0,A ridge_late op-cinque temporal,ADE vs rater_best,decile 10 only,all,90,4.044320106506348,-1.554005742073059,-1.969271754009856,-1.1615431345336966,0.40386430973807974
0,A ridge_late op-lebowski temporal,ADE vs log,s_ego deciles 1-9,pre_onset,1291,1.6484378576278687,-0.318000853061676,-0.4491251130934466,-0.19743604611928375,0.1258445334870814
0,A ridge_late op-lebowski temporal,ADE vs log,all deciles (side column),pre_onset,1510,1.8234659433364868,-0.5592013001441956,-0.7176261681673372,-0.40830336589307886,0.15466140113712915
0,A ridge_late op-lebowski temporal,ADE vs log,s_ego deciles 1-9,straight_yaw,42497,0.9380679726600647,-0.3970741629600525,-0.4360305783256528,-0.3612864559418049,0.03737206119192393
0,A ridge_late op-lebowski temporal,ADE vs log,all deciles (side column),straight_yaw,46580,1.208788275718689,-0.5161608457565308,-0.5636706962937417,-0.4752848322594632,0.044192932017139225
