arm,lam,sel_ade,d
ridge ego,1e-06,0.6163302659988403,
A Qwen3-VL-4B L18_mean,10.0,0.5912678092718124,2560.0
op-cinque temporal,0.09999999999999999,0.501630961894989,512.0
op-cinque vision,1.0,0.5351720973849297,512.0
op-lebowski temporal,0.09999999999999999,0.5045532584190369,512.0
op-lebowski vision,1.0,0.5297618508338928,3072.0
fusion op-cinque temporal + A,1.0,0.5187628641724586,3072.0
ridge ego (no cmd),1e-06,0.6450314968824387,
A Qwen3-VL-4B L18_mean (no cmd),3.162277660168379,0.6200567483901978,2560.0
op-cinque temporal (no cmd),0.09999999999999999,0.5082078874111176,512.0
op-lebowski temporal (no cmd),0.09999999999999999,0.5108402743935585,512.0
