subset,arm,vs,n,value,delta,lo,hi,halfwidth
all rater frames,native op-cinque +desire,native op-cinque,479,7.808480161078734,-0.13272603938612615,-0.22568943541313638,-0.047411732276096755,0.0891388515685198
all rater frames,native op-cinque +desire,cv,479,7.808480161078734,0.7627681210682888,0.5229300864911204,1.0048165259982345,0.24094321975355704
all rater frames,A ridge_late op-cinque temporal +desire,A ridge_late op-cinque temporal,479,7.42326805263788,-0.03467811228063897,-0.12018667613947015,0.04748098259686833,0.08383382936816924
all rater frames,A ridge_late op-cinque temporal +desire,cv,479,7.42326805263788,0.3775560126274358,0.1390720723710947,0.6274476479392512,0.24418778778407826
all rater frames,cls_late op-cinque temporal +desire,cls_late op-cinque temporal,479,7.590137781379524,-0.06246996261974808,-0.16297982111896184,0.028329076192098988,0.09565444865553041
all rater frames,cls_late op-cinque temporal +desire,cv,479,7.590137781379524,0.5444257413690814,0.30532507579233253,0.7938842468806905,0.24427958554417897
all rater frames,native op-lebowski +desire,native op-lebowski,479,7.768638663072828,-0.03604702608090135,-0.11309610390238667,0.03321469840999453,0.0731554011561906
all rater frames,native op-lebowski +desire,cv,479,7.768638663072828,0.722926623062384,0.49043968537513083,0.985231542151428,0.2473959283881486
all rater frames,A ridge_late op-lebowski temporal +desire,A ridge_late op-lebowski temporal,479,7.472217642626611,0.0005343334118454718,-0.08565204663769929,0.07856933423472115,0.08211069043621022
all rater frames,A ridge_late op-lebowski temporal +desire,cv,479,7.472217642626611,0.42650560261616743,0.18385486598713216,0.6772050424080223,0.24667508821044504
all rater frames,cls_late op-lebowski temporal +desire,cls_late op-lebowski temporal,479,7.626227907607393,-0.07725912568064622,-0.16808704507550276,0.019420077565426186,0.09375356132046447
all rater frames,cls_late op-lebowski temporal +desire,cv,479,7.626227907607393,0.5805158675969484,0.34586942377998176,0.8088256733745552,0.23147812479728674
all rater frames,cls ego K1024 +desire,cls ego K1024,479,7.272623617221604,-0.004716704007867156,-0.056960599564791804,0.044790748036759524,0.050875673800775664
all rater frames,ridge ego +desire,ridge ego,479,7.055031879345136,1.8078386637200458e-06,-1.0626122832119965e-05,1.2785765359911118e-05,1.1705944096015541e-05
standstill (v0 < 0.5 m/s),native op-cinque +desire,native op-cinque,120,7.153422618386673,-0.6558834097296861,-0.9867363287951549,-0.35009423844831794,0.3183210451734185
standstill (v0 < 0.5 m/s),native op-cinque +desire,cv,120,7.153422618386673,-0.4953388864907579,-0.9394456355824484,-0.05498524963172453,0.4422301929753619
standstill (v0 < 0.5 m/s),A ridge_late op-cinque temporal +desire,A ridge_late op-cinque temporal,120,6.899336713349191,-0.00895299712812126,-0.22922420663707632,0.2094952893093108,0.21935974797319358
standstill (v0 < 0.5 m/s),A ridge_late op-cinque temporal +desire,cv,120,6.899336713349191,-0.7494247915282409,-1.2352465191834017,-0.2712977962812318,0.48197436145108496
standstill (v0 < 0.5 m/s),cls_late op-cinque temporal +desire,cls_late op-cinque temporal,120,7.596363119980031,-0.028450861117679836,-0.22752442192233532,0.15504564018095607,0.19128503105164568
standstill (v0 < 0.5 m/s),cls_late op-cinque temporal +desire,cv,120,7.596363119980031,-0.05239838489740031,-0.41521633746136716,0.3110776671034584,0.3631470022824128
standstill (v0 < 0.5 m/s),native op-lebowski +desire,native op-lebowski,120,7.377412576428493,-0.21392770666760744,-0.5030546923154585,0.05725296334290761,0.2801538278291831
standstill (v0 < 0.5 m/s),native op-lebowski +desire,cv,120,7.377412576428493,-0.2713489284489399,-0.7128320916997843,0.1579977880837547,0.4354149398917695
standstill (v0 < 0.5 m/s),A ridge_late op-lebowski temporal +desire,A ridge_late op-lebowski temporal,120,6.92727101691825,-0.08644458337381834,-0.3314054181983828,0.14082626784883068,0.23611584302360675
standstill (v0 < 0.5 m/s),A ridge_late op-lebowski temporal +desire,cv,120,6.92727101691825,-0.7214904879591828,-1.2390839645017842,-0.24587971519869492,0.49660212465154463
standstill (v0 < 0.5 m/s),cls_late op-lebowski temporal +desire,cls_late op-lebowski temporal,120,7.650290250078095,-0.001701677129023945,-0.1507240485839145,0.14136291463772305,0.14604348161081876
standstill (v0 < 0.5 m/s),cls_late op-lebowski temporal +desire,cv,120,7.650290250078095,0.0015287452006629214,-0.33362012505769784,0.3163497092972454,0.3249849171774716
standstill (v0 < 0.5 m/s),cls ego K1024 +desire,cls ego K1024,120,7.341602292782907,0.024951761549868282,-9.742070620241738e-05,0.0748048020942792,0.03745111140024081
standstill (v0 < 0.5 m/s),ridge ego +desire,ridge ego,120,7.014855447252698,1.864260809312975e-05,-2.2692690744430256e-06,3.8572285667183284e-05,2.0420777370813155e-05
Interections + Multi-Lane,native op-cinque +desire,native op-cinque,158,7.6092977869868,-0.07894902913182522,-0.22329291049773395,0.06583312934095173,0.14456301991934284
Interections + Multi-Lane,native op-cinque +desire,cv,158,7.6092977869868,0.570853505367819,0.15303423638501046,0.9963359120868578,0.42165083785092367
Interections + Multi-Lane,A ridge_late op-cinque temporal +desire,A ridge_late op-cinque temporal,158,7.295321221255243,-0.14593255702941185,-0.2915222871793112,-0.0018220364768881487,0.14485012535121153
Interections + Multi-Lane,A ridge_late op-cinque temporal +desire,cv,158,7.295321221255243,0.25687693963626385,-0.1931127985340713,0.6580981556492671,0.4256054770916692
