arm,direction,ade_all,n_all,ade_pre_onset,n_pre_onset,ade_straight_yaw,n_straight_yaw,ade_turn_yaw,n_turn_yaw,rfs,n_rater,rfs_cluster,rfs_lo,rfs_hi,floored
ridge ego,0,1.9927243,10021,2.343222,752,1.7701397,5855,2.4370255,2315,7.145281349554802,237,7.111902475240223,6.826581107969512,7.448367899878639,0.25316455696202533
A ridge_late pooled (qwen4b L18),0,1.9364136,10021,2.3281267,752,1.6896251,5855,2.4120545,2315,7.146564777936386,237,7.070401166047803,6.8383483365335005,7.434200808847784,0.270042194092827
d vjepa2 mean,0,1.9263546,10021,2.3256285,752,1.6854428,5855,2.4003222,2315,7.241874676167129,237,7.185078517667515,6.931304291704685,7.533174180452229,0.23628691983122363
d2 qwenvid L18_last,0,1.9561639,10021,2.2896593,752,1.7260177,5855,2.4244547,2315,7.1608364568968,237,7.1338987883921305,6.841044726996679,7.445281223820624,0.26582278481012656
d2 qwenvid L18_mean,0,1.9339411,10021,2.2991698,752,1.6889127,5855,2.4189343,2315,7.1306081608218586,237,7.127950146161427,6.806384186047049,7.412444652190372,0.25738396624472576
op-small temporal,0,1.7098287,10021,2.2387567,752,1.4105214,5855,2.247549,2315,7.115123746227062,237,7.09530928428993,6.795575412637622,7.408478387827964,0.2320675105485232
op-small vision,0,1.7331752,10021,2.316761,752,1.4459577,5855,2.2027447,2315,7.170409926624244,237,7.128716446457256,6.845392817095185,7.4563296834009005,0.2489451476793249
op-small hidden,0,1.7221553,10021,2.25853,752,1.4204049,5855,2.239048,2315,7.091890599623391,237,7.071175370070529,6.764673885239724,7.383742662253089,0.2489451476793249
op-small plan,0,1.6923922,10021,2.283392,752,1.4319415,5855,2.117605,2315,7.308718255446953,237,7.352508645288964,6.999908844936871,7.596611530493263,0.21518987341772153
op-cinque temporal,0,1.5253594,10021,2.0505736,752,1.2867489,5855,1.8915412,2315,7.598524936229767,237,7.6368418329794565,7.317245586709881,7.87416510911874,0.16455696202531644
op-cinque vision,0,1.7033795,10021,2.2175293,752,1.4236945,5855,2.1818287,2315,7.175361233913543,237,7.165705802452161,6.882416903791136,7.438283459928889,0.2320675105485232
op-cinque hidden,0,1.6604936,10021,2.2354636,752,1.3745093,5855,2.1305857,2315,7.171168807553574,237,7.164252071752765,6.856472935057531,7.467566787954489,0.23628691983122363
op-cinque plan,0,1.5542448,10021,2.093332,752,1.3085234,5855,1.9381015,2315,7.588501903462539,237,7.675128372697108,7.280071702977707,7.850430950191508,0.1940928270042194
op-lebowski temporal,0,1.535495,10021,2.0641472,752,1.2861589,5855,1.9306561,2315,7.519241918622515,237,7.538034353946375,7.230783746088841,7.788829639913596,0.17721518987341772
op-lebowski vision,0,1.6775376,10021,2.2138906,752,1.384827,5855,2.1772125,2315,7.179214249527289,237,7.157565723169375,6.865149931981546,7.464524188544848,0.24050632911392406
op-lebowski hidden,0,1.6861666,10021,2.2215517,752,1.3953724,5855,2.1963148,2315,7.2122660360653095,237,7.236718481887285,6.898928449242829,7.500954083640143,0.2320675105485232
op-lebowski plan,0,1.561924,10021,2.0601854,752,1.3097243,5855,1.9773697,2315,7.48726947714845,237,7.580128458309244,7.187414535003966,7.775750138602995,0.20253164556962025
alp vit_mean,0,1.9131445,10021,2.34816,752,1.650834,5855,2.3946836,2315,7.078519130718759,237,7.001473183524249,6.765949180852677,7.368120037339227,0.270042194092827
alp vis_mean,0,1.914231,10021,2.3556483,752,1.6490469,5855,2.3992212,2315,7.095923520936176,237,7.013208005892499,6.778970384004083,7.397121646154207,0.27848101265822783
alp L09_mean,0,1.9072332,10021,2.316226,752,1.6577789,5855,2.379793,2315,7.152366204271231,237,7.1238377282136245,6.8418555207443035,7.443983429012139,0.25316455696202533
alp L09_last,0,1.8850179,10021,2.3184943,752,1.6031369,5855,2.4234076,2315,7.069467631127239,237,7.043842394993577,6.7547891736753165,7.363073044788433,0.24472573839662448
alp L18_mean,0,1.8184196,10021,2.294419,752,1.5615033,5855,2.271913,2315,7.009863102352109,237,7.039190592314194,6.694913437933987,7.304918704917106,0.25738396624472576
alp L18_last,0,1.7727376,10021,2.2260098,752,1.4952875,5855,2.28371,2315,6.92728650750854,237,6.871518234541658,6.607375270843454,7.2286804669478695,0.26582278481012656
alp L27_mean,0,1.7623802,10021,2.275554,752,1.5037501,5855,2.1980398,2315,7.050852259369684,237,7.056789518405113,6.733999830238589,7.344031339714859,0.25316455696202533
alp L27_last,0,1.5870712,10021,2.0335145,752,1.3056036,5855,2.0758033,2315,7.137922225587212,237,7.058303567741467,6.824795096970652,7.423765780068199,0.2320675105485232
alp L36_mean,0,1.7776724,10021,2.257411,752,1.5218937,5855,2.2220778,2315,7.078526481445605,237,7.08255686367138,6.756730095258544,7.375119779500058,0.25738396624472576
alp L36_last,0,1.6666968,10021,2.1712587,752,1.3770416,5855,2.1765296,2315,7.157620925367766,237,7.068504846032189,6.827145531118849,7.451441836615196,0.2616033755274262
fusion op-cinque temporal + A,0,1.5831997,10021,2.0999305,752,1.3352695,5855,1.9648353,2315,7.3146354628616725,237,7.36119524613687,7.024195284601036,7.591756436171116,0.2109704641350211
fusion alp L18_mean + A,0,1.8243579,10021,2.289686,752,1.5690318,5855,2.2769,2315,6.94998789156571,237,6.987601658122969,6.636115225241092,7.24572250604468,0.270042194092827
ridge ego,1,1.9891535,9642,2.0492735,706,1.8540347,5742,2.2858224,2041,7.064132943796804,241,7.087001185486033,6.760577157170188,7.370255490899817,0.25311203319502074
A ridge_late pooled (qwen4b L18),1,1.942585,9642,2.005063,706,1.7805485,5742,2.2751522,2041,7.024013541659258,241,7.03000961197466,6.729284307143427,7.341090478710043,0.2697095435684647
d vjepa2 mean,1,1.9362584,9642,1.9344244,706,1.7956967,5742,2.245685,2041,6.9919800616395,241,6.92776300204712,6.709645886817459,7.288050728393174,0.25311203319502074
d2 qwenvid L18_last,1,1.9593685,9642,1.9972388,706,1.8238058,5742,2.274115,2041,7.059402113214726,241,7.009505595682588,6.77204397135207,7.37361528360503,0.26141078838174275
d2 qwenvid L18_mean,1,1.9380838,9642,1.9612249,706,1.7909544,5742,2.2733915,2041,7.0101495520398105,241,7.006734972014728,6.724022993687204,7.324520387503049,0.2572614107883817
op-small temporal,1,1.6850783,9642,1.8118593,706,1.4822865,5742,2.099084,2041,6.975761626991803,241,6.942532594366358,6.710686984806818,7.286398638388728,0.26141078838174275
op-small vision,1,1.7140317,9642,1.8652502,706,1.5252368,5742,2.0673223,2041,6.908868982175385,241,6.897577627032348,6.62372876170022,7.224019031390309,0.27385892116182575
op-small hidden,1,1.6900071,9642,1.784382,706,1.4777187,5742,2.1163213,2041,6.851287943028876,241,6.848796649838979,6.5747604386767895,7.168961771641025,0.2697095435684647
op-small plan,1,1.6580707,9642,1.8681233,706,1.4692053,5742,2.0001419,2041,6.920360411342082,241,6.8783385579543195,6.632145393979849,7.226397010733395,0.24481327800829875
op-cinque temporal,1,1.5023634,9642,1.702897,706,1.3314351,5742,1.7707713,2041,7.190188086509258,241,7.193292462483146,6.918550602651302,7.492630427829276,0.2157676348547718
op-cinque vision,1,1.6771038,9642,1.8262535,706,1.4639094,5742,2.0906906,2041,6.979615676961573,241,6.966504579442858,6.6881325290511295,7.294162042575958,0.27385892116182575
op-cinque hidden,1,1.6389273,9642,1.7749239,706,1.4447799,5742,1.9923403,2041,7.013777092908513,241,6.97017411381213,6.728408165616912,7.320677345012068,0.2572614107883817
op-cinque plan,1,1.5179181,9642,1.7516848,706,1.3379748,5742,1.8178196,2041,7.17979767002789,241,7.196684581269416,6.9018979896268595,7.48046329064071,0.21161825726141079
