direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8720495700836182,-0.0213314201682806,-0.061354903637195486,0.01832613065629129,0.03984051714674339
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),pre_onset,752,2.3281266689300537,-0.015095296315848827,-0.05341747419653552,0.024344503856760197,0.038880989026647855
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.3584407567977905,-0.07390310615301132,-0.10538024149800486,-0.04568621629993934,0.02984701259903276
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),straight_yaw,5855,1.6896251440048218,-0.08051470667123795,-0.11100908671521642,-0.050167444676429813,0.030420821019393304
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,all,9018,1.5254764556884766,-0.05047547444701195,-0.07135034405071644,-0.03296355161813417,0.019193396216291136
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),all,10021,1.9364136457443237,-0.05631065368652344,-0.07714243989743448,-0.03874660909962348,0.019197915398905502
0,A ridge_late pooled (qwen4b L18),DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,0.05257168412208557,0.005359548728213291,0.10334949429280925,0.04899497278229798
0,A ridge_late pooled (qwen4b L18),RFS,rater frames (subset),all,237,7.146564777936386,0.0012834283815844293,-0.06766334871012825,0.06992279322866966,0.06879307096939896
0,A ridge_late pooled (qwen4b L18),RFS,decile 10 only,all,39,6.303095362176982,0.013370698446396503,-0.09006407569073216,0.15713735302109108,0.12360071435591162
0,A ridge_late pooled (qwen4b L18),ADE vs rater_best,decile 10 only,all,39,5.297606468200684,-0.05037054792046547,-0.14960946788390475,0.04950227368718538,0.09955587078554506
0,d vjepa2 mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8985004425048828,0.005119594745337963,-0.038530905699201555,0.04671396942944981,0.04262243756432568
0,d vjepa2 mean,ADE vs log,all deciles (side column),pre_onset,752,2.3256285190582275,-0.017593108117580414,-0.05847060940155009,0.022765422398184004,0.04061801589986705
0,d vjepa2 mean,ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.3647160530090332,-0.06762785464525223,-0.09873652095071844,-0.03628871890562638,0.031223901022546033
0,d vjepa2 mean,ADE vs log,all deciles (side column),straight_yaw,5855,1.6854428052902222,-0.08469709753990173,-0.1179428811808784,-0.052256975922331986,0.032842952629273205
