direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,pre_onset,536,1.878627061843872,-0.00955174583941698,-0.053232935332293146,0.03638777622232663,0.04481035577730989
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),pre_onset,620,2.2861955165863037,-0.00451646326109767,-0.045427086724408816,0.041515746146417336,0.04347141643541308
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,straight_yaw,4132,1.4404842853546143,-0.08868332952260971,-0.12852022450958167,-0.05404321047250842,0.03723850701853662
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),straight_yaw,4481,1.7961573600769043,-0.0940793976187706,-0.13462387348946406,-0.05635250736571719,0.039135683061873434
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,all,7115,1.6022725105285645,-0.06018099933862686,-0.0843994380232435,-0.039238924577859685,0.022580256722691906
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),all,7906,2.035461902618408,-0.06502494215965271,-0.08950304185172034,-0.04363781426096033,0.022932613795380006
0,A ridge_late pooled (qwen4b L18),DiD,s_ego deciles 1-9,pre_onset - straight_yaw,536,,0.079131580889225,0.025213774296248836,0.1362388007474734,0.055512513225612285
0,A ridge_late pooled (qwen4b L18),RFS,rater frames (subset),all,237,7.162311984218222,-0.0040622187771414565,-0.08885248745936024,0.07816424655811513,0.08350836700873768
0,A ridge_late pooled (qwen4b L18),RFS,decile 10 only,all,35,6.566499351709535,0.04623441044325975,-0.11389117177043465,0.24626967482631787,0.18008042329837626
0,A ridge_late pooled (qwen4b L18),ADE vs rater_best,decile 10 only,all,35,5.119264125823975,-0.05619898438453674,-0.17921228540795192,0.056320296015058176,0.11776629071150505
0,d vjepa2 mean,ADE vs log,s_ego deciles 1-9,pre_onset,536,1.8777674436569214,-0.010411247611045837,-0.05659548134137508,0.037210067771435235,0.04690277455640515
0,d vjepa2 mean,ADE vs log,all deciles (side column),pre_onset,620,2.2575533390045166,-0.03315836563706398,-0.07726608202922011,0.009454626735675637,0.043360354382447876
0,d vjepa2 mean,ADE vs log,s_ego deciles 1-9,straight_yaw,4132,1.45023775100708,-0.07892993092536926,-0.11977855698843823,-0.043721810168956994,0.03802837340974062
0,d vjepa2 mean,ADE vs log,all deciles (side column),straight_yaw,4481,1.7923188209533691,-0.09791802614927292,-0.1382524156605286,-0.06064579757107467,0.038803309044726966
0,d vjepa2 mean,ADE vs log,s_ego deciles 1-9,all,7115,1.6095424890518188,-0.0529109463095665,-0.081133612895968,-0.027680105127082064,0.02672675388444297
0,d vjepa2 mean,ADE vs log,all deciles (side column),all,7906,2.0216588973999023,-0.07882816344499588,-0.10639371071272506,-0.053715348528700906,0.026339181092012078
0,d vjepa2 mean,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,536,,0.06851868331432343,0.009287613918068137,0.1295939136735974,0.060153149877764635
0,d vjepa2 mean,RFS,rater frames (subset),all,237,7.261930950897114,0.09555674790175012,-0.020584559763740337,0.21182347329995996,0.11620401653185014
0,d vjepa2 mean,RFS,decile 10 only,all,35,6.801574720133131,0.281309778866856,0.015980345408638442,0.5708066104589447,0.2774131325251531
0,d vjepa2 mean,ADE vs rater_best,decile 10 only,all,35,4.818223476409912,-0.35724014043807983,-0.6159790872676032,-0.11367315249783654,0.25115296738488335
0,d2 qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,536,1.8663444519042969,-0.02183443121612072,-0.037223088792662874,-0.00638949190280841,0.015416798444927233
0,d2 qwenvid L18_last,ADE vs log,all deciles (side column),pre_onset,620,2.27170729637146,-0.019004615023732185,-0.03402004201771078,-0.004354450193701061,0.014832795912004858
0,d2 qwenvid L18_last,ADE vs log,s_ego deciles 1-9,straight_yaw,4132,1.5188859701156616,-0.010281766764819622,-0.018546505363151892,-0.0026463493163899985,0.007950078023380946
0,d2 qwenvid L18_last,ADE vs log,all deciles (side column),straight_yaw,4481,1.877586007118225,-0.012650574557483196,-0.02065244982566627,-0.005429985286087728,0.0076112322697892715
0,d2 qwenvid L18_last,ADE vs log,s_ego deciles 1-9,all,7115,1.652029275894165,-0.010424123145639896,-0.016651309628542346,-0.004676644744351399,0.005987332442095474
0,d2 qwenvid L18_last,ADE vs log,all deciles (side column),all,7906,2.087838888168335,-0.012647961266338825,-0.018316115668390788,-0.007203540971223631,0.005556287348583579
0,d2 qwenvid L18_last,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,536,,-0.011552664451301098,-0.02943016164747566,0.005880397492120038,0.01765527956979785
0,d2 qwenvid L18_last,RFS,rater frames (subset),all,237,7.166993808530419,0.0006196055350543821,-0.047186260224022475,0.04668149130503384,0.046933875764528156
0,d2 qwenvid L18_last,RFS,decile 10 only,all,35,6.47120441865133,-0.04906052261494569,-0.11870661851903869,-0.0023649824427957934,0.05817081803812145
0,d2 qwenvid L18_last,ADE vs rater_best,decile 10 only,all,35,5.125442981719971,-0.05001978576183319,-0.10133751894746508,-0.004796208483832225,0.04827065523181643
0,d2 qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,536,1.8647078275680542,-0.023470915853977203,-0.057666861238040705,0.008859082085410731,0.03326297166172572
0,d2 qwenvid L18_mean,ADE vs log,all deciles (side column),pre_onset,620,2.2702345848083496,-0.02047756500542164,-0.05240707440534949,0.013233819340995961,0.032820446873172725
0,d2 qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,straight_yaw,4132,1.4756239652633667,-0.0535435788333416,-0.08009808197198141,-0.02803983916108966,0.026029121405445877
0,d2 qwenvid L18_mean,ADE vs log,all deciles (side column),straight_yaw,4481,1.8314238786697388,-0.058812931180000305,-0.08692387339163146,-0.033007038014484055,0.026958417688573703
0,d2 qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,all,7115,1.623465895652771,-0.038987576961517334,-0.05623340785909632,-0.02305745192499754,0.01658797796704939
0,d2 qwenvid L18_mean,ADE vs log,all deciles (side column),all,7906,2.0560786724090576,-0.04440825805068016,-0.06208766926396227,-0.028830863660396475,0.016628402801782897
0,d2 qwenvid L18_mean,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,536,,0.030072662979364395,-0.011197791818420252,0.06960242667891091,0.04040010924866558
0,d2 qwenvid L18_mean,RFS,rater frames (subset),all,237,7.177272178296908,0.010897975301543615,-0.07370129710214607,0.09507144699038605,0.08438637204626606
0,d2 qwenvid L18_mean,RFS,decile 10 only,all,35,6.4988305170196945,-0.021434424246580874,-0.18986387002851135,0.11466008156013635,0.15226197579432385
0,d2 qwenvid L18_mean,ADE vs rater_best,decile 10 only,all,35,5.053656578063965,-0.12180636078119278,-0.22434438952377864,-0.02314297318458558,0.10060070816959653
0,op-small temporal,ADE vs log,s_ego deciles 1-9,pre_onset,536,1.8697785139083862,-0.018400093540549278,-0.1296197613047974,0.09764870821432516,0.11363423475956128
0,op-small temporal,ADE vs log,all deciles (side column),pre_onset,620,2.1271071434020996,-0.1636047065258026,-0.3192070810763569,-0.011918513460399136,0.1536442838079789
0,op-small temporal,ADE vs log,s_ego deciles 1-9,straight_yaw,4132,1.2459923028945923,-0.2831752300262451,-0.3695465892723969,-0.20649840538079672,0.0815240919458001
0,op-small temporal,ADE vs log,all deciles (side column),straight_yaw,4481,1.4913822412490845,-0.398854523897171,-0.49223490974494405,-0.3140616750112719,0.08908661736683607
0,op-small temporal,ADE vs log,s_ego deciles 1-9,all,7115,1.4544023275375366,-0.20805108547210693,-0.2605138247156042,-0.1577584555236544,0.0513776845959749
0,op-small temporal,ADE vs log,all deciles (side column),all,7906,1.7806519269943237,-0.3198349177837372,-0.3743265602102426,-0.2666903098856388,0.05381812516230189
0,op-small temporal,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,536,,0.2647751271724701,0.12077854212499561,0.41172399003279253,0.14547272395389846
0,op-small temporal,RFS,rater frames (subset),all,237,7.155865097183045,-0.010509105812319083,-0.23330754754162317,0.19579624812924806,0.2145518978354356
0,op-small temporal,RFS,decile 10 only,all,35,6.63008362302998,0.10981868176370586,-0.48445689506073014,0.7576388317947214,0.6210478634277258
0,op-small temporal,ADE vs rater_best,decile 10 only,all,35,4.5612311363220215,-0.6142324209213257,-1.0461802134769302,-0.21371712088584902,0.4162315462955406
0,op-small vision,ADE vs log,s_ego deciles 1-9,pre_onset,536,1.9013956785202026,0.013216977939009666,-0.07848810777197038,0.10456875288339781,0.0915284303276841
0,op-small vision,ADE vs log,all deciles (side column),pre_onset,620,2.185378313064575,-0.10533344000577927,-0.24888504762926347,0.017387110496816342,0.1331360790630399
0,op-small vision,ADE vs log,s_ego deciles 1-9,straight_yaw,4132,1.2708122730255127,-0.2583554983139038,-0.3393059821831297,-0.19349251178698137,0.07290673519807415
0,op-small vision,ADE vs log,all deciles (side column),straight_yaw,4481,1.5428797006607056,-0.3473570644855499,-0.4306431900835921,-0.27305236924672593,0.07879541041843308
0,op-small vision,ADE vs log,s_ego deciles 1-9,all,7115,1.4671472311019897,-0.19530612230300903,-0.2427576578506145,-0.15197437872314057,0.04539163956373697
0,op-small vision,ADE vs log,all deciles (side column),all,7906,1.8151642084121704,-0.2853226959705353,-0.33565925051965456,-0.23804332616227247,0.048807962178691044
0,op-small vision,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,536,,0.271572470664978,0.1544063024990645,0.3912813612632563,0.1184375293820959
0,op-small vision,RFS,rater frames (subset),all,237,7.174930078244076,0.00855587524871094,-0.2052403545162066,0.21123850087523233,0.20823942769571946
0,op-small vision,RFS,decile 10 only,all,35,6.546010491910924,0.025745550644649867,-0.5293142903368289,0.5750091029112978,0.5521616966240633
0,op-small vision,ADE vs rater_best,decile 10 only,all,35,4.888932704925537,-0.28653040528297424,-0.691085595531123,0.12186514747994275,0.40647537150553287
0,op-small hidden,ADE vs log,s_ego deciles 1-9,pre_onset,536,1.8990166187286377,0.01083784643560648,-0.11388547652774238,0.14340720201785037,0.12864633927279637
0,op-small hidden,ADE vs log,all deciles (side column),pre_onset,620,2.146045684814453,-0.1446661353111267,-0.3056322283254235,0.015174603576593027,0.16040341595100827
0,op-small hidden,ADE vs log,s_ego deciles 1-9,straight_yaw,4132,1.2345980405807495,-0.2945696711540222,-0.374688459265607,-0.22230656361442797,0.07619094782558952
0,op-small hidden,ADE vs log,all deciles (side column),straight_yaw,4481,1.5068758726119995,-0.38336092233657837,-0.46572344358800694,-0.30634186763395577,0.07969078797702558
0,op-small hidden,ADE vs log,s_ego deciles 1-9,all,7115,1.4558135271072388,-0.20663994550704956,-0.2579333564661132,-0.15922231039225773,0.04935552303692774
0,op-small hidden,ADE vs log,all deciles (side column),all,7906,1.8008615970611572,-0.29962533712387085,-0.3536335650279755,-0.24770052291865338,0.052966521054661056
0,op-small hidden,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,536,,0.3054075241088867,0.15811124541578989,0.46015524498552324,0.1510219997848667
0,op-small hidden,RFS,rater frames (subset),all,237,7.120373227889401,-0.046000975105963085,-0.27524525915464154,0.15778621861173656,0.21651573888318904
