model,prior,scope,n,tau,activation,delta_mag_median_m
cinque,ridge_late,all,12146,1.6276710629463196,0.17972995224765353,2.987179756164551
cinque,ridge_late,straight,4365,1.6276710629463196,0.1411225658648339,2.5847902297973633
cinque,ridge_late,ped_cyc_corridor,897,1.6276710629463196,0.18394648829431437,3.4303884506225586
cinque,ridge_late,no ped_cyc,11249,1.6276710629463196,0.17939372388656769,2.9617669582366943
cinque,cls_late,all,12146,1.6276710629463196,0.18285855425654537,2.987179756164551
cinque,cls_late,straight,4365,1.6276710629463196,0.14410080183276058,2.5847902297973633
cinque,cls_late,ped_cyc_corridor,897,1.6276710629463196,0.18394648829431437,3.4303884506225586
cinque,cls_late,no ped_cyc,11249,1.6276710629463196,0.18277180193795003,2.9617669582366943
lebowski,ridge_late,all,12146,1.6549868881702423,0.6051374938251276,5.117819786071777
lebowski,ridge_late,straight,4365,1.6549868881702423,0.643298969072165,4.809834003448486
lebowski,ridge_late,ped_cyc_corridor,897,1.6549868881702423,0.5484949832775919,5.542052268981934
lebowski,ridge_late,no ped_cyc,11249,1.6549868881702423,0.6096541914836875,5.082089900970459
lebowski,cls_late,all,12146,1.6549868881702423,0.6140293100609254,5.117819786071777
lebowski,cls_late,straight,4365,1.6549868881702423,0.645589919816724,4.809834003448486
lebowski,cls_late,ped_cyc_corridor,897,1.6549868881702423,0.5741360089186176,5.542052268981934
lebowski,cls_late,no ped_cyc,11249,1.6549868881702423,0.6172104187038848,5.082089900970459
