model,prior,metric,group,n,prior_score,plus_mc,delta,lo,hi
cinque,ridge_late,PDMS,all,12146,73.52350931819456,65.35793076922744,-8.165578548967117,-8.867408342282886,-7.4496806454351345
cinque,ridge_late,PDMS,ped_cyc_corridor,897,74.24033637843782,68.25514640969024,-5.9851899687475845,-8.636450122620143,-3.2938747316925046
cinque,ridge_late,PDMS,no ped_cyc,11249,73.46634922636076,65.12690557325489,-8.339443653105878,-9.087008753511856,-7.586322800661651
cinque,ridge_late,PDMS,straight,4365,77.24221729361147,72.0989738869118,-5.143243406699657,-6.173622734927124,-4.080135150881061
cinque,ridge_late,EPDMS,all,12146,73.851093705465,60.83251518055861,-13.018578524906394,-13.705430691006912,-12.337802255148537
cinque,ridge_late,EPDMS,ped_cyc_corridor,897,74.9299642748395,63.71390104739544,-11.216063227444051,-13.707054532318026,-8.643191308843356
cinque,ridge_late,EPDMS,no ped_cyc,11249,73.76506411165853,60.6027522574052,-13.162311854253335,-13.876683167305757,-12.46726447070567
cinque,ridge_late,EPDMS,straight,4365,80.64803982191032,66.83499827448485,-13.813041547425478,-14.80557321760566,-12.795518089297927
cinque,cls_late,PDMS,all,12146,77.87813540799537,66.24376465779868,-11.634370750196707,-12.303871804482716,-10.95877039041583
cinque,cls_late,PDMS,ped_cyc_corridor,897,77.49602732610687,67.27621923947129,-10.219808086635592,-12.69151294741805,-7.645858239345928
cinque,cls_late,PDMS,no ped_cyc,11249,77.90860486745437,66.16143629440991,-11.747168573044453,-12.42184665157455,-11.05588173742158
cinque,cls_late,PDMS,straight,4365,82.81463221436147,73.3248657021967,-9.489766512164774,-10.348350948967918,-8.635706122040606
cinque,cls_late,EPDMS,all,12146,77.39989186709589,61.514645066083915,-15.885246801011968,-16.526404693589342,-15.256095500711272
cinque,cls_late,EPDMS,ped_cyc_corridor,897,78.1179440652425,62.582598712626535,-15.535345352615975,-17.91112774219325,-13.067399314595688
cinque,cls_late,EPDMS,no ped_cyc,11249,77.34263408224946,61.429485992304144,-15.913148089945315,-16.58256887558222,-15.275068335090769
cinque,cls_late,EPDMS,straight,4365,85.36802396597005,68.10155812116456,-17.266465844805502,-18.075233510553147,-16.441639191691486
lebowski,ridge_late,PDMS,all,12146,72.4149628176169,61.23709016380394,-11.177872653812953,-11.933496802728891,-10.413286666918244
lebowski,ridge_late,PDMS,ped_cyc_corridor,897,74.43533021702756,62.09946590718878,-12.335864309838794,-15.11126422850611,-9.511549109592726
lebowski,ridge_late,PDMS,no ped_cyc,11249,72.25385786986408,61.16832395864649,-11.08553391121759,-11.874665605884276,-10.290233225132361
lebowski,ridge_late,PDMS,straight,4365,76.44028268882495,68.41474282783552,-8.02553986098942,-9.048308238596746,-7.014407826566342
lebowski,ridge_late,EPDMS,all,12146,72.87266915773264,57.0351585494671,-15.83751060826554,-16.56888729883409,-15.100296847575686
lebowski,ridge_late,EPDMS,ped_cyc_corridor,897,76.17873702715265,57.95614816495753,-18.22258886219511,-20.9300207959849,-15.565654707635096
lebowski,ridge_late,EPDMS,no ped_cyc,11249,72.60904191274466,56.96171844944977,-15.64732346329489,-16.380399569285245,-14.878780700686553
lebowski,ridge_late,EPDMS,straight,4365,79.86521422847083,63.3810106399031,-16.484203588567738,-17.43955278481181,-15.45705428665001
lebowski,cls_late,PDMS,all,12146,77.25295128207758,62.35134288345727,-14.901608398620306,-15.625748997464056,-14.182283345025363
lebowski,cls_late,PDMS,ped_cyc_corridor,897,77.55633760513851,61.878573132279215,-15.677764472859298,-18.338607281619453,-13.0067823114248
lebowski,cls_late,PDMS,no ped_cyc,11249,77.22875912883856,62.38904174262757,-14.83971738621099,-15.574680240991153,-14.120303842821993
lebowski,cls_late,PDMS,straight,4365,82.22846890510958,69.62168769525164,-12.606781209857964,-13.490720101927177,-11.644551873021829
lebowski,cls_late,EPDMS,all,12146,76.66159455049767,57.98723809633882,-18.67435645415883,-19.366204230401372,-17.999426890498953
lebowski,cls_late,EPDMS,ped_cyc_corridor,897,78.17413681373179,57.83830966687095,-20.33582714686085,-22.87767308371312,-17.747281179406276
lebowski,cls_late,EPDMS,no ped_cyc,11249,76.54098379308624,57.99911371205868,-18.54187008102755,-19.245646701911006,-17.831514567212565
lebowski,cls_late,EPDMS,straight,4365,84.62228241052925,64.49283301197426,-20.129449398554996,-21.010700466683307,-19.21651629342808
