arm,ped_reactive,ped_flip,ped_lo,ped_hi,null_ff_oos,cutin_flip,cutin_delta_vs_prior,cutin_lo,cutin_hi,a_ped,b_cutin,c_null,pass
prior [cinque],406,0.0024630541871921183,0.0,0.0079155672823219,0.0505208708096483,0.7692307692307693,0.0,0.0,0.0,False,True,True,False
E2 pair (a) [cinque],406,0.0,0.0,0.0,0.05412819098329855,0.29289940828402367,-0.47633136094674555,-0.6053086629034418,-0.35412804810769066,False,False,True,False
E2 hard (a) [cinque],406,0.0,0.0,0.0,0.04810040054685438,0.7692307692307693,0.0,-0.0059614742976622104,0.0058567300550014375,False,True,True,False
E2 uniform (a) [cinque],406,0.0,0.0,0.0,0.0493080373204135,0.772189349112426,0.0029585798816568047,0.0,0.00744047619047619,False,True,True,False
E2 pair qwen (a) [cinque],406,0.0,0.0,0.0,0.049467936264280976,0.3076923076923077,-0.46153846153846156,-0.5853347508522777,-0.3475683902064015,False,False,True,False
E2 pair op (a) [cinque],406,0.0,0.0,0.0,0.05023185346860784,0.727810650887574,-0.04142011834319527,-0.07121753246753247,-0.011797250547428716,False,False,True,False
prior [lebowski],406,0.027093596059113302,0.0030950284507815684,0.0589570498010525,0.051578602323331654,0.7056213017751479,0.0,0.0,0.0,False,True,True,False
E2 pair (a) [lebowski],406,0.0,0.0,0.0,0.05814845017948657,0.2958579881656805,-0.40976331360946744,-0.5305529365248335,-0.28926986577441327,False,False,True,False
E2 hard (a) [lebowski],406,0.027093596059113302,0.0030950284507815684,0.0589570498010525,0.05128958498229119,0.7071005917159763,0.0014792899408284023,-0.0030076320318869463,0.006034098009461746,False,True,True,False
E2 uniform (a) [lebowski],406,0.027093596059113302,0.0030950284507815684,0.0589570498010525,0.051176056732145286,0.7026627218934911,-0.0029585798816568047,-0.008836524300441826,0.002932551319648094,False,True,True,False
E2 pair qwen (a) [lebowski],406,0.0,0.0,0.0,0.0549280854499956,0.27514792899408286,-0.43047337278106507,-0.5601289680416122,-0.30598868471350593,False,False,True,False
E2 pair op (a) [lebowski],406,0.019704433497536946,0.0,0.0496633200572016,0.05157340560765596,0.6568047337278107,-0.04881656804733728,-0.07680728452955099,-0.0241300123653065,False,False,True,False
