scope,n,activation,lo,hi,delta_mag_median_m,model,arm,tau
straight_yaw,11597,0.07812365266879365,0.06429039162070435,0.0931868237883725,3.0925124976597003,cinque,E2 pair (a),2.445515990257263
pre_onset,1458,0.12345679012345678,0.08609633603798811,0.16569353675097606,4.191841129642113,cinque,E2 pair (a),2.445515990257263
all,19663,0.07969282408584652,0.06796462459774649,0.09260943117709025,3.4318515811907977,cinque,E2 pair (a),2.445515990257263
Pedestrians,1831,0.05133806663025669,0.028671318680942654,0.07806924429368181,2.9468713191247513,cinque,E2 pair (a),2.445515990257263
Cyclists,2830,0.07985865724381626,0.05592675372971115,0.10844233904073626,3.2850922351020655,cinque,E2 pair (a),2.445515990257263
Cut_ins,885,0.12768361581920903,0.05077011580843327,0.24608104527649738,2.7653730907400833,cinque,E2 pair (a),2.445515990257263
FOD,3561,0.08705419825891604,0.05356094415975802,0.1281629810375855,3.546690507735556,cinque,E2 pair (a),2.445515990257263
Intersections,4772,0.08109807208717519,0.06291225251189922,0.1018415797648103,3.626714995196424,cinque,E2 pair (a),2.445515990257263
straight_yaw,11597,0.005691127015607485,0.002798727007678114,0.009119144999361428,1.0845903777155603,cinque,E2 hard (a),1.1811400651931763
pre_onset,1458,0.0,0.0,0.0,0.9453875969937593,cinque,E2 hard (a),1.1811400651931763
all,19663,0.0037634135177745005,0.001991516142230581,0.0058652584618086815,0.9897826297580881,cinque,E2 hard (a),1.1811400651931763
Pedestrians,1831,0.009830693610049153,0.0005390762965889024,0.021592360404821837,0.9773119242066752,cinque,E2 hard (a),1.1811400651931763
Cyclists,2830,0.0007067137809187279,0.0,0.0021770682148040637,0.9061494112755422,cinque,E2 hard (a),1.1811400651931763
Cut_ins,885,0.0022598870056497176,0.0,0.007308160779537149,1.0216560520010645,cinque,E2 hard (a),1.1811400651931763
FOD,3561,0.005616399887672002,0.0008445945945945946,0.012110988780538949,1.0612940231758063,cinque,E2 hard (a),1.1811400651931763
Intersections,4772,0.002933780385582565,0.0004113491239797355,0.006910489023567413,1.0083210951107653,cinque,E2 hard (a),1.1811400651931763
straight_yaw,11597,0.0,0.0,0.0,0.6410046857822291,cinque,E2 uniform (a),1.1231659650802612
pre_onset,1458,0.0,0.0,0.0,0.5915192045607452,cinque,E2 uniform (a),1.1231659650802612
all,19663,0.0,0.0,0.0,0.643195976837573,cinque,E2 uniform (a),1.1231659650802612
Pedestrians,1831,0.0,0.0,0.0,0.6998206534041516,cinque,E2 uniform (a),1.1231659650802612
Cyclists,2830,0.0,0.0,0.0,0.6251533632994409,cinque,E2 uniform (a),1.1231659650802612
Cut_ins,885,0.0,0.0,0.0,0.6919068031781492,cinque,E2 uniform (a),1.1231659650802612
FOD,3561,0.0,0.0,0.0,0.6918041435819131,cinque,E2 uniform (a),1.1231659650802612
Intersections,4772,0.0,0.0,0.0,0.6220182333195943,cinque,E2 uniform (a),1.1231659650802612
straight_yaw,11597,0.005949814607226007,0.002020477219089525,0.011696505697512355,1.9898447214197064,cinque,E2 pair qwen (a),2.4944968223571777
pre_onset,1458,0.017146776406035666,0.0006600660066006601,0.04210633654155782,2.1002800685025234,cinque,E2 pair qwen (a),2.4944968223571777
all,19663,0.008442251945277934,0.00409016490778877,0.014005137788234,2.071620723250436,cinque,E2 pair qwen (a),2.4944968223571777
Pedestrians,1831,0.004915346805024577,0.0,0.014645577035735208,1.68204868011088,cinque,E2 pair qwen (a),2.4944968223571777
Cyclists,2830,0.0,0.0,0.0,1.8260024130177643,cinque,E2 pair qwen (a),2.4944968223571777
Cut_ins,885,0.030508474576271188,0.0,0.09473684210526316,1.5791083040706841,cinque,E2 pair qwen (a),2.4944968223571777
FOD,3561,0.017130019657399607,0.0023522147770231967,0.04049177913928844,2.2450484423981587,cinque,E2 pair qwen (a),2.4944968223571777
Intersections,4772,0.005448449287510477,0.0023045097521562133,0.009407748385784393,2.3097473185730637,cinque,E2 pair qwen (a),2.4944968223571777
straight_yaw,11597,0.185823919979305,0.16927079038397966,0.20249752388792375,1.7154815964112538,cinque,E2 pair op (a),1.360622525215149
pre_onset,1458,0.401920438957476,0.3417136729978829,0.4635723539526328,3.3236181139849066,cinque,E2 pair op (a),1.360622525215149
all,19663,0.21537913848344606,0.20117784522603738,0.2299854932258501,2.1495758233822784,cinque,E2 pair op (a),1.360622525215149
