scope,judge,n,delta,lo,hi,model,arm
all,RFS (rater),478,-2.4777692173547243,-2.693016527286739,-2.260519457002528,cinque,E2 pair (a)
all,ADE dec1-9,17389,2.656909590425788,2.540542417320282,2.780269947710357,cinque,E2 pair (a)
all,ADE pre_onset dec1-9,1245,3.159993971421212,2.71362771460915,3.6334006221134603,cinque,E2 pair (a)
Pedestrians,RFS (rater),52,-2.1884316288995747,-2.8339662391300413,-1.5324307962061192,cinque,E2 pair (a)
Pedestrians,ADE dec1-9,1637,2.214070456145944,1.8804783877979148,2.569266541324503,cinque,E2 pair (a)
Pedestrians,ADE pre_onset dec1-9,83,2.9098373263629114,1.689805489932342,3.8321572022293857,cinque,E2 pair (a)
Cyclists,RFS (rater),71,-2.5579770937328754,-3.10048741129812,-2.0016538175224303,cinque,E2 pair (a)
Cyclists,ADE dec1-9,2326,2.3087917605456707,2.076263907307003,2.5521779731590826,cinque,E2 pair (a)
Cyclists,ADE pre_onset dec1-9,206,2.475567242185814,1.5827671954135587,3.4925426918048186,cinque,E2 pair (a)
Cut_ins,RFS (rater),20,-1.919280071737703,-2.709665875975389,-1.1807446526346115,cinque,E2 pair (a)
Cut_ins,ADE dec1-9,724,2.1878693471091673,1.5929631058006029,3.0162711854112807,cinque,E2 pair (a)
Cut_ins,ADE pre_onset dec1-9,16,1.8505785611657593,0.5401874523848357,3.899260544979299,cinque,E2 pair (a)
FOD,RFS (rater),78,-2.540227452103553,-3.0825364395735475,-2.003703302051497,cinque,E2 pair (a)
FOD,ADE dec1-9,3175,2.868035333225877,2.5746265274602127,3.1907942520431534,cinque,E2 pair (a)
FOD,ADE pre_onset dec1-9,252,3.632822665839701,2.5265711034197063,4.854914692200382,cinque,E2 pair (a)
Intersections,RFS (rater),116,-2.7189302228832966,-3.1696890568682736,-2.2632662577893825,cinque,E2 pair (a)
Intersections,ADE dec1-9,4299,2.8177163931886575,2.597682345210298,3.039209897931099,cinque,E2 pair (a)
Intersections,ADE pre_onset dec1-9,301,3.0748212225178744,2.2704353303018654,3.9777583827109098,cinque,E2 pair (a)
all,RFS (rater),478,-0.1761699839632463,-0.291401189929012,-0.06351555160597187,cinque,E2 hard (a)
all,ADE dec1-9,17389,0.4050692751453176,0.37344089006608444,0.4357256611937495,cinque,E2 hard (a)
all,ADE pre_onset dec1-9,1245,0.27325175694864656,0.17591551021259788,0.3717923112397957,cinque,E2 hard (a)
Pedestrians,RFS (rater),52,-0.10414673353453675,-0.5204401089931906,0.305509241648349,cinque,E2 hard (a)
Pedestrians,ADE dec1-9,1637,0.41633089881176877,0.313637473925837,0.530992689252231,cinque,E2 hard (a)
Pedestrians,ADE pre_onset dec1-9,83,0.48394283186946624,0.1332847086270931,0.8867585408834769,cinque,E2 hard (a)
Cyclists,RFS (rater),71,-0.344344951962856,-0.6796813442907882,-0.02021631729166162,cinque,E2 hard (a)
Cyclists,ADE dec1-9,2326,0.3269877683187875,0.24698355715382564,0.4075946211162814,cinque,E2 hard (a)
Cyclists,ADE pre_onset dec1-9,206,0.37805244565048407,0.18472160356364956,0.5652701282353493,cinque,E2 hard (a)
Cut_ins,RFS (rater),20,0.7399561017824019,0.2609086298533649,1.2830785766227177,cinque,E2 hard (a)
Cut_ins,ADE dec1-9,724,0.4811871354763366,0.3349993223418088,0.6264913387804036,cinque,E2 hard (a)
Cut_ins,ADE pre_onset dec1-9,16,0.20991277196196179,-0.28557152484431136,0.5748509546681849,cinque,E2 hard (a)
FOD,RFS (rater),78,-0.2164961868013148,-0.4120405691485556,-0.02855559309856999,cinque,E2 hard (a)
FOD,ADE dec1-9,3175,0.43130119999944455,0.34816872551947564,0.5139853812131191,cinque,E2 hard (a)
FOD,ADE pre_onset dec1-9,252,0.26422162336689525,0.013793212849203592,0.5122280225665681,cinque,E2 hard (a)
Intersections,RFS (rater),116,-0.26663169104358964,-0.5034277330589328,-0.03634100811743555,cinque,E2 hard (a)
Intersections,ADE dec1-9,4299,0.42040280016976217,0.35949709546933617,0.4809946810729466,cinque,E2 hard (a)
Intersections,ADE pre_onset dec1-9,301,0.20810326803853407,0.02081653690452459,0.4074418158479591,cinque,E2 hard (a)
all,RFS (rater),478,-0.06274711966574381,-0.16741871153808538,0.04345040106497369,cinque,E2 uniform (a)
all,ADE dec1-9,17389,0.15988602860106663,0.14183911734644247,0.17805224338649753,cinque,E2 uniform (a)
all,ADE pre_onset dec1-9,1245,0.10853764262433728,0.05070237570887865,0.16938259660094604,cinque,E2 uniform (a)
Pedestrians,RFS (rater),52,0.13195668801525492,-0.24480211661738469,0.5154430539870954,cinque,E2 uniform (a)
Pedestrians,ADE dec1-9,1637,0.18506136506559323,0.122974435431749,0.2511722440326567,cinque,E2 uniform (a)
Pedestrians,ADE pre_onset dec1-9,83,0.14330009167535906,-0.09399935398242491,0.4202506938206892,cinque,E2 uniform (a)
