arm,ped_reactive,ped_flip,ped_lo,ped_hi,null_ff_oos,cutin_flip,cutin_delta_vs_prior,cutin_lo,cutin_hi,a_ped,b_cutin,c_null,pass
prior [cinque],406,0.0024630541871921183,0.0,0.0079155672823219,0.0505208708096483,0.7692307692307693,0.0,0.0,0.0,False,True,True,False
E2 pair (a) [cinque],406,0.0,0.0,0.0,0.05069635990054286,0.606508875739645,-0.16272189349112426,-0.22700971135689238,-0.10698365527488855,False,False,True,False
E2 pair (b) [cinque],406,0.012315270935960592,0.0,0.029885057471264367,0.049137744945194635,0.7884615384615384,0.019230769230769232,0.0058387794941436085,0.034125896711213785,False,True,True,False
E2 hard (a) [cinque],406,0.0024630541871921183,0.0,0.0079155672823219,0.04815196795625165,0.7692307692307693,0.0,0.0,0.0,False,True,True,False
E2 uniform (a) [cinque],406,0.0024630541871921183,0.0,0.0079155672823219,0.04711982027358709,0.7692307692307693,0.0,-0.008902407837707947,0.008968609865470852,False,True,True,False
E2 pair qwen (a) [cinque],406,0.0,0.0,0.0,0.04682560621687094,0.6242603550295858,-0.14497041420118342,-0.21407884534582014,-0.08792644661821152,False,False,True,False
E2 pair op (a) [cinque],406,0.0,0.0,0.0,0.048962255854300085,0.7366863905325444,-0.03254437869822485,-0.06304985337243402,-0.0013988522238165516,False,False,True,False
prior [lebowski],406,0.027093596059113302,0.0030950284507815684,0.0589570498010525,0.051578602323331654,0.7056213017751479,0.0,0.0,0.0,False,True,True,False
E2 pair (a) [lebowski],406,0.0049261083743842365,0.0,0.012225687952442587,0.049178918923240514,0.5488165680473372,-0.15680473372781065,-0.22953460038986354,-0.09214451008470886,False,False,True,False
E2 pair (b) [lebowski],406,0.054187192118226604,0.019994350282485876,0.09501679954441905,0.05606856466713037,0.7174556213017751,0.011834319526627219,-0.0029543190022112875,0.026992630764799113,False,True,True,False
E2 hard (a) [lebowski],406,0.027093596059113302,0.0030950284507815684,0.0589570498010525,0.051810855539299164,0.7174556213017751,0.011834319526627219,0.002936642565514928,0.022058823529411766,False,True,True,False
E2 uniform (a) [lebowski],406,0.027093596059113302,0.0030950284507815684,0.0589570498010525,0.051176056732145286,0.7085798816568047,0.0029585798816568047,-0.0029498525073746312,0.008836524300441826,False,True,True,False
E2 pair qwen (a) [lebowski],406,0.0024630541871921183,0.0,0.008000534759358286,0.05228055868690987,0.5606508875739645,-0.14497041420118342,-0.21356774668630338,-0.08269276811810253,False,False,True,False
E2 pair op (a) [lebowski],406,0.019704433497536946,0.0,0.0496633200572016,0.052151440289736894,0.6568047337278107,-0.04881656804733728,-0.07680728452955099,-0.0241300123653065,False,False,True,False
