head,pairs,n_edit,n_placebo,median_edit_m,median_placebo_m,ratio,lo,hi,pass_2x
E1 M-C pair [cinque],all,911,175,0.3935996890068054,0.27449971437454224,1.433880090713501,1.2602802574634553,1.5650515526533122,False
E1 M-C pair [cinque],1-3 actors,766,175,0.38090693950653076,0.27449971437454224,1.3876405954360962,1.2162007808685302,1.5148054152727126,False
E1 M-C pair [cinque],>=4 actors,145,175,0.4483794569969177,0.27449971437454224,1.6334424018859863,1.3697058737277985,1.9296835392713543,False
E2 pair (a) [cinque],all,911,175,0.547226033861296,0.38077899963700484,1.4371224105924025,1.288890290837345,1.6994445015110458,False
E2 pair (a) [cinque],1-3 actors,766,175,0.5445404147275955,0.38077899963700484,1.4300694503812021,1.2697468880716953,1.6912415286663547,False
E2 pair (a) [cinque],>=4 actors,145,175,0.5610739659567932,0.38077899963700484,1.4734897840785937,1.2739001812869513,1.83739542242662,False
E2 pair (b) [cinque],all,911,175,0.5521974466516605,0.3828473872295679,1.4423435161659983,1.2921973643592852,1.9652922229420695,False
E2 pair (b) [cinque],1-3 actors,766,175,0.5538721732705427,0.3828473872295679,1.4467179135753714,1.2964247078321636,1.9954534933205266,False
E2 pair (b) [cinque],>=4 actors,145,175,0.5421314099556799,0.3828473872295679,1.4160509593097994,1.175265392895063,2.0721229166392807,False
E2 hard (a) [cinque],all,911,175,0.07028314626708897,0.05139830897019183,1.367421373879232,1.1896898505245301,1.5171859820322537,False
E2 hard (a) [cinque],1-3 actors,766,175,0.06699866086822227,0.05139830897019183,1.3035187773799675,1.1307533452905185,1.4399134400986469,False
E2 hard (a) [cinque],>=4 actors,145,175,0.09629358717923167,0.05139830897019183,1.8734777292979932,1.5368956546346622,2.2034256406098036,False
E2 uniform (a) [cinque],all,911,175,0.13300253259263523,0.09779815448107791,1.3599697591263717,1.2207213250647548,1.5415692907826026,False
E2 uniform (a) [cinque],1-3 actors,766,175,0.1244310476614865,0.09779815448107791,1.2723251100363202,1.1340045407029027,1.450786118814243,False
