token,gate_plus,gate_minus
ad25b5bde277598e,False,False
b1977cfb83515b01,False,False
f49a7cb7a7165585,False,False
32989074e0f456bc,False,False
647a38dce6a1544f,False,False
7d78c8e945785a77,False,False
c872b0c032bd5e20,True,False
21ad2ce1f14d5319,False,False
8985598fed095ced,False,False
cf0c6b8a14b95d62,False,False
e9b0980f103c5859,False,False
fd83cf9cb50f514f,False,False
236f3b36c87c580b,False,False
c6691cde8079516e,True,False
658d0ec720c65ff4,True,False
e893109e27f95a2e,True,True
1477aee935d85452,True,True
761a8b5126835b6f,False,False
8dbc1c676bf65a15,False,False
7f3d3c9ec49d5cc3,False,False
ef536d97b17a5996,False,False
25c2032b230853fb,False,False
4bffe364654c5602,False,False
4efc629e09f45ef8,True,True
074bea1dbc6e52d1,True,False
1657554fc5445eb6,True,True
48af0cd5abb25aaa,False,False
7be71e50167a5243,False,False
979d5d855d825487,False,False
03235a10244456c0,False,False
dfb3711e37d15a84,False,False
4d3d09ff137e5411,False,False
7c9ada6369fc5402,True,False
aacdc25e20a6501e,True,False
ae52a6d676f751c4,True,False
db59ef28f9045ec2,True,True
e02e58cc43de53d4,False,False
ead1f84694ff5d64,False,False
eba63c3e5ab85ddf,False,False
90327430870c5983,True,True
a8b2b1145c4e5d7f,False,False
fb08fcc23df8508a,False,False
d73c3bc0af5e5e99,False,False
87322a9c1a4a5113,True,False
943aedd8b8b0515d,True,False
c44f55c73565525e,False,False
e8a5873e467e55bd,False,False
54e99ecccee65392,True,False
94328e06c45a55f7,False,False
b83e105ddcda50e9,False,False
3cc068e9578d5e5d,False,False
abc2e30e49595592,False,False
d77cf37ae0715ce3,True,True
e548cb712f7a5d13,False,False
e6dc5f0203bf54c6,True,True
12d1c7f83e565977,False,False
36e7014b1e885184,False,False
f676d0370c735401,False,False
6f6d3439591151c0,False,False
1182fa958e005017,True,True
c3bb61e60cca5bba,False,False
79ea284df7355794,False,False
31dddd503ac55339,False,False
596ae12683685b00,False,False
587fa07041e4557d,False,False
66d7ff5701da53d2,False,False
b442ea3db4865394,False,False
009cf14ba34c518a,True,True
03a193a3814e5a5e,False,False
0d8ac91492ea5b22,False,False
148e1f2e4dca5557,False,False
2b33d187c7335fb5,False,False
4312f2dbe7dc5d8c,False,False
4e1952d25a0956ac,True,True
51f4423004a75da9,False,False
52f31a8dab8a50cc,True,True
72bf9dfaa96f5a34,False,False
922b8c1108535265,True,True
ab480572996e52fb,True,True
b6926ce489715f2f,False,False
c77b22d7a2515fcf,True,True
cdbe98ca97ea5f8c,False,False
d3759a4837c259da,True,False
db036d66dc455d80,True,True
e86ee92c78c85ede,True,True
f9287c526c085ee6,True,True
e827758c9a4d5610,True,True
cadc44ebe15e5db4,False,False
770613dd14425db8,False,False
86886cf12f505e9d,False,False
1050a803a42b5893,True,True
b0739e9db5e45f71,True,False
eb7f2524447d5513,True,True
04a6a45485a15a2b,True,True
aed0bbcc4cbc5365,True,False
4265c5a37d9152fe,False,False
3f69c82f76de5727,True,False
8b6205c538a65645,False,False
f4c1a5fd153d5ae9,False,False
d81d10a8f4605105,False,False
081499c918b456cf,False,False
6d4efe5b5b775e13,True,True
82ee651a9f4e5a52,True,True
c4db787a54a85924,False,False
e87ee81f912050f6,True,False
dbc5515d92805407,False,False
267746a4a8dd59ab,False,False
ccaf2d602a155bff,False,False
f2605a13e4a252de,True,True
17cebfd5f01958b0,True,False
1e373845a14e5832,False,False
bdb4d16d65625cd6,False,False
3636f3afecc6510a,False,False
4fdc9031bdd75bcd,False,False
5be01209205054fb,True,False
d04973afc6a45464,False,False
d878cbbdb886532c,True,True
008b8a46251c5a1b,False,False
f1005f1547c15902,True,True
5a1fec05c8da5906,True,True
69368381e2475f9e,True,False
ae705bb0b129515c,True,True
e203fdca8d445716,True,True
f6511056918a5624,True,False
f73b8467fcaf5d3a,False,False
f5b1af687e4e5bdd,False,False
660d441f78995db0,False,False
6c462ad217445c95,False,False
ccab434ea3435742,False,False
b8b1eaed485e5210,True,False
9187c5c1641f5219,False,False
07c762f889a55ab0,True,True
6865221acc885507,True,True
d35c1985f7c95ab9,True,True
e85280f6213c5fa2,False,False
0b2431fd3182598a,False,False
74d5e4275c8051d4,True,False
8c79d36873e95bd5,False,False
cbb40c67e34d51ce,False,False
fc004e9795025482,False,False
6134109d97435f65,False,False
642ce77f1f7f5cde,False,False
70362e98f9145a5d,True,True
70f443b6f55d59b3,True,True
7a4a7dde1876565f,False,False
bba46ecba019553e,False,False
33983a9679f55cb6,True,True
3c250a655b525596,True,True
973212f4395659fd,True,True
9b86e413b09457d2,True,True
f9cbe8c29e7153ba,True,False
addf87a6dfc457d2,True,False
0ed507a2c4b55f5b,False,False
01affab72fbc5d91,True,True
9dc55e1d71e557e5,False,False
9fd0bccf54215014,False,False
a2f0224971cc54c9,False,False
c0f4a3cb86cc5f66,False,False
341f95a39012572c,True,True
b63694c8b7005d32,True,True
bcbb69931c0559ea,True,True
c85af4ac00505d84,True,True
e1aebe7c6345569b,True,True
fffee6ec5b295e72,False,False
2b5bab01af0451b9,False,False
3fd59434a3545258,False,False
8ab984f977e251ee,False,False
d9b6846f41ab5be1,False,False
5a2bac41d9ec50c1,False,False
3766e2ed763f5026,False,False
32221cb6b3025849,True,True
41edb6d498345297,True,True
8d6e184bc1455596,True,True
917ef3227a175b1f,False,False
47681b174c9559b2,True,False
6333ba0b28f8533c,True,False
d92c1b6e32a6522f,True,True
9600d906a2355474,False,False
5733a183d5065e78,False,False
c42f117e133e5bce,True,True
eeb79531efda53c1,True,True
9595723640755b9c,False,False
c103f5e91ef958bf,False,False
b694456a764e52d9,False,False
4a50945c99ea5ce5,False,False
2a1c27632c635d3b,False,False
9cddad52b31354be,True,False
a08e08cb3a865520,False,False
1aa78f399f0c5d9e,False,False
3f1773adf55d5583,True,True
61e57fd5944958a6,False,False
63604bf58ae05e13,False,False
712608a5cdbd5f30,False,False
a52271b3a4fa5347,False,False
c4da33b248065716,True,False
2d9239a95a725b9b,False,False
3ff7a390c8c85492,True,True
464747112a8d5e29,True,True
ab780767041a5c89,True,True
ae0d9f34fea956f3,True,True
a0e4f29e4d635fc2,False,False
3f8218878d285ef1,True,True
433d47c0850c50cf,True,True
b1db39693a3b5fa2,False,False
fc7491606d515f20,True,True
225bf1a15f4b5efd,True,True
42270b0513f15f82,True,True
ab59afb519b351ee,False,False
00053617aedc56e0,False,False
4446b199ea295d1e,False,False
57af586f5ec05dd3,False,False
630dd86a8e175837,False,False
7aefdad93bc5558c,False,False
7ee401028c495fef,False,False
94f319c05f4651b9,False,False
96feb947615f5f37,False,False
ec32d47d023c591d,False,False
ee3d635bd0805bba,False,False
096ca9caf93c5766,False,False
aae2f9ea3c965a53,False,False
c3fdcc4d25515859,False,False
1ec617c07d605b67,True,True
2b9ea8d57bcf5c0b,True,True
c3af757198905102,True,True
c3dd308c988f50c9,False,False
ced7d9229b80554d,False,False
504bf08562c75c73,True,False
f871885d33ef5863,False,False
