head,pairs,n_edit,n_placebo,median_edit_m,median_placebo_m,ratio,lo,hi,pass_2x
E1 M-C pair [cinque],all,216,181,0.2679287791252136,0.19018734991550446,1.4087623357772827,1.2402305513620377,1.7287112921476362,False
E1 M-C pair [cinque],1-3 actors,212,181,0.2711813449859619,0.19018734991550446,1.4258642196655273,1.2428498834371566,1.7418606281280518,False
E1 M-C pair [cinque],>=4 actors,4,181,0.24965554475784302,0.19018734991550446,1.3126821517944336,1.125410795211792,4.780467987060547,False
E2 pair (a) [cinque],all,216,181,0.02098435491303423,0.009722208960287025,2.1583937352869564,1.7718633455147585,2.5621053317707405,True
E2 pair (a) [cinque],1-3 actors,212,181,0.02098435491303423,0.009722208960287025,2.1583937352869564,1.7669852811985463,2.565009858531872,True
E2 pair (a) [cinque],>=4 actors,4,181,0.02675280458599935,0.009722208960287025,2.751720796711773,0.6856863071431216,17.568530719888994,True
E2 hard (a) [cinque],all,216,181,0.031924550435588485,0.021453078552915568,1.4881104526254483,1.25761767091653,1.7844973096549999,False
E2 hard (a) [cinque],1-3 actors,212,181,0.03210718450423866,0.021453078552915568,1.4966236395883217,1.2623413492808326,1.8128800761289459,False
E2 hard (a) [cinque],>=4 actors,4,181,0.022843668151404414,0.021453078552915568,1.064820048789681,0.420745510001606,11.297677442232912,False
E2 uniform (a) [cinque],all,216,181,0.023741257633384617,0.01606190861310953,1.4781093707635278,1.2940098511052167,1.721209659036089,False
E2 uniform (a) [cinque],1-3 actors,212,181,0.0235765711097451,0.01606190861310953,1.4678561357584985,1.2822072165293261,1.720259565722365,False
E2 uniform (a) [cinque],>=4 actors,4,181,0.024930374619955682,0.01606190861310953,1.5521427260274547,0.6770946063062125,2.4475571038587103,False
E2 pair qwen (a) [cinque],all,216,181,0.020984371164963468,0.00972221118047083,2.1583949140207044,1.7718603766738314,2.562102387470945,True
E2 pair qwen (a) [cinque],1-3 actors,212,181,0.020984371164963468,0.00972221118047083,2.1583949140207044,1.7669786027918706,2.5650070439530004,True
E2 pair qwen (a) [cinque],>=4 actors,4,181,0.026752824562076137,0.00972221118047083,2.7517222230077647,0.6856849677333781,17.56852471463236,True
E2 pair op (a) [cinque],all,216,181,0.0,0.0,,,,False
E2 pair op (a) [cinque],1-3 actors,212,181,0.0,0.0,,,,False
E2 pair op (a) [cinque],>=4 actors,4,181,0.0,0.0,,,,False
E1 M-C pair [lebowski],all,216,181,0.27341747283935547,0.18695761263370514,1.4624570608139038,1.2405687123537064,1.6518425256013864,False
E1 M-C pair [lebowski],1-3 actors,212,181,0.27439069747924805,0.18695761263370514,1.4676625728607178,1.2414908409118652,1.666341122984886,False
E1 M-C pair [lebowski],>=4 actors,4,181,0.22376209497451782,0.18695761263370514,1.1968600749969482,0.5636432766914368,2.4534435272216797,False
E2 pair (a) [lebowski],all,216,181,0.02098435491303423,0.009722208960287025,2.1583937352869564,1.7718633455147585,2.5621053317707405,True
E2 pair (a) [lebowski],1-3 actors,212,181,0.02098435491303423,0.009722208960287025,2.1583937352869564,1.7669852811985463,2.565009858531872,True
E2 pair (a) [lebowski],>=4 actors,4,181,0.02675280458599935,0.009722208960287025,2.751720796711773,0.6856863071431216,17.568530719888994,True
E2 hard (a) [lebowski],all,216,181,0.011882647726091006,0.004969974090476804,2.390887258116676,1.712486723353209,2.7942435552844627,True
E2 hard (a) [lebowski],1-3 actors,212,181,0.012039217865898321,0.004969974090476804,2.4223904685875968,1.7158836989757391,2.808161084218817,True
E2 hard (a) [lebowski],>=4 actors,4,181,0.008863500771601876,0.004969974090476804,1.7834098549096336,0.7279766808220018,12.217980003270377,False
E2 uniform (a) [lebowski],all,216,181,0.02616606980596959,0.01692192088678477,1.5462824806375302,1.3062266830857718,1.8455204633612918,False
E2 uniform (a) [lebowski],1-3 actors,212,181,0.02616606980596959,0.01692192088678477,1.5462824806375302,1.311375146332514,1.859548047570929,False
E2 uniform (a) [lebowski],>=4 actors,4,181,0.020368163984079986,0.01692192088678477,1.2036555495296382,0.5987549112584072,8.161429111532183,False
E2 pair qwen (a) [lebowski],all,216,181,0.020984371164963468,0.00972221118047083,2.1583949140207044,1.7718603766738314,2.562102387470945,True
E2 pair qwen (a) [lebowski],1-3 actors,212,181,0.020984371164963468,0.00972221118047083,2.1583949140207044,1.7669786027918706,2.5650070439530004,True
E2 pair qwen (a) [lebowski],>=4 actors,4,181,0.026752824562076137,0.00972221118047083,2.7517222230077647,0.6856849677333781,17.56852471463236,True
E2 pair op (a) [lebowski],all,216,181,0.0,0.0,,,,False
E2 pair op (a) [lebowski],1-3 actors,212,181,0.0,0.0,,,,False
E2 pair op (a) [lebowski],>=4 actors,4,181,0.0,0.0,,,,False
