scope,n,activation,lo,hi,delta_mag_median_m,model,arm,tau
straight_yaw,11597,0.0,0.0,0.0,0.09156660343561704,cinque,E2 pair (a),1.1452840566635132
pre_onset,1458,0.0,0.0,0.0,0.0793380464954381,cinque,E2 pair (a),1.1452840566635132
all,19663,0.0,0.0,0.0,0.08757347379489612,cinque,E2 pair (a),1.1452840566635132
Pedestrians,1831,0.0,0.0,0.0,0.08723109244120185,cinque,E2 pair (a),1.1452840566635132
Cyclists,2830,0.0,0.0,0.0,0.09044317063597007,cinque,E2 pair (a),1.1452840566635132
Cut_ins,885,0.0,0.0,0.0,0.09153890063113217,cinque,E2 pair (a),1.1452840566635132
FOD,3561,0.0,0.0,0.0,0.0831210318212933,cinque,E2 pair (a),1.1452840566635132
Intersections,4772,0.0,0.0,0.0,0.0877752326511857,cinque,E2 pair (a),1.1452840566635132
straight_yaw,11597,0.020263861343450894,0.014721804403621643,0.02660084530441877,1.1672623948057552,cinque,E2 hard (a),1.203105866909027
pre_onset,1458,0.011659807956104253,0.0022996592454820543,0.02448532590621881,0.8815468883869865,cinque,E2 hard (a),1.203105866909027
all,19663,0.015409652647103698,0.011462330502334262,0.019695204306795167,1.0313032214608615,cinque,E2 hard (a),1.203105866909027
Pedestrians,1831,0.0212998361551065,0.003910342198222873,0.043478260869565216,0.957324238600681,cinque,E2 hard (a),1.203105866909027
Cyclists,2830,0.0063604240282685515,0.0024491369418783307,0.011680130059880205,0.9367825062770211,cinque,E2 hard (a),1.203105866909027
Cut_ins,885,0.012429378531073447,0.0045351473922902496,0.022041987173747876,1.0371864425939534,cinque,E2 hard (a),1.203105866909027
FOD,3561,0.017691659646166806,0.008218964768302332,0.02916334491687108,1.101718752654342,cinque,E2 hard (a),1.203105866909027
Intersections,4772,0.013830678960603521,0.007176471371327396,0.02176659221535719,1.0671518299760108,cinque,E2 hard (a),1.203105866909027
straight_yaw,11597,0.002673105113391394,0.0013941352221527056,0.004194181688381224,0.7274243323125718,cinque,E2 uniform (a),1.141517162322998
pre_onset,1458,0.0013717421124828531,0.0,0.0043541364296081275,0.5645848032053213,cinque,E2 uniform (a),1.141517162322998
all,19663,0.002135991456034176,0.0012685847668341198,0.003129812166425381,0.7108964453740371,cinque,E2 uniform (a),1.141517162322998
Pedestrians,1831,0.002730748225013654,0.0,0.00684951076320939,0.7293764743332936,cinque,E2 uniform (a),1.141517162322998
