set,examinee,L_s,window,scope,tau_model,null_ff,null_ff_oos,false_flip_nonreactive,n,unit,routes,flip,lo,hi,sign_agree,abs_over_tau_median
pdm,TFv6 target speed,0.1,per frame,pooled,2.1527776865,0.05033205173016428,0.05555048818403385,0.010775862068965518,783,frame,48,0.06130268199233716,0.03770587894752077,0.08588159581453032,0.42017879948914433,0.01755871044474615
pdm,TFv6 target speed,0.1,per frame,pedestrian,2.1527776865,0.05033205173016428,0.05555048818403385,0.005852231163130944,309,frame,22,0.061488673139158574,0.025545122760451226,0.1035467635804974,0.5275080906148867,0.008918694905069899
pdm,TFv6 target speed,0.1,per frame,cut-in,2.1527776865,0.05033205173016428,0.05555048818403385,0.05851063829787234,474,frame,26,0.06118143459915612,0.0293498485337762,0.09330879566680782,0.350210970464135,0.035114758512179
pdm,TFv6 target speed,0.1,(a) gated,pooled,2.1527776865,0.04568345323741007,0.054746412104682125,0.01045354914854156,725,frame,48,0.06482758620689655,0.03889542573578749,0.09197280947578314,0.416551724137931,0.018080082643894393
pdm,TFv6 target speed,0.1,(a) gated,pedestrian,2.1527776865,0.04568345323741007,0.054746412104682125,0.005740740740740741,275,frame,22,0.06545454545454546,0.023620721652217715,0.11451578583397605,0.52,0.008918722592387874
pdm,TFv6 target speed,0.1,(a) gated,cut-in,2.1527776865,0.04568345323741007,0.054746412104682125,0.0583804143126177,450,frame,26,0.06444444444444444,0.03144162735849056,0.0970500587801077,0.35333333333333333,0.03522831062916894
pdm,TFv6 target speed,0.1,(b) per pair,pooled,2.1527776865,0.5955056179775281,0.5411616161616162,0.010775862068965518,140,pair,48,0.25,0.15383211678832118,0.34782608695652173,0.42017879948914433,0.01755871044474615
pdm,TFv6 target speed,0.1,(b) per pair,pedestrian,2.1527776865,0.5955056179775281,0.5411616161616162,0.005852231163130944,63,pair,22,0.23809523809523808,0.0967741935483871,0.39344262295081966,0.5275080906148867,0.008918694905069899
pdm,TFv6 target speed,0.1,(b) per pair,cut-in,2.1527776865,0.5955056179775281,0.5411616161616162,0.05851063829787234,77,pair,26,0.2597402597402597,0.12804054054054054,0.4025974025974026,0.350210970464135,0.035114758512179
pdm,TFv6 waypoint speed 2 s,0.1,per frame,pooled,1.8946682175,0.05033205173016428,0.04836969581059146,0.059847480106100796,783,frame,48,0.1251596424010217,0.06241994739400177,0.19447844138011436,0.5798212005108557,0.1649800845950344
pdm,TFv6 waypoint speed 2 s,0.1,per frame,pedestrian,1.8946682175,0.05033205173016428,0.04836969581059146,0.06510607168983175,309,frame,22,0.10355987055016182,0.033431064073226546,0.19582602839707752,0.6537216828478964,0.04938600620779633
pdm,TFv6 waypoint speed 2 s,0.1,per frame,cut-in,1.8946682175,0.05033205173016428,0.04836969581059146,0.008865248226950355,474,frame,26,0.13924050632911392,0.040721110779337114,0.23972881167167834,0.5316455696202531,0.3354731686140723
pdm,TFv6 waypoint speed 2 s,0.1,(a) gated,pooled,1.8946682175,0.04712230215827338,0.04496136112734593,0.06002360478839993,725,frame,48,0.13379310344827586,0.06684643897377816,0.2075195063129522,0.5889655172413794,0.18916249871002788
pdm,TFv6 waypoint speed 2 s,0.1,(a) gated,pedestrian,1.8946682175,0.04712230215827338,0.04496136112734593,0.065,275,frame,22,0.11636363636363636,0.03814253302767471,0.22131303966962831,0.6727272727272727,0.04372495420401314
pdm,TFv6 waypoint speed 2 s,0.1,(a) gated,cut-in,1.8946682175,0.04712230215827338,0.04496136112734593,0.009416195856873822,450,frame,26,0.14444444444444443,0.03962158531124048,0.24732272595175817,0.5377777777777778,0.3749178355037897
pdm,TFv6 waypoint speed 2 s,0.1,(b) per pair,pooled,1.8946682175,0.5168539325842697,0.45025252525252524,0.059847480106100796,140,pair,48,0.2571428571428571,0.15327199918897,0.37142857142857144,0.5798212005108557,0.1649800845950344
pdm,TFv6 waypoint speed 2 s,0.1,(b) per pair,pedestrian,1.8946682175,0.5168539325842697,0.45025252525252524,0.06510607168983175,63,pair,22,0.25396825396825395,0.1076923076923077,0.4166666666666667,0.6537216828478964,0.04938600620779633
pdm,TFv6 waypoint speed 2 s,0.1,(b) per pair,cut-in,1.8946682175,0.5168539325842697,0.45025252525252524,0.008865248226950355,77,pair,26,0.2597402597402597,0.11538461538461539,0.41025641025641024,0.5316455696202531,0.3354731686140723
pdm,TFv6 target speed (decoded scalar),0.1,per frame,pooled,2.234400034,0.049982523593149246,0.05699493426311428,0.010941644562334218,783,frame,48,0.06002554278416347,0.0357131483166515,0.0843720351043643,0.20945083014048532,0.0
pdm,TFv6 target speed (decoded scalar),0.1,per frame,pedestrian,2.234400034,0.049982523593149246,0.05699493426311428,0.005852231163130944,309,frame,22,0.061488673139158574,0.025545122760451226,0.1035467635804974,0.284789644012945,0.0
pdm,TFv6 target speed (decoded scalar),0.1,per frame,cut-in,2.234400034,0.049982523593149246,0.05699493426311428,0.06028368794326241,474,frame,26,0.05907172995780591,0.027091931833311145,0.09163429614873837,0.16033755274261605,0.0
pdm,TFv6 target speed (decoded scalar),0.1,(a) gated,pooled,2.234400034,0.045323741007194246,0.055851678680433794,0.010622154779969651,725,frame,48,0.06344827586206897,0.036595252312537324,0.09030826760434643,0.2082758620689655,0.0
pdm,TFv6 target speed (decoded scalar),0.1,(a) gated,pedestrian,2.234400034,0.045323741007194246,0.055851678680433794,0.005740740740740741,275,frame,22,0.06545454545454546,0.023620721652217715,0.11451578583397605,0.28,0.0
pdm,TFv6 target speed (decoded scalar),0.1,(a) gated,cut-in,2.234400034,0.045323741007194246,0.055851678680433794,0.060263653483992465,450,frame,26,0.06222222222222222,0.02906846968438538,0.09566133794929228,0.16444444444444445,0.0
pdm,TFv6 target speed (decoded scalar),0.1,(b) per pair,pooled,2.234400034,0.5955056179775281,0.5409090909090909,0.010941644562334218,140,pair,48,0.24285714285714285,0.14595895482915475,0.34042938637064446,0.20945083014048532,0.0
pdm,TFv6 target speed (decoded scalar),0.1,(b) per pair,pedestrian,2.234400034,0.5955056179775281,0.5409090909090909,0.005852231163130944,63,pair,22,0.23809523809523808,0.0967741935483871,0.39344262295081966,0.284789644012945,0.0
pdm,TFv6 target speed (decoded scalar),0.1,(b) per pair,cut-in,2.234400034,0.5955056179775281,0.5409090909090909,0.06028368794326241,77,pair,26,0.24675324675324675,0.10810810810810811,0.38961038961038963,0.16033755274261605,0.0
pdm,ridge ego,0.0,per frame,pooled,0.0,0.0027962250961202375,0.0028474541362011386,0.017241379310344827,783,frame,48,0.07918263090676884,0.058670056497175146,0.10105132287826903,0.07918263090676884,
pdm,ridge ego,0.0,per frame,pedestrian,0.0,0.0027962250961202375,0.0028474541362011386,0.019019751280175568,309,frame,22,0.11650485436893204,0.08064516129032258,0.15658694959366865,0.11650485436893204,
pdm,ridge ego,0.0,per frame,cut-in,0.0,0.0027962250961202375,0.0028474541362011386,0.0,474,frame,26,0.05485232067510549,0.03178387084255055,0.07919067280277307,0.05485232067510549,
pdm,ridge ego,0.0,(a) gated,pooled,0.0,0.0027962250961202375,0.0028474541362011386,0.017241379310344827,783,frame,48,0.07918263090676884,0.058670056497175146,0.10105132287826903,0.07918263090676884,
pdm,ridge ego,0.0,(a) gated,pedestrian,0.0,0.0027962250961202375,0.0028474541362011386,0.019019751280175568,309,frame,22,0.11650485436893204,0.08064516129032258,0.15658694959366865,0.11650485436893204,
pdm,ridge ego,0.0,(a) gated,cut-in,0.0,0.0027962250961202375,0.0028474541362011386,0.0,474,frame,26,0.05485232067510549,0.03178387084255055,0.07919067280277307,0.05485232067510549,
pdm,ridge ego,0.0,(b) per pair,pooled,0.0,0.02247191011235955,0.022474747474747474,0.017241379310344827,140,pair,48,0.4,0.2907801418439716,0.5070422535211268,0.07918263090676884,
pdm,ridge ego,0.0,(b) per pair,pedestrian,0.0,0.02247191011235955,0.022474747474747474,0.019019751280175568,63,pair,22,0.5238095238095238,0.375,0.671875,0.11650485436893204,
pdm,ridge ego,0.0,(b) per pair,cut-in,0.0,0.02247191011235955,0.022474747474747474,0.0,77,pair,26,0.2987012987012987,0.15584415584415584,0.44155844155844154,0.05485232067510549,
pdm,ridge_late L18_last,0.3,per frame,pooled,0.4627066851,0.05033205173016428,0.04992962892128737,0.0,783,frame,48,0.0,0.0,0.0,0.524904214559387,0.053965192288160324
pdm,ridge_late L18_last,0.3,per frame,pedestrian,0.4627066851,0.05033205173016428,0.04992962892128737,0.0,309,frame,22,0.0,0.0,0.0,0.5436893203883495,0.03226204589009285
pdm,ridge_late L18_last,0.3,per frame,cut-in,0.4627066851,0.05033205173016428,0.04992962892128737,0.0,474,frame,26,0.0,0.0,0.0,0.5126582278481012,0.0790649950504303
pdm,ridge_late L18_last,0.3,(a) gated,pooled,0.4627066851,0.042175360710321866,0.05363290032818968,0.0,664,frame,47,0.0,0.0,0.0,0.5316265060240963,0.05986296385526657
pdm,ridge_late L18_last,0.3,(a) gated,pedestrian,0.4627066851,0.042175360710321866,0.05363290032818968,0.0,238,frame,21,0.0,0.0,0.0,0.5462184873949579,0.032821886241436005
pdm,ridge_late L18_last,0.3,(a) gated,cut-in,0.4627066851,0.042175360710321866,0.05363290032818968,0.0,426,frame,26,0.0,0.0,0.0,0.5234741784037559,0.08098281919956207
pdm,ridge_late L18_last,0.3,(b) per pair,pooled,0.4627066851,0.3595505617977528,0.34924242424242424,0.0,140,pair,48,0.0,0.0,0.0,0.524904214559387,0.053965192288160324
