set,examinee,scope,pairs_flipped,t_first_flip_median,n_ba,flip_minus_onset_ba_median,share_before_onset_ba,n_pdm,flip_minus_onset_pdm_median,share_before_onset_pdm
ba,TFv6 target speed,pooled,9,4.6000000000000005,9,-3.999999999999999,0.6666666666666666,8,2.3000000000000003,0.0
ba,TFv6 waypoint speed 2 s,pooled,112,3.6,112,0.0,0.48214285714285715,101,2.8000000000000007,0.009900990099009901
ba,TFv6 target speed (decoded scalar),pooled,10,4.6000000000000005,10,-3.999999999999999,0.7,9,2.0,0.1111111111111111
ba,ridge ego,pooled,69,3.8000000000000003,69,1.5999999999999996,0.0,47,4.800000000000001,0.0
ba,ridge_late op-cinque temporal,pooled,78,6.0,78,0.20000000000000018,0.3076923076923077,77,4.0,0.0
ba,ridge_late op-cinque vision,pooled,95,5.800000000000001,95,0.39999999999999947,0.2736842105263158,94,3.8,0.0
ba,ridge_late op-lebowski temporal,pooled,84,6.2,84,0.39999999999999947,0.30952380952380953,83,4.0,0.0
ba,ridge_late op-lebowski vision,pooled,93,6.0,93,0.39999999999999947,0.3010752688172043,92,3.8,0.0
ba,ridge_late op-lebowski hidden,pooled,86,6.0,86,0.20000000000000018,0.3372093023255814,85,3.8,0.011764705882352941
ba,prior [cinque],pooled,78,6.0,78,0.20000000000000018,0.3076923076923077,77,4.0,0.0
ba,M-C pair [cinque],pooled,129,5.6000000000000005,129,0.39999999999999947,0.20930232558139536,113,3.6000000000000005,0.0
ba,M-C pair (mu=0) [cinque],pooled,124,6.0,124,0.4,0.1935483870967742,110,3.8,0.0
ba,M-C pair qwen [cinque],pooled,129,5.4,129,0.40000000000000036,0.20930232558139536,112,3.6000000000000005,0.0
ba,M-C pair op [cinque],pooled,99,5.800000000000001,99,0.20000000000000018,0.29292929292929293,98,3.8,0.0
ba,M-C hard [cinque],pooled,77,6.0,77,0.20000000000000018,0.3116883116883117,76,3.8000000000000007,0.0
ba,M-C uniform [cinque],pooled,77,6.0,77,0.20000000000000018,0.3116883116883117,76,4.0,0.0
ba,prior [lebowski],pooled,84,6.2,84,0.39999999999999947,0.30952380952380953,83,4.0,0.0
ba,M-C pair [lebowski],pooled,130,5.2,130,0.2999999999999998,0.2153846153846154,115,3.4000000000000004,0.0
ba,M-C pair (mu=0) [lebowski],pooled,123,6.0,123,0.40000000000000036,0.16260162601626016,110,3.8,0.00909090909090909
ba,M-C pair qwen [lebowski],pooled,125,5.2,125,0.40000000000000036,0.2,111,3.6,0.0
