row,cluster,v0,a0,rater_best_score,onset_log,onset_log_from2,onset_rater_best,onset_rater_best_from2
620236,Cyclist,1.2865099815611285,0.17466838657998363,8.0,4.625,4.625,0.125,4.875
621131,Cyclist,0.9890160219633901,-0.0019497487595856455,10.0,,,,
621579,Pedestrian,2.893066739479797,-1.3476560311187313,10.0,0.875,0.875,0.125,
622436,Cut_ins,6.109371357798546,-0.687546108922664,10.0,0.625,0.625,0.125,
622894,Cyclist,11.723631255779635,-0.5859761463296564,10.0,0.625,0.625,0.125,0.625
624008,Cut_ins,8.253148136043393,0.2770193886320129,10.0,0.375,0.375,3.625,3.625
624238,Cyclist,3.613359953658345,0.2189541149933376,8.0,,,0.125,
624466,Cyclist,0.0015099263765689674,0.004026470337517247,10.0,,,,
624696,Pedestrian,6.809574791198892,0.7734369606770599,10.0,4.375,4.375,0.375,0.375
625582,Pedestrian,4.429575082570979,-0.3145056378741735,8.0,,,0.125,
626498,Pedestrian,8.118734300186432,-0.08203002614587263,10.0,,,0.125,
626956,Cut_ins,8.444323058612934,-0.35954273830140693,10.0,1.625,1.625,,
627185,Cut_ins,8.430667720205689,-1.132805043574308,10.0,0.375,0.375,,
627395,Pedestrian,8.604985894496444,0.4960855537944582,8.0,2.375,2.375,0.125,2.125
628073,Cut_ins,6.143585116267923,-0.22650835573785244,10.0,0.375,0.375,0.125,
628501,Cyclist,0.9893766687468908,0.2542804468332043,10.0,4.125,4.125,4.125,4.125
630443,Cyclist,1.8751956382216806,-1.4377189733814717,10.0,0.375,0.375,,
631816,Cyclist,9.945289610169628,-1.2189969635162115,10.0,0.375,0.375,1.125,1.125
632045,Cyclist,8.59457281311052,0.9186215892388034,10.0,1.625,1.625,2.375,2.375
633162,Pedestrian,3.4000877182251217,0.9887098312453979,8.0,3.375,3.375,0.125,3.125
633391,Cyclist,12.454360165561113,-1.7720620475627982,10.0,0.375,0.375,0.125,1.375
634307,Cyclist,6.740517972582149,0.30662843669373885,10.0,,,0.125,
634965,Pedestrian,4.871253599311144,-0.25616709171293905,10.0,0.625,0.625,0.125,1.625
635796,Cyclist,5.249515859107221,-1.6602096444997159,8.0,,,0.125,
636025,Cut_ins,1.621587691670472,-4.457071760351564,10.0,,,,
636482,Cyclist,1.8718004918183246,-3.511265398835004,10.0,0.375,0.375,,
637598,Pedestrian,0.2404293856616191,0.4533558995005681,10.0,1.875,1.875,1.875,1.875
638912,Cyclist,6.099648438457357,-3.4764607461010186,10.0,0.375,0.375,,
639829,Pedestrian,3.7051195144551006,-1.29870605627859,10.0,,,0.125,
640516,Pedestrian,3.637456677063426,-2.420448831155511,10.0,,,0.125,
640830,Pedestrian,4.072701617002296,-0.019989815274783496,8.0,4.875,4.875,4.875,4.875
641935,Cyclist,6.416264898154548,0.14940130924982142,10.0,0.875,0.875,,
642164,Cyclist,19.83436306436632,-0.7267558296591972,10.0,1.375,1.375,0.375,0.375
643257,Pedestrian,0.0,0.0,10.0,,,,
643935,Cyclist,1.4503137992691875,0.5236801979809371,10.0,0.625,0.625,,
644622,Pedestrian,1.986956104454545,1.8115601739388172,10.0,1.125,1.125,0.125,0.375
645507,Cyclist,8.099978009788828,1.087751928281417,10.0,0.875,0.875,0.875,0.875
645945,Cut_ins,20.011230996092017,1.1601573964262997,8.0,0.875,0.875,0.125,0.875
646852,Cyclist,9.058597319823253,-1.44530417249144,10.0,0.375,0.375,0.125,
649799,Cyclist,0.7966375698235417,-2.720864215507726,10.0,,,,
650028,Cyclist,0.0,0.0,10.0,,,,
650486,Cut_ins,11.015643074580126,-2.1249906612216307,10.0,0.375,0.375,0.125,
651572,Cyclist,2.6357429032302178,-1.4453121919800758,10.0,,,,
652980,Cyclist,0.0,0.0,10.0,,,,
653437,Cyclist,-0.014593732085684492,-0.15882145674121426,10.0,,,,
654125,Pedestrian,12.51576525558404,0.0903751837405693,10.0,0.375,0.375,0.125,
654793,Cyclist,2.7026376232682416,-1.8632792117909496,10.0,,,0.125,
655921,Pedestrian,3.12569544734637,0.3283526962891923,8.0,1.625,1.625,0.125,1.875
656131,Pedestrian,0.0009765625,0.0,10.0,,,,
657235,Cyclist,0.0029296875,0.0078125,10.0,,,,
658321,Cyclist,5.337827876458807,-4.797387267933697,10.0,0.625,0.625,0.125,
659008,Cyclist,6.364233110159857,-1.7503853687202486,10.0,0.625,0.625,,
659447,Cyclist,5.869658045197621,0.33205229353108123,10.0,4.375,4.375,0.125,4.375
659665,Cyclist,0.0,0.0,8.0,,,,
