set,model,arm,metric,s0,s1,s2,s0r (seed-0 re-run),mean,range,ci_halfwidth_s0,range_lt_halfwidth
ba,cinque,prior,ped_flip,0.0025,0.0000,0.0025,,0.0016,0.0025,0.0040,True
ba,cinque,prior,cutin_delta_vs_prior,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,False
ba,cinque,prior,null_ff_oos,0.0505,0.0449,0.0444,,0.0466,0.0061,,False
ba,cinque,prior,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
ba,cinque,M-C pair,ped_flip,0.4335,0.4360,0.4236,,0.4310,0.0123,0.0782,True
ba,cinque,M-C pair,cutin_delta_vs_prior,0.0311,0.0459,0.0281,,0.0350,0.0178,0.0261,True
ba,cinque,M-C pair,null_ff_oos,0.0510,0.0494,0.0488,,0.0497,0.0022,,False
ba,cinque,M-C pair,pass,1.0000,1.0000,1.0000,,1.0000,0.0000,,False
ba,cinque,M-C pair (mu=0),ped_flip,0.3744,0.3867,0.3768,,0.3793,0.0123,0.0923,True
ba,cinque,M-C pair (mu=0),cutin_delta_vs_prior,-0.1021,-0.0784,-0.0429,,-0.0745,0.0592,0.0705,True
ba,cinque,M-C pair (mu=0),null_ff_oos,0.0547,0.0545,0.0552,,0.0548,0.0007,,False
ba,cinque,M-C pair (mu=0),pass,0.0000,1.0000,1.0000,,0.6667,1.0000,,False
ba,cinque,M-C pair qwen,ped_flip,0.4212,0.4187,0.4039,,0.4146,0.0172,0.0825,True
ba,cinque,M-C pair qwen,cutin_delta_vs_prior,-0.0547,-0.0429,-0.0414,,-0.0464,0.0133,0.0484,True
ba,cinque,M-C pair qwen,null_ff_oos,0.0493,0.0534,0.0523,,0.0517,0.0041,,False
ba,cinque,M-C pair qwen,pass,0.0000,1.0000,0.0000,,0.3333,1.0000,,False
ba,cinque,M-C pair op,ped_flip,0.0690,0.0616,0.0837,,0.0714,0.0222,0.0430,True
ba,cinque,M-C pair op,cutin_delta_vs_prior,0.0814,0.0695,0.0636,,0.0715,0.0178,0.0311,True
ba,cinque,M-C pair op,null_ff_oos,0.0501,0.0462,0.0517,,0.0493,0.0055,,False
ba,cinque,M-C pair op,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
ba,cinque,M-C hard,ped_flip,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,False
ba,cinque,M-C hard,cutin_delta_vs_prior,0.0059,-0.0030,-0.0104,,-0.0025,0.0163,0.0144,False
ba,cinque,M-C hard,null_ff_oos,0.0492,0.0510,0.0502,,0.0501,0.0018,,False
ba,cinque,M-C hard,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
ba,cinque,M-C uniform,ped_flip,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,False
ba,cinque,M-C uniform,cutin_delta_vs_prior,0.0104,-0.0030,0.0015,,0.0030,0.0133,0.0097,False
