examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
prior [cinque],pooled,1.315,783,48,140,0.005109,0,0.01178,0.005109,0,6032,0.0001658,0.05033,0.04931,2861,0.009613
Q9b pair grid s0 [cinque],pooled,2.387,783,48,140,0.2771,0.1762,0.3805,0.281,0.003831,6032,0.008952,0.05033,0.05071,2861,0.2261
Q9b pair grid s1 [cinque],pooled,2.33,783,48,140,0.1903,0.1011,0.282,0.1928,0.002554,6032,0.002487,0.05033,0.05712,2861,0.1374
Q9b pair grid s2 [cinque],pooled,2.415,783,48,140,0.1303,0.06217,0.2116,0.1315,0.001277,6032,0.005802,0.05033,0.04952,2861,0.1309
Q9b hard grid [cinque],pooled,3.841,783,48,140,0,0,0,0,0,6032,0,0.05033,0.05396,2861,0
Q9b pair pooled-linear [cinque],pooled,1.358,783,48,140,0.006386,0.001272,0.01333,0.007663,0.001277,6032,0.0003316,0.05033,0.05228,2861,0.0109
prior [lebowski],pooled,1.4,783,48,140,0.02554,0.00146,0.06008,0.03576,0.01022,6032,0.0004973,0.05033,0.05116,2861,0.02316
Q9b pair grid s0 [lebowski],pooled,2.358,783,48,140,0.2567,0.1539,0.3624,0.2644,0.007663,6032,0.005802,0.05033,0.05071,2861,0.1985
Q9b pair grid s1 [lebowski],pooled,2.498,783,48,140,0.1967,0.1141,0.2819,0.2005,0.003831,6032,0.002155,0.05033,0.04675,2861,0.1344
Q9b pair grid s2 [lebowski],pooled,2.517,783,48,140,0.2375,0.1462,0.3292,0.2388,0.001277,6032,0.0063,0.05033,0.05215,2861,0.1922
Q9b hard grid [lebowski],pooled,3.59,783,48,140,0,0,0,0,0,6032,0,0.05033,0.05689,2861,0
Q9b pair pooled-linear [lebowski],pooled,1.383,783,48,140,0.02937,0.004032,0.06641,0.04087,0.01149,6032,0.0006631,0.05033,0.05137,2861,0.02754
