t,kind,fold,arm,model,group,n,slope_fit,slope_prior
1.79e+09,q9b_insample,0,Q9b pair grid s0,cinque,pedestrian,291,-0.003256,0.001136
1.79e+09,q9b_insample,0,Q9b pair grid s0,cinque,cut-in,394,0.1119,-0.0054
1.79e+09,q9b_insample,0,Q9b pair grid s1,cinque,pedestrian,291,0.07319,0.001136
1.79e+09,q9b_insample,0,Q9b pair grid s1,cinque,cut-in,394,0.03745,-0.0054
1.79e+09,q9b_insample,0,Q9b pair grid s2,cinque,pedestrian,291,-0.009923,0.001136
1.79e+09,q9b_insample,0,Q9b pair grid s2,cinque,cut-in,394,-0.07593,-0.0054
1.79e+09,q9b_insample,0,Q9b hard grid,cinque,pedestrian,291,-0.005389,0.001136
1.79e+09,q9b_insample,0,Q9b hard grid,cinque,cut-in,394,0.06405,-0.0054
1.79e+09,q9b_insample,0,Q9b pair pooled-linear,cinque,pedestrian,291,0.005469,0.001136
1.79e+09,q9b_insample,0,Q9b pair pooled-linear,cinque,cut-in,394,-0.0144,-0.0054
1.79e+09,q9b_insample,1,Q9b pair grid s0,cinque,pedestrian,268,0.00364,0.0008573
1.79e+09,q9b_insample,1,Q9b pair grid s0,cinque,cut-in,338,0.1699,-0.04047
1.79e+09,q9b_insample,1,Q9b pair grid s1,cinque,pedestrian,268,0.0323,0.0008573
1.79e+09,q9b_insample,1,Q9b pair grid s1,cinque,cut-in,338,-0.1342,-0.04047
1.79e+09,q9b_insample,1,Q9b pair grid s2,cinque,pedestrian,268,0.005043,0.0008573
1.79e+09,q9b_insample,1,Q9b pair grid s2,cinque,cut-in,338,0.1717,-0.04047
1.79e+09,q9b_insample,1,Q9b hard grid,cinque,pedestrian,268,-0.02662,0.0008573
1.79e+09,q9b_insample,1,Q9b hard grid,cinque,cut-in,338,0.06863,-0.04047
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,cinque,pedestrian,268,0.001631,0.0008573
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,cinque,cut-in,338,-0.04389,-0.04047
1.79e+09,q9b_insample,2,Q9b pair grid s0,cinque,pedestrian,231,0.02581,0.004074
