what,max_abs_diff_m,criteria_equal
M-C BA preds_obs,0.0004620552062988281,True
NAVSIM navhard_two_stage_cls_ego_K1024,16.60846519470215,
NAVSIM navhard_two_stage_cls_late_cinque_temporal,14.418671607971191,
NAVSIM navhard_two_stage_cls_late_lebowski_temporal,16.30902862548828,
NAVSIM navhard_two_stage_native_cinque,0.0,
NAVSIM navhard_two_stage_native_lebowski,0.0,
NAVSIM navhard_two_stage_ridge_ego,0.0,
NAVSIM navhard_two_stage_ridge_late_cinque_temporal,7.62939453125e-06,
NAVSIM navhard_two_stage_ridge_late_lebowski_temporal,1.9073486328125e-06,
NAVSIM navtest_cls_ego_K1024,15.628093719482422,
NAVSIM navtest_cls_late_cinque_temporal,15.628093719482422,
NAVSIM navtest_cls_late_lebowski_temporal,22.49947738647461,
NAVSIM navtest_native_cinque,0.0,
NAVSIM navtest_native_lebowski,0.0,
NAVSIM navtest_ridge_ego,0.0,
NAVSIM navtest_ridge_late_cinque_temporal,7.62939453125e-06,
NAVSIM navtest_ridge_late_lebowski_temporal,1.9073486328125e-06,
WOD heads preds,110.73551940917969,
