backend,cams,n,p50_ms,p95_ms,mean_ms,peak_vram_gb
esam3:efficientvit:batched:bf16,1,179,54.1,56.23,54.3,2.444
esam3:efficientvit:batched:bf16,3,60,111.7,114.4,112.1,6.865
esam3:efficientvit:batched:fp32,1,179,86.36,90.17,87.16,2.701
esam3:efficientvit:batched:fp32,3,60,234.7,241.3,235.5,8.44
esam3:efficientvit:exact:fp32,1,179,165.2,173.1,166.1,1.586
esam3:efficientvit:exact:fp32,3,60,489.6,521.4,493.8,2.389
esam3:repvit:batched:bf16,1,179,58.1,63.53,58.39,2.457
esam3:repvit:batched:bf16,3,60,115.7,117.6,115.7,6.877
esam3:repvit:exact:fp32,1,179,160.1,164.8,160.8,1.597
esam3:repvit:exact:fp32,3,60,480.4,501,483.7,2.401
esam3:tinyvit:batched:bf16,1,179,54.71,56.84,54.98,2.48
esam3:tinyvit:batched:bf16,3,60,114.5,115.3,114.5,6.902
esam3:tinyvit:exact:fp32,1,179,162.8,175.1,164.3,1.624
esam3:tinyvit:exact:fp32,3,60,483.7,514,487.2,2.427
gdino:0.35:0.25,1,179,65.95,78.08,67.99,1.679
gdino:0.35:0.25,3,60,148.1,162.1,150.1,3.62
sam31:batched:all:1008:max-autotune:bf16,1,179,72.6,73.78,72.7,5.734
sam31:batched:all:1008:max-autotune:bf16,3,60,175.7,177.3,175.8,11.97
sam31:batched:all:1008:none:bf16,1,179,72.91,74.44,73.19,5.733
sam31:batched:all:1008:none:bf16,3,60,179.7,180.5,179.8,10.66
sam31:batched:p:1008:none:bf16,1,179,51.95,54.07,52.29,4.16
sam31:batched:p:1008:none:bf16,3,60,112.5,118.8,113.9,5.15
sam31:batched:pv:1008:none:bf16,1,179,57.42,58.66,57.57,4.472
sam31:batched:pv:1008:none:bf16,3,60,124.8,125.8,124.8,6.25
sam31:exact:all:1008:none:bf16,1,179,182.4,186.3,182.9,4.317
sam31:exact:all:1008:none:bf16,3,60,539.9,550.3,540.5,4.722
sam31:exact:p:1008:none:bf16,1,179,52.51,62.55,54.07,4.148
sam31:exact:p:1008:none:bf16,3,60,153.2,155.5,153.6,4.221
yolo:yolo26l-seg.pt:640:half,1,179,11.91,13.69,12.07,0.1896
yolo:yolo26l-seg.pt:640:half,3,60,16.86,18.99,17.07,0.3613
yolo:yolo26x-seg.pt:1280:fp32,1,179,22.01,23.07,21.97,1.191
yolo:yolo26x-seg.pt:1280:fp32,3,60,64.82,66.49,64.93,2.621
yolo:yolo26x-seg.pt:1280:half,1,179,15.35,17.6,15.59,0.6867
yolo:yolo26x-seg.pt:1280:half,3,60,42.15,44.33,42.17,1.559
yolo:yolo26x-seg.pt:640:fp32,1,179,12.81,14.91,12.97,0.528
yolo:yolo26x-seg.pt:640:fp32,3,60,22.78,29.56,23.74,0.9136
yolo:yolo26x-seg.pt:640:half,1,179,12.12,13.82,12.3,0.3031
yolo:yolo26x-seg.pt:640:half,3,60,17.18,20.12,17.49,0.5437
yoloe:yoloe-26l-seg.pt:640:half,1,179,15.74,31.33,17.39,0.1876
yoloe:yoloe-26l-seg.pt:640:half,3,60,19.95,30.24,21.43,0.3482
yoloe:yoloe-26x-seg.pt:1280:fp32,1,179,22.59,28.2,23.11,1.106
yoloe:yoloe-26x-seg.pt:1280:fp32,3,60,66.18,69.22,66.55,2.604
yoloe:yoloe-26x-seg.pt:1280:fp32:words,1,179,22.69,26.48,23.13,1.112
yoloe:yoloe-26x-seg.pt:1280:fp32:words,3,60,65.29,71.69,66.29,2.615
yoloe:yoloe-26x-seg.pt:1280:half,1,179,17.95,26.33,19.37,0.648
yoloe:yoloe-26x-seg.pt:1280:half,3,60,43.77,47.46,44.06,1.54
yoloe:yoloe-26x-seg.pt:1280:half:words,1,179,16.94,19.02,17.26,0.6526
yoloe:yoloe-26x-seg.pt:1280:half:words,3,60,42.04,47.33,42.59,1.551
yoloe:yoloe-26x-seg.pt:640:fp32,1,179,13.57,22.65,14.74,0.5488
yoloe:yoloe-26x-seg.pt:640:fp32,3,60,21.39,24.25,22.03,0.9339
yoloe:yoloe-26x-seg.pt:640:fp32:words,1,179,13.86,16.1,14.05,0.5559
yoloe:yoloe-26x-seg.pt:640:fp32:words,3,60,22.31,24.4,22.58,0.9468
yoloe:yoloe-26x-seg.pt:640:half,1,179,15.65,27.17,17.51,0.3175
yoloe:yoloe-26x-seg.pt:640:half,3,60,20.83,30.22,22.17,0.5445
yoloe:yoloe-26x-seg.pt:640:half:words,1,179,14.07,15.75,14.19,0.319
yoloe:yoloe-26x-seg.pt:640:half:words,3,60,19.01,21.01,19.2,0.5556
