name,score,contact,p5_haz_ped_all,p5_haz_ped_all_oracle,p5_haz_ped_le20,p5_haz_ped_le20_oracle,p5_haz_ped_le30day,p5_haz_ped_le30day_oracle,p5_haz_ped_le20_bev_med,p5_ped_0-10,p5_ped_10-20,p5_ped_20-40,p5_ped_le40,p5_ped_le40_oracle,p5_ped_prec,nusc_ped_0-10,nusc_ped_10-20,nusc_ped_20-40,nusc_ped_le40,nusc_ped_le40_oracle,nusc_ped_prec,p5_haz_veh_all,p5_haz_veh_all_oracle,p5_haz_veh_le20,p5_haz_veh_le20_oracle,p5_haz_veh_le30day,p5_haz_veh_le30day_oracle,p5_haz_veh_le20_bev_med,p5_veh_0-10,p5_veh_10-20,p5_veh_20-40,p5_veh_le40,p5_veh_le40_oracle,p5_veh_prec,nusc_veh_0-10,nusc_veh_10-20,nusc_veh_20-40,nusc_veh_le40,nusc_veh_le40_oracle,nusc_veh_prec,p5_ped_img_0-10,p5_ped_img_10-20,p5_ped_img_20-40,p5_ped_img_le40,p5_veh_img_0-10,p5_veh_img_10-20,p5_veh_img_20-40,p5_veh_img_le40,nusc_ped_img_0-10,nusc_ped_img_10-20,nusc_ped_img_20-40,nusc_ped_img_le40,nusc_veh_img_0-10,nusc_veh_img_10-20,nusc_veh_img_20-40,nusc_veh_img_le40,d_haz_ped_all,d_haz_ped_all_lo,d_haz_ped_all_hi,d_haz_ped_le20,d_haz_ped_le20_lo,d_haz_ped_le20_hi,nusc_ped_recall_at_base_prec
esam3-tinyvit,0.5,mask,0.3944,0.5495,0.7847,0.8059,0.5294,0.6194,0.4967,0.8798,0.5712,0.04298,0.4208,0.5524,0.6677,0.446,0.1522,0.02081,0.1268,0.1798,0.5858,0.5349,0.5796,0.8641,0.8964,0.7173,0.7817,0.9762,0.805,0.7865,0.2988,0.4653,0.5213,0.4672,0.683,0.4721,0.1907,0.326,0.3227,0.3781,0.8821,0.6479,0.2976,0.5577,0.2063,0.6678,0.5972,0.5832,0.4953,0.2215,0.04406,0.1724,0.3229,0.5166,0.4846,0.4791,-0.0976,-0.1586,-0.03848,-0.09544,-0.154,-0.04592,0.2653
gdino-tiny,0.35,mask,0.4164,0.5921,0.7264,0.7338,0.5538,0.659,0.3191,0.8107,0.5899,0.1306,0.4438,0.5907,0.4783,0.5211,0.2867,0.161,0.2568,0.4204,0.37,0,0,0,0,0,0,,0,0,0,0,0,0.6667,0.002976,0.01045,0.004098,0.005982,0.006409,0.2756,0.8202,0.6292,0.4396,0.6011,0,0,0,0,0.5704,0.4688,0.3837,0.4417,0.004464,0.01181,0.01374,0.01225,-0.07558,-0.1791,0.02307,-0.1538,-0.2781,-0.02444,0.2101
sam31-batched,0.5,mask,0.492,0.7713,0.8802,0.9194,0.6499,0.8574,0.4647,0.9012,0.6816,0.1265,0.4898,0.7204,0.5676,0.6526,0.4361,0.2069,0.3562,0.5796,0.3768,0.7755,0.8316,0.8875,0.9343,0.8056,0.869,0.9875,0.8288,0.8515,0.5882,0.6754,0.7477,0.5482,0.7381,0.5152,0.3291,0.4266,0.4957,0.3356,0.9095,0.7959,0.5758,0.7284,0.1701,0.6681,0.7578,0.6866,0.6596,0.6012,0.5643,0.5912,0.253,0.5543,0.696,0.6092,0,0,0,0,0,0,0.3562
sam31-orig,0.5,mask,0.492,0.7713,0.8802,0.9194,0.6499,0.8574,0.4647,0.9012,0.6816,0.1265,0.4898,0.7204,0.5676,0.6526,0.4368,0.2062,0.3562,0.579,0.3767,0.7766,0.831,0.8886,0.9343,0.8067,0.869,0.9881,0.8288,0.8519,0.5882,0.6755,0.7478,0.5484,0.7381,0.5152,0.3291,0.4266,0.4948,0.3352,0.9095,0.7959,0.5758,0.7284,0.1712,0.6688,0.7578,0.6869,0.6573,0.6012,0.5649,0.5912,0.2545,0.5543,0.697,0.6099,0,0,0,0,0,0,0.3508
sam31-orig-boxcontact,0.5,box,0.5015,0.7728,0.8887,0.9194,0.6598,0.8574,0.3925,0.9012,0.6985,0.1371,0.4983,0.7215,0.5773,0.6573,0.4361,0.213,0.3596,0.6002,0.38,0.7932,0.8351,0.9009,0.9332,0.8212,0.8669,1.103,0.8311,0.8729,0.6134,0.6978,0.7603,0.5647,0.7455,0.5025,0.3322,0.4252,0.5448,0.3358,,,,,,,,,,,,,,,,,0.00951,0.001486,0.02058,0.008484,0,0.0259,0.3596
sam31-orig-depth,0.5,depth,0.2062,0.7713,0.4358,0.9194,0.3005,0.8574,1.21,0.494,0.02622,0.003244,0.1661,0.7204,0.1918,0.8286,0.6087,0.1236,0.4108,0.579,0.319,0.1833,0.831,0.2283,0.9343,0.2297,0.869,1.028,0.6009,0.2502,0.1081,0.185,0.7478,0.1039,0.8899,0.5938,0.19,0.3836,0.4948,0.1457,,,,,,,,,,,,,,,,,-0.2858,-0.478,-0.1164,-0.4443,-0.6941,-0.2318,0.3686
yolo26x-1280,0.25,mask,0.4945,0.7598,0.8844,0.9173,0.656,0.8444,0.4434,0.9,0.6966,0.1314,0.4948,0.7123,0.5445,0.6761,0.4497,0.2326,0.3766,0.6665,0.3439,0.8144,0.8396,0.9109,0.9343,0.8285,0.8669,0.7876,0.8095,0.8686,0.621,0.6999,0.757,0.5551,0.7307,0.5407,0.3387,0.4395,0.5673,0.3315,0.9083,0.7865,0.558,0.7177,0.1837,0.7251,0.7633,0.706,0.7347,0.661,0.6493,0.6645,0.3274,0.6124,0.7394,0.6602,0.002503,-0.008338,0.01293,0.004242,-0.00646,0.02337,0.3604
yolo26x-640,0.25,mask,0.4965,0.7022,0.8897,0.9173,0.656,0.8078,0.444,0.9012,0.706,0.1306,0.4967,0.669,0.6074,0.6737,0.4409,0.2191,0.3664,0.6314,0.3649,0.8013,0.8299,0.9098,0.9376,0.8254,0.8701,0.8044,0.8254,0.8711,0.6178,0.6997,0.7585,0.5634,0.7604,0.5588,0.3363,0.4467,0.574,0.3526,0.9095,0.7884,0.459,0.6717,0.2098,0.7324,0.7629,0.7097,0.7418,0.6617,0.6059,0.6455,0.3899,0.6143,0.7394,0.6667,0.004505,-0.01004,0.01948,0.009544,-0.003515,0.02916,0.3633
yolo26x-640-depth,0.25,depth,0.2022,0.7022,0.4274,0.9173,0.2937,0.8078,1.206,0.4845,0.02622,0.003244,0.163,0.669,0.1875,0.9178,0.6406,0.1169,0.4318,0.6314,0.3342,0.1735,0.8299,0.2249,0.9376,0.2308,0.8701,1.053,0.5952,0.2382,0.09689,0.174,0.7585,0.1011,0.9018,0.5338,0.1502,0.3424,0.574,0.1551,0.9095,0.7884,0.459,0.6717,0.2098,0.7324,0.7629,0.7097,0.7418,0.6617,0.6059,0.6455,0.3899,0.6143,0.7394,0.6667,-0.2898,-0.4838,-0.1169,-0.4528,-0.7011,-0.2407,0.4117
yolo26x-640-half,0.25,mask,0.4985,0.7017,0.8897,0.9173,0.6583,0.8078,0.4443,0.9012,0.706,0.1338,0.4983,0.6686,0.6076,0.6737,0.4416,0.2191,0.3666,0.6302,0.3646,0.8024,0.8299,0.9098,0.9365,0.8254,0.869,0.8125,0.8265,0.8715,0.6174,0.6996,0.7578,0.5635,0.7604,0.5575,0.3358,0.4459,0.5726,0.3526,0.9095,0.7884,0.4582,0.6713,0.2098,0.7331,0.7626,0.7097,0.7418,0.6637,0.6022,0.6447,0.3869,0.6152,0.7389,0.6664,0.006507,-0.007369,0.02094,0.009544,-0.003515,0.02916,0.3635
yoloe26x-1280,0.25,mask,0.01201,0.04755,0.01909,0.02015,0.01297,0.03509,1.553,0.01071,0.03558,0.005677,0.01343,0.04334,0.3097,0,0.0006793,0,0.0002831,0.0002831,0.5,0.5275,0.5693,0.8731,0.9154,0.7412,0.8067,1,0.8073,0.8101,0.3115,0.4799,0.5387,0.5236,0.5923,0.2522,0.0364,0.1572,0.1936,0.3396,0.01071,0.03184,0.06813,0.04219,0.2211,0.7001,0.5403,0.555,0,0.0006793,0,0.0002831,0.1607,0.3189,0.1504,0.2042,-0.48,-0.7201,-0.2207,-0.8611,-0.9345,-0.6804,0.01784
yoloe26x-1280-words,0.25,mask,0.481,0.8073,0.8558,0.9183,0.6369,0.8841,0.4759,0.9012,0.6404,0.1257,0.481,0.7488,0.4893,0.6737,0.4341,0.2142,0.3613,0.5696,0.3215,0.7016,0.7801,0.8797,0.9232,0.7838,0.8503,1,0.8039,0.8304,0.5532,0.6448,0.7118,0.5409,0.5595,0.3803,0.2307,0.3091,0.3652,0.3066,0.9083,0.7828,0.6375,0.7545,0.2222,0.7171,0.7272,0.6832,0.6925,0.5788,0.508,0.5597,0.1295,0.3898,0.5014,0.4309,-0.01101,-0.03006,0.009689,-0.02439,-0.0477,-0.01105,0.3423
yoloe26x-1280-words-half,0.25,mask,0.4805,0.8068,0.8558,0.9183,0.6369,0.8841,0.4759,0.9012,0.6404,0.1249,0.4806,0.7484,0.4889,0.6737,0.4348,0.213,0.361,0.5685,0.3212,0.7022,0.7806,0.8797,0.9232,0.7838,0.8503,1,0.8039,0.8304,0.5518,0.6439,0.7118,0.5404,0.5595,0.3807,0.2324,0.3102,0.3632,0.3071,0.9083,0.7828,0.6358,0.7537,0.2188,0.716,0.7258,0.6817,0.6948,0.5836,0.508,0.562,0.1295,0.3898,0.5017,0.431,-0.01151,-0.03006,0.008472,-0.02439,-0.0477,-0.01105,0.3417
yoloe26x-640,0.25,mask,0.004004,0.007508,0.008484,0.008484,0.004577,0.004577,0.911,0.003571,0.007491,0,0.002685,0.00537,0.4118,0,0,0,0,0.0002831,0,0.4187,0.4479,0.7706,0.7984,0.5842,0.631,0.9096,0.6939,0.5708,0.08916,0.2622,0.2891,0.5066,0.442,0.1254,0.01639,0.0913,0.105,0.3409,0.003571,0.007491,0.005677,0.00537,0.2528,0.5334,0.2571,0.3275,0,0,0.000612,0.0002831,0.1488,0.1627,0.08317,0.1144,-0.488,-0.7285,-0.2274,-0.8717,-0.9386,-0.7145,0.04445
