protocol,family,readout,kind,arm,vs,is_best_single,n,routes,delta,lo,hi,ci_excludes_0,arm_rate,vs_rate
p5,ridge,flip rate (pooled),concat,ridge_late concat op-cinque temporal + qwenvid L18_last,best single (pooled readout),True,1081,49,-0.08140610545790934,-0.11704493794379739,-0.04924712016591842,True,0.4005550416281221,0.48196114708603144
p5,ridge,flip rate (pooled),concat,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge_late op-cinque temporal,False,1081,49,-0.08140610545790934,-0.11704493794379739,-0.04924712016591842,True,0.4005550416281221,0.48196114708603144
p5,ridge,flip rate (pooled),concat,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,1081,49,0.4005550416281221,0.28683154778499076,0.5011896557446927,True,0.4005550416281221,0.0
p5,ridge,flip rate (pooled),late,ridge_late late op-cinque temporal + qwenvid L18_last,best single (pooled readout),True,1081,49,-0.05735430157261795,-0.07984411252120217,-0.036016100178890884,True,0.4246068455134135,0.48196114708603144
p5,ridge,flip rate (pooled),late,ridge_late late op-cinque temporal + qwenvid L18_last,ridge_late op-cinque temporal,False,1081,49,-0.05735430157261795,-0.07984411252120217,-0.036016100178890884,True,0.4246068455134135,0.48196114708603144
p5,ridge,flip rate (pooled),late,ridge_late late op-cinque temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,1081,49,0.4246068455134135,0.30599951532174813,0.5343981690145766,True,0.4246068455134135,0.0
p5,ridge,flip rate (pooled),concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,best single (pooled readout),True,1081,49,-0.11840888066604996,-0.17826800392589867,-0.061340874541715114,True,0.3635522664199815,0.48196114708603144
p5,ridge,flip rate (pooled),concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge_late op-lebowski temporal,False,1081,49,-0.08788159111933395,-0.13022234213463166,-0.04855235894897043,True,0.3635522664199815,0.4514338575393155
p5,ridge,flip rate (pooled),concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,1081,49,0.3635522664199815,0.2531924773172403,0.4643217237071649,True,0.3635522664199815,0.0
p5,ridge,flip rate (pooled),late,ridge_late late op-lebowski temporal + qwenvid L18_last,best single (pooled readout),True,1081,49,-0.07770582793709528,-0.1311759080603021,-0.036496213594627874,True,0.40425531914893614,0.48196114708603144
p5,ridge,flip rate (pooled),late,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge_late op-lebowski temporal,False,1081,49,-0.04717853839037928,-0.06801444679351655,-0.027047628726287267,True,0.40425531914893614,0.4514338575393155
p5,ridge,flip rate (pooled),late,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,1081,49,0.40425531914893614,0.2865777287362975,0.5100661314070699,True,0.40425531914893614,0.0
p5,ridge,flip rate (ped),concat,ridge_late concat op-cinque temporal + qwenvid L18_last,best single (ped readout),True,406,21,-0.024630541871921183,-0.05847286226318484,0.0,False,0.0024630541871921183,0.027093596059113302
p5,ridge,flip rate (ped),concat,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge_late op-cinque temporal,False,406,21,0.0,-0.006882456915598763,0.007247294261792934,False,0.0024630541871921183,0.0024630541871921183
p5,ridge,flip rate (ped),concat,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,406,21,0.0024630541871921183,0.0,0.00779444208310563,False,0.0024630541871921183,0.0
p5,ridge,flip rate (ped),late,ridge_late late op-cinque temporal + qwenvid L18_last,best single (ped readout),True,406,21,-0.027093596059113302,-0.0594914317302377,-0.002788320655901246,True,0.0,0.027093596059113302
p5,ridge,flip rate (ped),late,ridge_late late op-cinque temporal + qwenvid L18_last,ridge_late op-cinque temporal,False,406,21,-0.0024630541871921183,-0.00852400668264691,0.0,False,0.0,0.0024630541871921183
p5,ridge,flip rate (ped),late,ridge_late late op-cinque temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,406,21,0.0,0.0,0.0,False,0.0,0.0
p5,ridge,flip rate (ped),concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,best single (ped readout),True,406,21,-0.019704433497536946,-0.04049140049140049,-0.002788320655901246,True,0.007389162561576354,0.027093596059113302
p5,ridge,flip rate (ped),concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge_late op-lebowski temporal,False,406,21,-0.019704433497536946,-0.04049140049140049,-0.002788320655901246,True,0.007389162561576354,0.027093596059113302
p5,ridge,flip rate (ped),concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,406,21,0.007389162561576354,0.0,0.023592674279589394,False,0.007389162561576354,0.0
p5,ridge,flip rate (ped),late,ridge_late late op-lebowski temporal + qwenvid L18_last,best single (ped readout),True,406,21,-0.014778325123152709,-0.029309789609274366,-0.0026142126775388574,True,0.012315270935960592,0.027093596059113302
p5,ridge,flip rate (ped),late,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge_late op-lebowski temporal,False,406,21,-0.014778325123152709,-0.029309789609274366,-0.0026142126775388574,True,0.012315270935960592,0.027093596059113302
p5,ridge,flip rate (ped),late,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,406,21,0.012315270935960592,0.0,0.031529640893184455,False,0.012315270935960592,0.0
