examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
TFv6 target speed,pooled,8.253849813714613,1081,49,147,0.0,0.0,0.0,0.0,0.0,4045,0.014833127317676144,0.050062972292191435,0.046660110809968104,3176.0,0.0
TFv6 target speed,DynamicObjectCrossing,8.253849813714613,293,13,39,0.0,0.0,0.0,0.0,0.0,316,0.022151898734177215,,,,
TFv6 target speed,HighwayCutIn,8.253849813714613,207,8,24,0.0,0.0,0.0,0.0,0.0,1112,0.0368705035971223,,,,
TFv6 target speed,Light,8.253849813714613,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
TFv6 target speed,OppositeVehicleRunningRedLight,8.253849813714613,0,0,0,,,,,,58,0.0,,,,
TFv6 target speed,ParkingCrossingPedestrian,8.253849813714613,76,5,15,0.0,0.0,0.0,0.0,0.0,234,0.038461538461538464,,,,
TFv6 target speed,ParkingCutIn,8.253849813714613,217,8,24,0.0,0.0,0.0,0.0,0.0,600,0.0,,,,
TFv6 target speed,PedestrianCrossing,8.253849813714613,27,2,6,0.0,0.0,0.0,0.0,0.0,809,0.003708281829419036,,,,
TFv6 target speed,StaticCutIn,8.253849813714613,252,10,30,0.0,0.0,0.0,0.0,0.0,779,0.0,,,,
TFv6 target speed,VehicleTurningRoutePedestrian,8.253849813714613,10,1,3,0.0,0.0,0.0,0.0,0.0,2649,0.0,,,,
TFv6 waypoint speed 2 s,pooled,2.408644632544593,1081,49,147,0.30434782608695654,0.2394488796753705,0.3695497643089834,0.3098982423681776,0.005550416281221091,4045,0.17626699629171816,0.050062972292191435,0.055367008050911826,3176.0,0.22499241138775775
TFv6 waypoint speed 2 s,DynamicObjectCrossing,2.408644632544593,293,13,39,0.28668941979522183,0.2210875402792696,0.34926914771484796,0.28668941979522183,0.0,316,0.10126582278481013,,,,
TFv6 waypoint speed 2 s,HighwayCutIn,2.408644632544593,207,8,24,0.2753623188405797,0.08333333333333333,0.4788732394366197,0.2753623188405797,0.0,1112,0.11870503597122302,,,,
TFv6 waypoint speed 2 s,Light,2.408644632544593,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.020512820512820513,,,,
TFv6 waypoint speed 2 s,OppositeVehicleRunningRedLight,2.408644632544593,0,0,0,,,,,,58,0.05172413793103448,,,,
TFv6 waypoint speed 2 s,ParkingCrossingPedestrian,2.408644632544593,76,5,15,0.32894736842105265,0.09523809523809523,0.41818181818181815,0.32894736842105265,0.0,234,0.03418803418803419,,,,
TFv6 waypoint speed 2 s,ParkingCutIn,2.408644632544593,217,8,24,0.2672811059907834,0.1651376146788991,0.375,0.2672811059907834,0.0,600,0.14666666666666667,,,,
TFv6 waypoint speed 2 s,PedestrianCrossing,2.408644632544593,27,2,6,0.0,0.0,0.0,0.0,0.0,809,0.3695920889987639,,,,
TFv6 waypoint speed 2 s,StaticCutIn,2.408644632544593,252,10,30,0.4166666666666667,0.25396520146520146,0.5657409123197135,0.44047619047619047,0.023809523809523808,779,0.1925545571245186,,,,
TFv6 waypoint speed 2 s,VehicleTurningRoutePedestrian,2.408644632544593,10,1,3,1.0,1.0,1.0,1.0,0.0,2649,0.023027557568893922,,,,
TFv6 target speed (decoded scalar),pooled,8.25,1081,49,147,0.0,0.0,0.0,0.0,0.0,4045,0.015822002472187888,0.052267002518891686,0.05267271084674485,3176.0,0.0
TFv6 target speed (decoded scalar),DynamicObjectCrossing,8.25,293,13,39,0.0,0.0,0.0,0.0,0.0,316,0.02531645569620253,,,,
TFv6 target speed (decoded scalar),HighwayCutIn,8.25,207,8,24,0.0,0.0,0.0,0.0,0.0,1112,0.03866906474820144,,,,
TFv6 target speed (decoded scalar),Light,8.25,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
TFv6 target speed (decoded scalar),OppositeVehicleRunningRedLight,8.25,0,0,0,,,,,,58,0.0,,,,
TFv6 target speed (decoded scalar),ParkingCrossingPedestrian,8.25,76,5,15,0.0,0.0,0.0,0.0,0.0,234,0.038461538461538464,,,,
TFv6 target speed (decoded scalar),ParkingCutIn,8.25,217,8,24,0.0,0.0,0.0,0.0,0.0,600,0.0,,,,
TFv6 target speed (decoded scalar),PedestrianCrossing,8.25,27,2,6,0.0,0.0,0.0,0.0,0.0,809,0.004944375772558714,,,,
TFv6 target speed (decoded scalar),StaticCutIn,8.25,252,10,30,0.0,0.0,0.0,0.0,0.0,779,0.0,,,,
TFv6 target speed (decoded scalar),VehicleTurningRoutePedestrian,8.25,10,1,3,0.0,0.0,0.0,0.0,0.0,2649,0.0,,,,
ridge ego,pooled,0.0,1081,49,147,0.060129509713228495,0.04196321350592638,0.07962797194289377,0.060129509713228495,0.0,4045,0.000988875154511743,0.004722921914357683,0.005073193741555336,3176.0,0.18799327068581226
ridge ego,DynamicObjectCrossing,0.0,293,13,39,0.06825938566552901,0.03260869565217391,0.09897610921501707,0.06825938566552901,0.0,316,0.012658227848101266,,,,
ridge ego,HighwayCutIn,0.0,207,8,24,0.07246376811594203,0.029850746268656716,0.1044776119402985,0.07246376811594203,0.0,1112,0.0,,,,
ridge ego,Light,0.0,9,3,9,1.0,1.0,1.0,1.0,0.0,195,0.0,,,,
ridge ego,OppositeVehicleRunningRedLight,0.0,0,0,0,,,,,,58,0.27586206896551724,,,,
ridge ego,ParkingCrossingPedestrian,0.0,76,5,15,0.13157894736842105,0.08064516129032258,0.19642857142857142,0.13157894736842105,0.0,234,0.0,,,,
ridge ego,ParkingCutIn,0.0,217,8,24,0.0,0.0,0.0,0.0,0.0,600,0.0,,,,
ridge ego,PedestrianCrossing,0.0,27,2,6,0.0,0.0,0.0,0.0,0.0,809,0.0,,,,
ridge ego,StaticCutIn,0.0,252,10,30,0.04365079365079365,0.01568627450980392,0.07258064516129033,0.04365079365079365,0.0,779,0.0,,,,
ridge ego,VehicleTurningRoutePedestrian,0.0,10,1,3,0.1,0.1,0.1,0.1,0.0,2649,0.009060022650056626,,,,
ridge_late op-cinque temporal,pooled,1.1648479402065277,1081,49,147,0.48196114708603144,0.3549692920535316,0.6022899718701918,0.48196114708603144,0.0,4045,0.06946847960444993,0.050062972292191435,0.0505208708096483,3176.0,0.3347009998113563
ridge_late op-cinque temporal,DynamicObjectCrossing,1.1648479402065277,293,13,39,0.0,0.0,0.0,0.0,0.0,316,0.0031645569620253164,,,,
ridge_late op-cinque temporal,HighwayCutIn,1.1648479402065277,207,8,24,1.0,1.0,1.0,1.0,0.0,1112,0.23651079136690648,,,,
ridge_late op-cinque temporal,Light,1.1648479402065277,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
ridge_late op-cinque temporal,OppositeVehicleRunningRedLight,1.1648479402065277,0,0,0,,,,,,58,0.05172413793103448,,,,
ridge_late op-cinque temporal,ParkingCrossingPedestrian,1.1648479402065277,76,5,15,0.013157894736842105,0.0,0.033707865168539325,0.013157894736842105,0.0,234,0.05128205128205128,,,,
ridge_late op-cinque temporal,ParkingCutIn,1.1648479402065277,217,8,24,0.631336405529954,0.4611872146118721,0.7361111111111112,0.631336405529954,0.0,600,0.0,,,,
ridge_late op-cinque temporal,PedestrianCrossing,1.1648479402065277,27,2,6,0.0,0.0,0.0,0.0,0.0,809,0.006180469715698393,,,,
ridge_late op-cinque temporal,StaticCutIn,1.1648479402065277,252,10,30,0.6984126984126984,0.5670337194683908,0.8237829240688661,0.6984126984126984,0.0,779,0.0,,,,
ridge_late op-cinque temporal,VehicleTurningRoutePedestrian,1.1648479402065277,10,1,3,0.0,0.0,0.0,0.0,0.0,2649,0.0,,,,
ridge_late op-lebowski temporal,pooled,1.1702693700790405,1081,49,147,0.4514338575393155,0.33538820242010214,0.5616625317537569,0.4551341350601295,0.0037002775208140612,4045,0.0899876390605686,0.050062972292191435,0.051578602323331654,3176.0,0.33895256940617696
ridge_late op-lebowski temporal,DynamicObjectCrossing,1.1702693700790405,293,13,39,0.010238907849829351,0.0,0.025001959247648895,0.010238907849829351,0.0,316,0.006329113924050633,,,,
ridge_late op-lebowski temporal,HighwayCutIn,1.1702693700790405,207,8,24,0.9951690821256038,0.9855072463768116,1.0,0.9951690821256038,0.0,1112,0.3120503597122302,,,,
ridge_late op-lebowski temporal,Light,1.1702693700790405,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
ridge_late op-lebowski temporal,OppositeVehicleRunningRedLight,1.1702693700790405,0,0,0,,,,,,58,0.034482758620689655,,,,
ridge_late op-lebowski temporal,ParkingCrossingPedestrian,1.1702693700790405,76,5,15,0.039473684210526314,0.0,0.10112359550561797,0.09210526315789473,0.05263157894736842,234,0.029914529914529916,,,,
ridge_late op-lebowski temporal,ParkingCutIn,1.1702693700790405,217,8,24,0.4838709677419355,0.3529076013967231,0.6203703703703703,0.4838709677419355,0.0,600,0.008333333333333333,,,,
ridge_late op-lebowski temporal,PedestrianCrossing,1.1702693700790405,27,2,6,0.18518518518518517,0.0,0.20833333333333334,0.18518518518518517,0.0,809,0.003708281829419036,,,,
ridge_late op-lebowski temporal,StaticCutIn,1.1702693700790405,252,10,30,0.6587301587301587,0.5232513416815743,0.7866108786610879,0.6587301587301587,0.0,779,0.0,,,,
ridge_late op-lebowski temporal,VehicleTurningRoutePedestrian,1.1702693700790405,10,1,3,0.0,0.0,0.0,0.0,0.0,2649,0.0,,,,
ridge_late qwenvid L18_last,pooled,0.6905301809310913,1081,49,147,0.0,0.0,0.0,0.0,0.0,4045,0.002472187886279357,0.050062972292191435,0.05105733176632368,3176.0,0.0
ridge_late qwenvid L18_last,DynamicObjectCrossing,0.6905301809310913,293,13,39,0.0,0.0,0.0,0.0,0.0,316,0.0,,,,
ridge_late qwenvid L18_last,HighwayCutIn,0.6905301809310913,207,8,24,0.0,0.0,0.0,0.0,0.0,1112,0.0,,,,
ridge_late qwenvid L18_last,Light,0.6905301809310913,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
ridge_late qwenvid L18_last,OppositeVehicleRunningRedLight,0.6905301809310913,0,0,0,,,,,,58,0.06896551724137931,,,,
ridge_late qwenvid L18_last,ParkingCrossingPedestrian,0.6905301809310913,76,5,15,0.0,0.0,0.0,0.0,0.0,234,0.042735042735042736,,,,
ridge_late qwenvid L18_last,ParkingCutIn,0.6905301809310913,217,8,24,0.0,0.0,0.0,0.0,0.0,600,0.0,,,,
ridge_late qwenvid L18_last,PedestrianCrossing,0.6905301809310913,27,2,6,0.0,0.0,0.0,0.0,0.0,809,0.0,,,,
ridge_late qwenvid L18_last,StaticCutIn,0.6905301809310913,252,10,30,0.0,0.0,0.0,0.0,0.0,779,0.0,,,,
ridge_late qwenvid L18_last,VehicleTurningRoutePedestrian,0.6905301809310913,10,1,3,0.0,0.0,0.0,0.0,0.0,2649,0.0,,,,
ridge_late qwenvid L18_mean,pooled,0.5073177814483643,1081,49,147,0.0,0.0,0.0,0.0,0.0,4045,0.002472187886279357,0.050062972292191435,0.043083571183012336,3176.0,0.0
ridge_late qwenvid L18_mean,DynamicObjectCrossing,0.5073177814483643,293,13,39,0.0,0.0,0.0,0.0,0.0,316,0.0,,,,
ridge_late qwenvid L18_mean,HighwayCutIn,0.5073177814483643,207,8,24,0.0,0.0,0.0,0.0,0.0,1112,0.0,,,,
ridge_late qwenvid L18_mean,Light,0.5073177814483643,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
ridge_late qwenvid L18_mean,OppositeVehicleRunningRedLight,0.5073177814483643,0,0,0,,,,,,58,0.0,,,,
ridge_late qwenvid L18_mean,ParkingCrossingPedestrian,0.5073177814483643,76,5,15,0.0,0.0,0.0,0.0,0.0,234,0.042735042735042736,,,,
ridge_late qwenvid L18_mean,ParkingCutIn,0.5073177814483643,217,8,24,0.0,0.0,0.0,0.0,0.0,600,0.0,,,,
ridge_late qwenvid L18_mean,PedestrianCrossing,0.5073177814483643,27,2,6,0.0,0.0,0.0,0.0,0.0,809,0.0,,,,
ridge_late qwenvid L18_mean,StaticCutIn,0.5073177814483643,252,10,30,0.0,0.0,0.0,0.0,0.0,779,0.0,,,,
ridge_late qwenvid L18_mean,VehicleTurningRoutePedestrian,0.5073177814483643,10,1,3,0.0,0.0,0.0,0.0,0.0,2649,0.0,,,,
ridge_late concat op-cinque temporal + qwenvid L18_last,pooled,1.221909999847412,1081,49,147,0.4005550416281221,0.2878831759766213,0.5099121621621622,0.40148011100832565,0.0009250693802035153,4045,0.03683559950556242,0.050062972292191435,0.05174369798287482,3176.0,0.2765447874976084
ridge_late concat op-cinque temporal + qwenvid L18_last,DynamicObjectCrossing,1.221909999847412,293,13,39,0.0034129692832764505,0.0,0.010240667112346495,0.0034129692832764505,0.0,316,0.0031645569620253164,,,,
ridge_late concat op-cinque temporal + qwenvid L18_last,HighwayCutIn,1.221909999847412,207,8,24,0.927536231884058,0.8732221761944213,0.9754901960784313,0.927536231884058,0.0,1112,0.12410071942446044,,,,
ridge_late concat op-cinque temporal + qwenvid L18_last,Light,1.221909999847412,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
ridge_late concat op-cinque temporal + qwenvid L18_last,OppositeVehicleRunningRedLight,1.221909999847412,0,0,0,,,,,,58,0.017241379310344827,,,,
ridge_late concat op-cinque temporal + qwenvid L18_last,ParkingCrossingPedestrian,1.221909999847412,76,5,15,0.0,0.0,0.0,0.0,0.0,234,0.0,,,,
ridge_late concat op-cinque temporal + qwenvid L18_last,ParkingCutIn,1.221909999847412,217,8,24,0.3778801843317972,0.23385669893882385,0.5277777777777778,0.3778801843317972,0.0,600,0.0,,,,
ridge_late concat op-cinque temporal + qwenvid L18_last,PedestrianCrossing,1.221909999847412,27,2,6,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,809,0.012360939431396786,,,,
ridge_late concat op-cinque temporal + qwenvid L18_last,StaticCutIn,1.221909999847412,252,10,30,0.626984126984127,0.4921244219472566,0.7539732142857143,0.626984126984127,0.0,779,0.0,,,,
ridge_late concat op-cinque temporal + qwenvid L18_last,VehicleTurningRoutePedestrian,1.221909999847412,10,1,3,0.0,0.0,0.0,0.0,0.0,2649,0.0,,,,
ridge_late late op-cinque temporal + qwenvid L18_last,pooled,0.7754864692687988,1081,49,147,0.4246068455134135,0.30639165907068405,0.5373205879776023,0.4246068455134135,0.0,4045,0.0519159456118665,0.050062972292191435,0.046128846568968415,3176.0,0.2943369493660017
ridge_late late op-cinque temporal + qwenvid L18_last,DynamicObjectCrossing,0.7754864692687988,293,13,39,0.0,0.0,0.0,0.0,0.0,316,0.0,,,,
ridge_late late op-cinque temporal + qwenvid L18_last,HighwayCutIn,0.7754864692687988,207,8,24,0.9903381642512077,0.9803921568627451,1.0,0.9903381642512077,0.0,1112,0.18255395683453238,,,,
ridge_late late op-cinque temporal + qwenvid L18_last,Light,0.7754864692687988,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
ridge_late late op-cinque temporal + qwenvid L18_last,OppositeVehicleRunningRedLight,0.7754864692687988,0,0,0,,,,,,58,0.05172413793103448,,,,
ridge_late late op-cinque temporal + qwenvid L18_last,ParkingCrossingPedestrian,0.7754864692687988,76,5,15,0.0,0.0,0.0,0.0,0.0,234,0.0,,,,
ridge_late late op-cinque temporal + qwenvid L18_last,ParkingCutIn,0.7754864692687988,217,8,24,0.4470046082949309,0.3059360730593607,0.5555555555555556,0.4470046082949309,0.0,600,0.0,,,,
ridge_late late op-cinque temporal + qwenvid L18_last,PedestrianCrossing,0.7754864692687988,27,2,6,0.0,0.0,0.0,0.0,0.0,809,0.00865265760197775,,,,
ridge_late late op-cinque temporal + qwenvid L18_last,StaticCutIn,0.7754864692687988,252,10,30,0.623015873015873,0.49041772887875124,0.745989434463046,0.623015873015873,0.0,779,0.0,,,,
ridge_late late op-cinque temporal + qwenvid L18_last,VehicleTurningRoutePedestrian,0.7754864692687988,10,1,3,0.0,0.0,0.0,0.0,0.0,2649,0.0,,,,
ridge_late concat op-lebowski temporal + qwenvid L18_last,pooled,1.2393359541893005,1081,49,147,0.3635522664199815,0.2559299176867119,0.46868427848425087,0.3654024051803885,0.0018501387604070306,4045,0.04672435105067985,0.050062972292191435,0.06320085705833914,3176.0,0.26398628642667915
ridge_late concat op-lebowski temporal + qwenvid L18_last,DynamicObjectCrossing,1.2393359541893005,293,13,39,0.0,0.0,0.0,0.0,0.0,316,0.0031645569620253164,,,,
ridge_late concat op-lebowski temporal + qwenvid L18_last,HighwayCutIn,1.2393359541893005,207,8,24,0.855072463768116,0.7183098591549296,0.9710144927536232,0.855072463768116,0.0,1112,0.1672661870503597,,,,
ridge_late concat op-lebowski temporal + qwenvid L18_last,Light,1.2393359541893005,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
ridge_late concat op-lebowski temporal + qwenvid L18_last,OppositeVehicleRunningRedLight,1.2393359541893005,0,0,0,,,,,,58,0.0,,,,
ridge_late concat op-lebowski temporal + qwenvid L18_last,ParkingCrossingPedestrian,1.2393359541893005,76,5,15,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,234,0.008547008547008548,,,,
ridge_late concat op-lebowski temporal + qwenvid L18_last,ParkingCutIn,1.2393359541893005,217,8,24,0.2626728110599078,0.1152073732718894,0.4074074074074074,0.2626728110599078,0.0,600,0.0,,,,
ridge_late concat op-lebowski temporal + qwenvid L18_last,PedestrianCrossing,1.2393359541893005,27,2,6,0.1111111111111111,0.0,0.125,0.1111111111111111,0.0,809,0.0,,,,
