examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
TFv6 target speed,pooled,2.152777686516822,783,48,140,0.06130268199233716,0.03770587894752077,0.08588159581453032,0.11749680715197956,0.0561941251596424,6032,0.010775862068965518,0.05033205173016428,0.05555048818403385,2861.0,0.0780348480416692
TFv6 target speed,DynamicObjectCrossing,2.152777686516822,142,10,30,0.028169014084507043,0.0,0.052333231334149286,0.035211267605633804,0.007042253521126761,7,0.14285714285714285,,,,
TFv6 target speed,HardBreakRoute,2.152777686516822,0,0,0,,,,,,167,0.0,,,,
TFv6 target speed,HighwayCutIn,2.152777686516822,111,8,23,0.036036036036036036,0.0,0.07964601769911504,0.14414414414414414,0.10810810810810811,251,0.08764940239043825,,,,
TFv6 target speed,Light,2.152777686516822,0,0,0,,,,,,2,1.0,,,,
TFv6 target speed,OppositeVehicleRunningRedLight,2.152777686516822,0,0,0,,,,,,2,0.0,,,,
TFv6 target speed,ParkingCrossingPedestrian,2.152777686516822,62,3,9,0.08064516129032258,0.0,0.16,0.0967741935483871,0.016129032258064516,40,0.0,,,,
TFv6 target speed,ParkingCutIn,2.152777686516822,186,8,24,0.05913978494623656,0.023148148148148147,0.10406746432757982,0.15053763440860216,0.0913978494623656,216,0.018518518518518517,,,,
TFv6 target speed,PedestrianCrossing,2.152777686516822,38,4,11,0.2631578947368421,0.15789473684210525,0.391304347826087,0.34210526315789475,0.07894736842105263,720,0.043055555555555555,,,,
TFv6 target speed,StaticCutIn,2.152777686516822,177,10,30,0.07909604519774012,0.012738853503184714,0.1377344757997816,0.13559322033898305,0.05649717514124294,97,0.07216494845360824,,,,
TFv6 target speed,VehicleTurningRoutePedestrian,2.152777686516822,67,5,13,0.0,0.0,0.0,0.0,0.0,4701,0.0,,,,
TFv6 waypoint speed 2 s,pooled,1.8946682175409355,783,48,140,0.1251596424010217,0.06241994739400177,0.19447844138011436,0.21328224776500637,0.08812260536398467,6032,0.059847480106100796,0.05033205173016428,0.04836969581059146,2861.0,0.14402242272523683
TFv6 waypoint speed 2 s,DynamicObjectCrossing,1.8946682175409355,142,10,30,0.0,0.0,0.0,0.0,0.0,7,0.0,,,,
TFv6 waypoint speed 2 s,HardBreakRoute,1.8946682175409355,0,0,0,,,,,,167,0.0,,,,
TFv6 waypoint speed 2 s,HighwayCutIn,1.8946682175409355,111,8,23,0.02702702702702703,0.0,0.0743801652892562,0.2072072072072072,0.18018018018018017,251,0.01195219123505976,,,,
TFv6 waypoint speed 2 s,Light,1.8946682175409355,0,0,0,,,,,,2,0.5,,,,
TFv6 waypoint speed 2 s,OppositeVehicleRunningRedLight,1.8946682175409355,0,0,0,,,,,,2,0.5,,,,
TFv6 waypoint speed 2 s,ParkingCrossingPedestrian,1.8946682175409355,62,3,9,0.04838709677419355,0.0,0.12,0.04838709677419355,0.0,40,0.0,,,,
TFv6 waypoint speed 2 s,ParkingCutIn,1.8946682175409355,186,8,24,0.08064516129032258,0.011560693641618497,0.15394736842105208,0.3064516129032258,0.22580645161290322,216,0.004629629629629629,,,,
TFv6 waypoint speed 2 s,PedestrianCrossing,1.8946682175409355,38,4,11,0.34210526315789475,0.13953488372093023,0.47368421052631576,0.5263157894736842,0.18421052631578946,720,0.48194444444444445,,,,
TFv6 waypoint speed 2 s,StaticCutIn,1.8946682175409355,177,10,30,0.2711864406779661,0.0,0.45454545454545453,0.2711864406779661,0.0,97,0.010309278350515464,,,,
TFv6 waypoint speed 2 s,VehicleTurningRoutePedestrian,1.8946682175409355,67,5,13,0.23880597014925373,0.0273972602739726,0.5219769021739117,0.23880597014925373,0.0,4701,0.0019144862795149968,,,,
TFv6 target speed (decoded scalar),pooled,2.234400033950805,783,48,140,0.06002554278416347,0.0357131483166515,0.0843720351043643,0.11749680715197956,0.05747126436781609,6032,0.010941644562334218,0.05033205173016428,0.05699493426311428,2861.0,0.07722774553965144
