arm,vs,readout,n,value,delta,lo,hi,halfwidth,cluster_mean,cluster_mean_vs
ridge_late op-cinque temporal,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.7367007732391357,-0.14121398329734802,-0.2465367732963229,-0.02708271943244687,0.10972702693193802,,
ridge_late op-cinque temporal,ridge ego,"(ii) all frames, deciles 1-9",17695,1.2521564960479736,-0.3224368095397949,-0.3556870219895343,-0.2888059565405108,0.03344053272451175,,
ridge_late op-cinque temporal,ridge ego,"side: straight, deciles 1-9",10645,1.0640971660614014,-0.379675030708313,-0.42454038006619665,-0.3372928104015376,0.04362378483232954,,
ridge_late op-cinque temporal,ridge ego,"(iii) RFS, rater frames",478,7.392749713144209,0.2884089013130056,0.12202762318839509,0.44647597747149326,0.16222417714154908,7.409070751052525,7.101140857175357
ridge_late op-lebowski temporal,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.76869535446167,-0.1092192530632019,-0.23171305239641554,0.015320684403510905,0.12351686839996322,,
ridge_late op-lebowski temporal,ridge ego,"(ii) all frames, deciles 1-9",17695,1.2582006454467773,-0.3163926601409912,-0.3527074701399044,-0.28072421599213654,0.035991627073883925,,
ridge_late op-lebowski temporal,ridge ego,"side: straight, deciles 1-9",10645,1.0625271797180176,-0.3812451958656311,-0.42678861662033113,-0.3351946879003667,0.045796964359982206,,
ridge_late op-lebowski temporal,ridge ego,"(iii) RFS, rater frames",478,7.364477612530623,0.2601368006994201,0.09163378345361425,0.41501979941042905,0.1616930079784074,7.377743635522788,7.101140857175357
ridge_late qwenvid L18_last,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8286950588226318,-0.049219563603401184,-0.07319792851119519,-0.02771332214428396,0.022742303183455617,,
ridge_late qwenvid L18_last,ridge ego,"(ii) all frames, deciles 1-9",17695,1.5532387495040894,-0.021354515105485916,-0.032325339376630326,-0.010821795772154499,0.010751771802237913,,
ridge_late qwenvid L18_last,ridge ego,"side: straight, deciles 1-9",10645,1.4161038398742676,-0.027668477967381477,-0.044971076645031235,-0.012426288029015506,0.016272394308007865,,
ridge_late qwenvid L18_last,ridge ego,"(iii) RFS, rater frames",478,7.10966718663145,0.00532637480024677,-0.06378922788859104,0.07487259703740529,0.06933091246299816,7.068958090925302,7.101140857175357
ridge_late qwenvid L18_mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8160663843154907,-0.06184832379221916,-0.10216024124967162,-0.023634372772080706,0.039262934238795455,,
