fold,single,tau_other_folds,flip_pooled_other_folds,flip_ped_other_folds,chosen_pooled,chosen_ped
0,op-cinque temporal,1.583253479003906,0.5040871934604905,0.0,op-cinque temporal,op-cinque temporal
0,op-lebowski temporal,1.3323724508285522,0.47411444141689374,0.0,op-cinque temporal,op-cinque temporal
0,qwenvid L18_last,0.5138014316558838,0.0,0.0,op-cinque temporal,op-cinque temporal
0,qwenvid L18_mean,0.31789336204528806,0.0,0.0,op-cinque temporal,op-cinque temporal
1,op-cinque temporal,1.4624295234680176,0.44110854503464203,0.0,op-cinque temporal,op-cinque temporal
1,op-lebowski temporal,1.4999170303344727,0.3418013856812933,0.0,op-cinque temporal,op-cinque temporal
1,qwenvid L18_last,0.29550600051879883,0.0,0.0,op-cinque temporal,op-cinque temporal
1,qwenvid L18_mean,0.35082006454467773,0.0,0.0,op-cinque temporal,op-cinque temporal
2,op-cinque temporal,1.7117478847503662,0.38010204081632654,0.0,op-cinque temporal,op-cinque temporal
2,op-lebowski temporal,1.464167594909668,0.3673469387755102,0.0,op-cinque temporal,op-cinque temporal
2,qwenvid L18_last,0.5330179929733276,0.0,0.0,op-cinque temporal,op-cinque temporal
2,qwenvid L18_mean,0.34841442108154297,0.0,0.0,op-cinque temporal,op-cinque temporal
3,op-cinque temporal,1.309153378009795,0.48894348894348894,0.0,op-cinque temporal,op-cinque temporal
3,op-lebowski temporal,1.3158812046051023,0.4103194103194103,0.0,op-cinque temporal,op-cinque temporal
3,qwenvid L18_last,0.5238053798675532,0.0,0.0,op-cinque temporal,op-cinque temporal
3,qwenvid L18_mean,0.3500309586524963,0.0,0.0,op-cinque temporal,op-cinque temporal
4,op-cinque temporal,1.562545633316037,0.4930747922437673,0.0,op-cinque temporal,op-cinque temporal
4,op-lebowski temporal,1.3259380340576166,0.48476454293628807,0.0,op-cinque temporal,op-cinque temporal
4,qwenvid L18_last,0.5351765871047967,0.0,0.0,op-cinque temporal,op-cinque temporal
4,qwenvid L18_mean,0.3585309505462646,0.0,0.0,op-cinque temporal,op-cinque temporal
