protocol,family,readout,kind,arm,vs,is_best_single,n,delta,lo,hi,ci_excludes_0,cluster_mean_delta
wod_b,ridge,pre-onset dec1-9 ADE,concat,ridge_late concat op-cinque temporal + qwenvid L18_last,best single [dir0: op-lebowski temporal],True,1281,0.025516215711832047,-0.04974333090035197,0.09748231631269838,False,
wod_b,ridge,pre-onset dec1-9 ADE,concat,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge_late op-cinque temporal,False,1281,0.007335400674492121,-0.014193688525227429,0.028075099280788218,False,
wod_b,ridge,pre-onset dec1-9 ADE,concat,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,1281,-0.1912684142589569,-0.30089113570325066,-0.08208768207475677,True,
wod_b,ridge,pre-onset dec1-9 ADE,late,ridge_late late op-cinque temporal + qwenvid L18_last,best single [dir0: op-lebowski temporal],True,1281,-0.006232331041246653,-0.09597533689300004,0.08719212035423722,False,
wod_b,ridge,pre-onset dec1-9 ADE,late,ridge_late late op-cinque temporal + qwenvid L18_last,ridge_late op-cinque temporal,False,1281,-0.024413136765360832,-0.0882383795127184,0.04198338757964053,False,
wod_b,ridge,pre-onset dec1-9 ADE,late,ridge_late late op-cinque temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,1281,-0.22301696240901947,-0.2813573092753899,-0.1629571581750371,True,
wod_b,ridge,pre-onset dec1-9 ADE,concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,best single [dir0: op-lebowski temporal],True,1281,0.013079149648547173,-0.00775455108544353,0.035459763597991946,False,
wod_b,ridge,pre-onset dec1-9 ADE,concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge_late op-lebowski temporal,False,1281,0.013079149648547173,-0.00775455108544353,0.035459763597991946,False,
wod_b,ridge,pre-onset dec1-9 ADE,concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,1281,-0.20370547473430634,-0.31886570100370687,-0.1014000026205119,True,
wod_b,ridge,pre-onset dec1-9 ADE,late,ridge_late late op-lebowski temporal + qwenvid L18_last,best single [dir0: op-lebowski temporal],True,1281,-0.010820792056620121,-0.0741897545049451,0.061694376651814084,False,
wod_b,ridge,pre-onset dec1-9 ADE,late,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge_late op-lebowski temporal,False,1281,-0.010820792056620121,-0.0741897545049451,0.061694376651814084,False,
wod_b,ridge,pre-onset dec1-9 ADE,late,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,1281,-0.2276054322719574,-0.28797786366488065,-0.16846090164086724,True,
wod_b,ridge,RFS frame,concat,ridge_late concat op-cinque temporal + qwenvid L18_last,best single [dir0: op-lebowski temporal],True,478,0.013224096049384867,-0.08969741532680228,0.1154873216855826,False,0.010600216577488553
wod_b,ridge,RFS frame,concat,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge_late op-cinque temporal,False,478,-0.04694125210330476,-0.12075161340272415,0.025204863003424796,False,-0.007053087328150021
wod_b,ridge,RFS frame,concat,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,478,0.6996511713319529,0.5109801335858457,0.8681239504514017,True,0.7621450524134232
wod_b,ridge,RFS frame,late,ridge_late late op-cinque temporal + qwenvid L18_last,best single [dir0: op-lebowski temporal],True,478,-0.19789930141258888,-0.33480810640070385,-0.07124444329488612,True,-0.23026527672278796
wod_b,ridge,RFS frame,late,ridge_late late op-cinque temporal + qwenvid L18_last,ridge_late op-cinque temporal,False,478,-0.2580646495652785,-0.3883356813751833,-0.11769837739150071,True,-0.24791858062842653
wod_b,ridge,RFS frame,late,ridge_late late op-cinque temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,478,0.48852777386997914,0.35666943460498757,0.6126375193849638,True,0.5212795591131467
wod_b,ridge,RFS frame,concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,best single [dir0: op-lebowski temporal],True,478,-0.04160563644355143,-0.11223147719919106,0.020722437798810604,False,-0.00229288189749699
wod_b,ridge,RFS frame,concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge_late op-lebowski temporal,False,478,-0.04160563644355143,-0.11223147719919106,0.020722437798810604,False,-0.00229288189749699
wod_b,ridge,RFS frame,concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,478,0.6448214388390167,0.46661674249003654,0.7933938933841145,True,0.7492519539384377
wod_b,ridge,RFS frame,late,ridge_late late op-lebowski temporal + qwenvid L18_last,best single [dir0: op-lebowski temporal],True,478,-0.14662842172106128,-0.26229917093825666,-0.016365590694700866,True,-0.15759290375013268
wod_b,ridge,RFS frame,late,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge_late op-lebowski temporal,False,478,-0.14662842172106128,-0.26229917093825666,-0.016365590694700866,True,-0.15759290375013268
wod_b,ridge,RFS frame,late,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,478,0.5397986535615068,0.4173313759560962,0.6544858302272939,True,0.593951932085802
wod_b,cls,pre-onset dec1-9 ADE,concat,cls_late concat op-cinque temporal + qwenvid L18_last,best single [dir0: op-cinque temporal],True,1281,0.022151857614517212,-0.07808128668607572,0.12188846396885082,False,
wod_b,cls,pre-onset dec1-9 ADE,concat,cls_late concat op-cinque temporal + qwenvid L18_last,cls_late op-cinque temporal,False,1281,0.022151857614517212,-0.07808128668607572,0.12188846396885082,False,
wod_b,cls,pre-onset dec1-9 ADE,concat,cls_late concat op-cinque temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,1281,-0.147205650806427,-0.24036166063613898,-0.054948958238394754,True,
wod_b,cls,pre-onset dec1-9 ADE,late,cls_late late op-cinque temporal + qwenvid L18_last,best single [dir0: op-cinque temporal],True,1281,-0.08223286271095276,-0.17207486304660818,-0.008543483838009645,True,
wod_b,cls,pre-onset dec1-9 ADE,late,cls_late late op-cinque temporal + qwenvid L18_last,cls_late op-cinque temporal,False,1281,-0.08223286271095276,-0.17207486304660818,-0.008543483838009645,True,
wod_b,cls,pre-onset dec1-9 ADE,late,cls_late late op-cinque temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,1281,-0.251590371131897,-0.35079863385430404,-0.1648302524834534,True,
wod_b,cls,pre-onset dec1-9 ADE,concat,cls_late concat op-lebowski temporal + qwenvid L18_last,best single [dir0: op-cinque temporal],True,1281,-0.010095195844769478,-0.13565597985071684,0.11519739339097156,False,
wod_b,cls,pre-onset dec1-9 ADE,concat,cls_late concat op-lebowski temporal + qwenvid L18_last,cls_late op-lebowski temporal,False,1281,0.08955667912960052,0.00609534871926663,0.171166868143566,True,
wod_b,cls,pre-onset dec1-9 ADE,concat,cls_late concat op-lebowski temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,1281,-0.17945270240306854,-0.25532426622011234,-0.1044536958580385,True,
wod_b,cls,pre-onset dec1-9 ADE,late,cls_late late op-lebowski temporal + qwenvid L18_last,best single [dir0: op-cinque temporal],True,1281,-0.061134565621614456,-0.1778518360853605,0.042665297742049066,False,
wod_b,cls,pre-onset dec1-9 ADE,late,cls_late late op-lebowski temporal + qwenvid L18_last,cls_late op-lebowski temporal,False,1281,0.0385173000395298,-0.02161933111017094,0.10346094883463725,False,
wod_b,cls,pre-onset dec1-9 ADE,late,cls_late late op-lebowski temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,1281,-0.23049210011959076,-0.312838833347318,-0.15630676306148295,True,
wod_b,cls,RFS frame,concat,cls_late concat op-cinque temporal + qwenvid L18_last,best single [dir0: op-cinque temporal],True,478,-0.14441835065991626,-0.26337792306859054,-0.025083953121417184,True,-0.008541677309841234
wod_b,cls,RFS frame,concat,cls_late concat op-cinque temporal + qwenvid L18_last,cls_late op-cinque temporal,False,478,-0.14441835065991626,-0.26337792306859054,-0.025083953121417184,True,-0.008541677309841234
wod_b,cls,RFS frame,concat,cls_late concat op-cinque temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,478,0.2126090909371491,0.05065776178828303,0.36003856817598984,True,0.35875335580370216
wod_b,cls,RFS frame,late,cls_late late op-cinque temporal + qwenvid L18_last,best single [dir0: op-cinque temporal],True,478,-0.08574722529744348,-0.1956647224771471,0.041649490914549635,False,-0.04173172069193054
wod_b,cls,RFS frame,late,cls_late late op-cinque temporal + qwenvid L18_last,cls_late op-cinque temporal,False,478,-0.08574722529744348,-0.1956647224771471,0.041649490914549635,False,-0.04173172069193054
wod_b,cls,RFS frame,late,cls_late late op-cinque temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,478,0.2712802162996219,0.15370423197351823,0.3902144223425071,True,0.32556331242161285
wod_b,cls,RFS frame,concat,cls_late concat op-lebowski temporal + qwenvid L18_last,best single [dir0: op-cinque temporal],True,478,-0.14761237396967358,-0.2782168569449907,-0.015630984906195865,True,-0.07025815716357275
wod_b,cls,RFS frame,concat,cls_late concat op-lebowski temporal + qwenvid L18_last,cls_late op-lebowski temporal,False,478,-0.1986429305855741,-0.3272386195639406,-0.07679274743516032,True,-0.2143722890483799
wod_b,cls,RFS frame,concat,cls_late concat op-lebowski temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,478,0.2094150676273918,0.07354777151102877,0.3364578791707327,True,0.29703687594997064
wod_b,cls,RFS frame,late,cls_late late op-lebowski temporal + qwenvid L18_last,best single [dir0: op-cinque temporal],True,478,-0.11160004110761107,-0.234591281645558,0.03680486900149763,False,-0.054050927916402536
wod_b,cls,RFS frame,late,cls_late late op-lebowski temporal + qwenvid L18_last,cls_late op-lebowski temporal,False,478,-0.16263059772351157,-0.258272605426588,-0.05402847543280624,True,-0.1981650598012097
wod_b,cls,RFS frame,late,cls_late late op-lebowski temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,478,0.24542740048945427,0.1327938589043938,0.3578874894400366,True,0.31324410519714085
