direction,arm,scope,decile,n,s_ego_lo,s_ego_hi,ade_base,ade_arm,dade,rel_gain,rel_lo,rel_hi
0,ridge_late op-cinque temporal,all,1,1967,0.04545023292303085,0.45023003220558167,0.34370574,0.64562786,0.30192214,87.84320546584708,79.44021692769901,96.59945237427603
0,ridge_late op-cinque temporal,all,2,1966,0.4503706097602844,0.6887710690498352,0.60493416,0.7520018,0.14706768,24.31135347716662,19.12738163411964,29.625349831914907
0,ridge_late op-cinque temporal,all,3,1966,0.6887714862823486,0.9296975135803223,0.8456208,0.8396293,-0.005991534,-0.7085367089424432,-4.7956779393616,3.5577499891420925
0,ridge_late op-cinque temporal,all,4,1966,0.9297046661376953,1.2057932615280151,1.0999398,0.89034396,-0.20959587,-19.055212798055784,-22.409968600410632,-15.697335253718354
0,ridge_late op-cinque temporal,all,5,1966,1.2059223651885986,1.4987386465072632,1.3963624,1.0505584,-0.3458039,-24.76462276082792,-27.74525446131674,-21.60285504109248
0,ridge_late op-cinque temporal,all,6,1967,1.4989811182022095,1.8430579900741577,1.7399417,1.2497287,-0.49021295,-28.174101613154406,-30.861316146097654,-25.21834880142855
0,ridge_late op-cinque temporal,all,7,1966,1.8437312841415405,2.27655029296875,2.0699253,1.4094311,-0.66049427,-31.909087024308977,-35.14466284865894,-28.872501487743605
0,ridge_late op-cinque temporal,all,8,1966,2.2767903804779053,2.8994383811950684,2.5158052,1.5368706,-0.978935,-38.911398465435916,-41.925637327230135,-36.0450611422617
0,ridge_late op-cinque temporal,all,9,1966,2.900057792663574,3.956085681915283,3.2939606,1.9243218,-1.3696386,-41.58029619845928,-44.65589368843378,-38.813280088901145
0,ridge_late op-cinque temporal,all,10,1967,3.9569308757781982,27.384384155273438,5.9273562,3.9823537,-1.9450026,-32.81399794554826,-35.06454483353751,-30.48554974376229
0,ridge_late op-lebowski temporal,all,1,1967,0.04545023292303085,0.45023003220558167,0.34370574,0.6647386,0.32103288,93.40340909632839,85.06429922632674,102.03314759200526
0,ridge_late op-lebowski temporal,all,2,1966,0.4503706097602844,0.6887710690498352,0.60493416,0.7683117,0.16337758,27.00749848927655,22.0755595620192,32.082499618588216
