direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,ridge_late op-cinque temporal,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.6376476287841797,-0.2177434265613556,-0.32732068368579936,-0.11498774259705029,0.10616647054437453
0,ridge_late op-cinque temporal,ADE vs log,all deciles (side column),pre_onset,1458,1.7705124616622925,-0.4134806990623474,-0.5435923488248344,-0.27685857706319317,0.13336688588082063
0,ridge_late op-cinque temporal,ADE vs log,s_ego deciles 1-9,straight_yaw,10658,0.9536066651344299,-0.4537453055381775,-0.49647687324467343,-0.4109846684861107,0.042746102379281364
0,ridge_late op-cinque temporal,ADE vs log,all deciles (side column),straight_yaw,11597,1.2266241312026978,-0.5682904720306396,-0.6183613204739506,-0.5174436460361631,0.05045883721889377
0,ridge_late op-cinque temporal,ADE vs log,s_ego deciles 1-9,all,17696,1.1442570686340332,-0.4012632966041565,-0.433457469167097,-0.3679000709255849,0.03277869912075604
0,ridge_late op-cinque temporal,ADE vs log,all deciles (side column),all,19663,1.428167700767517,-0.555692195892334,-0.5934754329753673,-0.5150864556987844,0.03919448863829145
0,ridge_late op-cinque temporal,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.2360018789768219,0.12097121584643698,0.3490708794384791,0.11404983179602105
0,ridge_late op-cinque temporal,RFS,rater frames (subset),all,478,7.326921362065376,0.25456099928351955,0.05721240508841291,0.4511604909056554,0.19697404290862125
0,ridge_late op-cinque temporal,RFS,decile 10 only,all,86,6.579818163230405,0.4432269939864654,-0.047946217233941255,0.9208792469949164,0.4844127321144288
0,ridge_late op-cinque temporal,ADE vs rater_best,decile 10 only,all,86,3.995514154434204,-1.5546903610229492,-1.937049817605767,-1.154531180390785,0.3912593186074911
0,ridge_late op-lebowski temporal,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.6194669008255005,-0.23592422902584076,-0.3548770355778065,-0.12428947243152699,0.11529378157313974
0,ridge_late op-lebowski temporal,ADE vs log,all deciles (side column),pre_onset,1458,1.7500431537628174,-0.43394991755485535,-0.5808920192224806,-0.28236906228939795,0.1492614784665413
0,ridge_late op-lebowski temporal,ADE vs log,s_ego deciles 1-9,straight_yaw,10658,0.9580798149108887,-0.44927215576171875,-0.49333389255369703,-0.4071672477495459,0.043083322402075575
0,ridge_late op-lebowski temporal,ADE vs log,all deciles (side column),straight_yaw,11597,1.243346929550171,-0.5515677332878113,-0.6039647410884462,-0.50175224731957,0.0511062468844381
0,ridge_late op-lebowski temporal,ADE vs log,s_ego deciles 1-9,all,17696,1.149703025817871,-0.39581727981567383,-0.4283194609180253,-0.36247901480088407,0.03292022305857062
0,ridge_late op-lebowski temporal,ADE vs log,all deciles (side column),all,19663,1.4505760669708252,-0.5332838892936707,-0.5710739897359174,-0.49447944321124027,0.03829727326233856
0,ridge_late op-lebowski temporal,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.213347926735878,0.0930534994492539,0.33231132421052634,0.11962891238063622
0,ridge_late op-lebowski temporal,RFS,rater frames (subset),all,478,7.266756013912687,0.19439565113082993,0.009306535496831086,0.37494752465767545,0.18282049458042218
0,ridge_late op-lebowski temporal,RFS,decile 10 only,all,86,6.41559126872682,0.279000099482884,-0.17116185686522004,0.7422698729626307,0.45671586491392535
0,ridge_late op-lebowski temporal,ADE vs rater_best,decile 10 only,all,86,4.2294440269470215,-1.3207608461380005,-1.6414215735657964,-0.9869242621542409,0.32724865570577777
0,ridge_late qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.8362516164779663,-0.019139600917696953,-0.066286589121541,0.030496027667214428,0.04839130839437772
0,ridge_late qwenvid L18_last,ADE vs log,all deciles (side column),pre_onset,1458,2.1316640377044678,-0.052329085767269135,-0.10277898179372275,0.0012232650776573125,0.05200112343569003
0,ridge_late qwenvid L18_last,ADE vs log,s_ego deciles 1-9,straight_yaw,10658,1.3676081895828247,-0.0397438108921051,-0.07268524050636287,-0.009437628535793375,0.03162380598528475
0,ridge_late qwenvid L18_last,ADE vs log,all deciles (side column),straight_yaw,11597,1.7248092889785767,-0.07010548561811447,-0.10041898983708346,-0.03866247106661483,0.030878259385234315
0,ridge_late qwenvid L18_last,ADE vs log,s_ego deciles 1-9,all,17696,1.5197407007217407,-0.02577977627515793,-0.04769301977144716,-0.002176290306119033,0.022758364732664065
0,ridge_late qwenvid L18_last,ADE vs log,all deciles (side column),all,19663,1.917637586593628,-0.06622232496738434,-0.08777582601043564,-0.043532170366758084,0.022121827821838778
0,ridge_late qwenvid L18_last,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.02060420997440815,-0.043721753495924505,0.07907068200351482,0.061396217749719664
0,ridge_late qwenvid L18_last,RFS,rater frames (subset),all,478,6.580328938630118,-0.4920314241517381,-0.6302440725653902,-0.3433305160259844,0.14345677826970288
0,ridge_late qwenvid L18_last,RFS,decile 10 only,all,86,5.519463826059634,-0.6171273431843041,-0.9280906074754588,-0.36499114482672973,0.28154973132436456
0,ridge_late qwenvid L18_last,ADE vs rater_best,decile 10 only,all,86,5.338133335113525,-0.21207155287265778,-0.3843559000727742,-0.018908578122771073,0.18272366097500156
0,ridge_late qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.7930335998535156,-0.06235746666789055,-0.1105902000852739,-0.014577729162061372,0.04800623546160626
0,ridge_late qwenvid L18_mean,ADE vs log,all deciles (side column),pre_onset,1458,2.091651678085327,-0.09234154224395752,-0.14239359777291524,-0.040463121791215605,0.050965237990849815
0,ridge_late qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,straight_yaw,10658,1.312003254890442,-0.09534882754087448,-0.12811394602611034,-0.06604721632237191,0.031033364851869215
0,ridge_late qwenvid L18_mean,ADE vs log,all deciles (side column),straight_yaw,11597,1.6673885583877563,-0.12752605974674225,-0.1601699222405724,-0.09703599826820575,0.03156696198618332
0,ridge_late qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,all,17696,1.482486605644226,-0.06303369253873825,-0.08575579706009769,-0.039239189376231436,0.023258303841933125
0,ridge_late qwenvid L18_mean,ADE vs log,all deciles (side column),all,19663,1.8816181421279907,-0.10224185138940811,-0.12495766614194746,-0.07919884146330679,0.022879412339320337
0,ridge_late qwenvid L18_mean,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.03299136087298393,-0.027932418309818983,0.09495720259035914,0.061444810450089066
0,ridge_late qwenvid L18_mean,RFS,rater frames (subset),all,478,6.65178967670429,-0.42057068607756676,-0.563165513834037,-0.30593739372540024,0.12861406005431839
0,ridge_late qwenvid L18_mean,RFS,decile 10 only,all,86,5.636105984987047,-0.50048518425689,-0.7449928747302594,-0.30498127466310826,0.2200058000335756
0,ridge_late qwenvid L18_mean,ADE vs rater_best,decile 10 only,all,86,5.340034484863281,-0.21017073094844818,-0.3846859886462605,-0.043844826346219994,0.17042058115002026
0,ridge_late vjepa2 mean,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.8331681489944458,-0.02222314290702343,-0.08013556174131274,0.04722803030971381,0.06368179602551327
0,ridge_late vjepa2 mean,ADE vs log,all deciles (side column),pre_onset,1458,2.1238324642181396,-0.060160622000694275,-0.12430984785438941,0.004329123317320524,0.06431948558585497
0,ridge_late vjepa2 mean,ADE vs log,s_ego deciles 1-9,straight_yaw,10658,1.3067641258239746,-0.10058791935443878,-0.13428000179177074,-0.07175473237014489,0.03126263471081293
0,ridge_late vjepa2 mean,ADE vs log,all deciles (side column),straight_yaw,11597,1.6675139665603638,-0.12740051746368408,-0.15886603348056436,-0.0967622782909888,0.03105187759478778
0,ridge_late vjepa2 mean,ADE vs log,s_ego deciles 1-9,all,17696,1.4866896867752075,-0.05883067473769188,-0.08350710915125184,-0.03372130639399015,0.024892901378630844
0,ridge_late vjepa2 mean,ADE vs log,all deciles (side column),all,19663,1.8762668371200562,-0.10759308189153671,-0.13137277174969617,-0.08349454884454004,0.023939111452578064
0,ridge_late vjepa2 mean,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.0783647745847702,0.01047826356551579,0.1475258770011275,0.06852380671780585
0,ridge_late vjepa2 mean,RFS,rater frames (subset),all,478,6.75770274941101,-0.31465761337084674,-0.4662458474274094,-0.1550888528801856,0.1555784972736119
0,ridge_late vjepa2 mean,RFS,decile 10 only,all,86,5.831228719714379,-0.3053624495295586,-0.6323303838219898,-0.017544217285138303,0.30739308326842574
0,ridge_late vjepa2 mean,ADE vs rater_best,decile 10 only,all,86,5.222766876220703,-0.32743754982948303,-0.5404533669179262,-0.1309755672549094,0.20473889983150842
0,ridge_late concat op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.6449832916259766,-0.21040800213813782,-0.3175450029472861,-0.11078653738071606,0.10337923278328502
0,ridge_late concat op-cinque temporal + qwenvid L18_last,ADE vs log,all deciles (side column),pre_onset,1458,1.779779314994812,-0.40421390533447266,-0.5310406077447138,-0.26883131122274945,0.1311046482609822
0,ridge_late concat op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,straight_yaw,10658,0.9700233340263367,-0.43732866644859314,-0.4803494215615613,-0.3959591837671825,0.04219511889718941
0,ridge_late concat op-cinque temporal + qwenvid L18_last,ADE vs log,all deciles (side column),straight_yaw,11597,1.2458257675170898,-0.5490888953208923,-0.5972251378786738,-0.5001895704450393,0.04851778371681725
0,ridge_late concat op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,all,17696,1.1596322059631348,-0.3858882188796997,-0.4174089652946504,-0.3521886033981026,0.03261018094827389
0,ridge_late concat op-cinque temporal + qwenvid L18_last,ADE vs log,all deciles (side column),all,19663,1.4459302425384521,-0.5379297137260437,-0.5751982398598863,-0.49841378160386646,0.03839222912800991
0,ridge_late concat op-cinque temporal + qwenvid L18_last,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.22692066431045532,0.11416145127314603,0.3401797073873534,0.1130091280571037
0,ridge_late concat op-cinque temporal + qwenvid L18_last,RFS,rater frames (subset),all,478,7.279980109962072,0.2076197471802148,0.023677947888691743,0.39678143477033345,0.18655174344082084
0,ridge_late concat op-cinque temporal + qwenvid L18_last,RFS,decile 10 only,all,86,6.546756741236845,0.4101655719929066,-0.07559170958546066,0.873960057678064,0.4747758836317623
0,ridge_late concat op-cinque temporal + qwenvid L18_last,ADE vs rater_best,decile 10 only,all,86,4.020834922790527,-1.529369592666626,-1.8822593149837366,-1.1547799574947635,0.36373967874448654
0,ridge_late late op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.613234519958496,-0.24215658009052277,-0.30670876829849536,-0.17982713228881783,0.06344081800483876
0,ridge_late late op-cinque temporal + qwenvid L18_last,ADE vs log,all deciles (side column),pre_onset,1458,1.8327971696853638,-0.3511960506439209,-0.4274878746945297,-0.2686286678143758,0.07942960344007696
0,ridge_late late op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,straight_yaw,10658,1.0584348440170288,-0.3489170968532562,-0.38415893957810493,-0.3160714037036847,0.03404376793721012
0,ridge_late late op-cinque temporal + qwenvid L18_last,ADE vs log,all deciles (side column),straight_yaw,11597,1.3780169486999512,-0.41689762473106384,-0.4546808751799528,-0.38121176098543164,0.03673455709726059
0,ridge_late late op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,all,17696,1.2224037647247314,-0.3231167495250702,-0.34717199716049807,-0.29625974954671463,0.025456123806891717
0,ridge_late late op-cinque temporal + qwenvid L18_last,ADE vs log,all deciles (side column),all,19663,1.5667803287506104,-0.41707950830459595,-0.4457340347963565,-0.38822590612937047,0.028754064333493007
0,ridge_late late op-cinque temporal + qwenvid L18_last,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.10676051676273346,0.03531137663250791,0.17916073221881926,0.07192467779315567
0,ridge_late late op-cinque temporal + qwenvid L18_last,RFS,rater frames (subset),all,478,7.068856712500097,-0.003503650281758954,-0.15922906113659915,0.15071598063235425,0.15497252088447672
0,ridge_late late op-cinque temporal + qwenvid L18_last,RFS,decile 10 only,all,86,5.934695429617075,-0.20189573962686225,-0.5344882213388482,0.11531116231870023,0.3248996918287742
0,ridge_late late op-cinque temporal + qwenvid L18_last,ADE vs rater_best,decile 10 only,all,86,4.616298675537109,-0.9339057803153992,-1.1439654355132303,-0.6868172553909381,0.2285740900611461
0,ridge_late concat op-lebowski temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.632546067237854,-0.22284507751464844,-0.3419536026629475,-0.10954489987064216,0.11620435139615268
0,ridge_late concat op-lebowski temporal + qwenvid L18_last,ADE vs log,all deciles (side column),pre_onset,1458,1.7691658735275269,-0.4148273766040802,-0.5628715901056313,-0.26539217461335113,0.14873970774614007
0,ridge_late concat op-lebowski temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,straight_yaw,10658,0.9711955189704895,-0.4361565113067627,-0.4797405979400737,-0.3940374174219574,0.04285159025905813
0,ridge_late concat op-lebowski temporal + qwenvid L18_last,ADE vs log,all deciles (side column),straight_yaw,11597,1.2594754695892334,-0.5354391932487488,-0.5862541593356294,-0.4854158147772293,0.050419172279200064
0,ridge_late concat op-lebowski temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,all,17696,1.1607818603515625,-0.3847385346889496,-0.4169398148662463,-0.3527188393746098,0.03211048774581826
0,ridge_late concat op-lebowski temporal + qwenvid L18_last,ADE vs log,all deciles (side column),all,19663,1.465087652206421,-0.5187722444534302,-0.5564555272985824,-0.4819597097412538,0.037247908778664296
0,ridge_late concat op-lebowski temporal + qwenvid L18_last,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.21331143379211426,0.09809097130152454,0.33476513349344933,0.11833708109596239
