model,group,rater_frames,loss_frames,loss_share,lateral: decision error (intent explains),lateral: decision error (intent explains) lo,lateral: decision error (intent explains) hi,lateral: decision error (intent explains) n,lateral: route ambiguity,lateral: route ambiguity lo,lateral: route ambiguity hi,lateral: route ambiguity n,lateral: lateral other,lateral: lateral other lo,lateral: lateral other hi,lateral: lateral other n,longitudinal stop,longitudinal stop lo,longitudinal stop hi,longitudinal stop n,longitudinal go,longitudinal go lo,longitudinal go hi,longitudinal go n,none,none lo,none hi,none n
union (judged vs the losing model; native if both),Interections,116,77,0.6637931034482759,0.025974025974025976,0.0,0.06493506493506493,2,0.2857142857142857,0.19480519480519481,0.37662337662337664,22,0.03896103896103896,0.0,0.09090909090909091,3,0.2857142857142857,0.19480519480519481,0.37662337662337664,22,0.35064935064935066,0.24675324675324675,0.4675324675324675,27,0.012987012987012988,0.0,0.03896103896103896,1
union (judged vs the losing model; native if both),Special Vehicles,25,16,0.64,0.0625,0.0,0.1875,1,0.3125,0.125,0.5,5,0.125,0.0,0.3125,2,0.25,0.0625,0.4390624999999986,4,0.25,0.0625,0.4375,4,0.0,0.0,0.0,0
union (judged vs the losing model; native if both),Multi-Lane Maneuvers,42,27,0.6428571428571429,0.037037037037037035,0.0,0.1111111111111111,1,0.37037037037037035,0.18518518518518517,0.5555555555555556,10,0.037037037037037035,0.0,0.1111111111111111,1,0.18518518518518517,0.037037037037037035,0.3333333333333333,5,0.3333333333333333,0.14814814814814814,0.5185185185185185,9,0.037037037037037035,0.0,0.1111111111111111,1
union (judged vs the losing model; native if both),Pedestrian,52,28,0.5384615384615384,0.0,0.0,0.0,0,0.17857142857142858,0.03571428571428571,0.3333333333333333,5,0.10714285714285714,0.0,0.2222222222222222,3,0.2857142857142857,0.1111111111111111,0.4642857142857143,8,0.2857142857142857,0.13793103448275862,0.48148148148148145,8,0.14285714285714285,0.034482758620689655,0.27586206896551724,4
union (judged vs the losing model; native if both),Cut_ins,20,13,0.65,0.0,0.0,0.0,0,0.15384615384615385,0.0,0.38461538461538464,2,0.0,0.0,0.0,0,0.15384615384615385,0.0,0.38461538461538464,2,0.6153846153846154,0.38461538461538464,0.8461538461538461,8,0.07692307692307693,0.0,0.23076923076923078,1
union (judged vs the losing model; native if both),Foreign Object Debris,78,52,0.6666666666666666,0.07692307692307693,0.019230769230769232,0.15384615384615385,4,0.21153846153846154,0.11538461538461539,0.34615384615384615,11,0.057692307692307696,0.0,0.1346153846153846,3,0.21153846153846154,0.11538461538461539,0.3269230769230769,11,0.38461538461538464,0.25,0.5192307692307693,20,0.057692307692307696,0.0,0.1346153846153846,3
union (judged vs the losing model; native if both),others,146,95,0.6506849315068494,0.0,0.0,0.0,0,0.22105263157894736,0.1368421052631579,0.30526315789473685,21,0.06315789473684211,0.021052631578947368,0.11578947368421053,6,0.22105263157894736,0.14736842105263157,0.30526315789473685,21,0.4631578947368421,0.35789473684210527,0.5684210526315789,44,0.031578947368421054,0.0,0.07368421052631578,3
union (judged vs the losing model; native if both),six clusters pooled,333,213,0.6396396396396397,0.03755868544600939,0.014084507042253521,0.06572769953051644,8,0.25821596244131456,0.19808995482327932,0.3177570093457944,55,0.056338028169014086,0.028037383177570093,0.0892018779342723,12,0.24413145539906103,0.1868941534449033,0.3018867924528302,52,0.3568075117370892,0.29245283018867924,0.4198300564274378,76,0.046948356807511735,0.018867924528301886,0.07547169811320754,10
union (judged vs the losing model; native if both),all rater frames,479,308,0.6430062630480167,0.025974025974025976,0.009771986970684038,0.045454545454545456,8,0.24675324675324675,0.20063106796116506,0.2945222859664607,76,0.05844155844155844,0.03257328990228013,0.08469055374592833,18,0.237012987012987,0.1870610486497846,0.2838939346487107,73,0.38961038961038963,0.33654296195566236,0.44304195397436436,120,0.04220779220779221,0.022725433951162107,0.06840390879478828,13
native,Interections,116,63,0.5431034482758621,0.031746031746031744,0.0,0.07936507936507936,2,0.31746031746031744,0.20634920634920634,0.42857142857142855,20,0.031746031746031744,0.0,0.07936507936507936,2,0.2698412698412698,0.15873015873015872,0.3968253968253968,17,0.3333333333333333,0.2222222222222222,0.4603174603174603,21,0.015873015873015872,0.0,0.047619047619047616,1
native,Special Vehicles,25,12,0.48,0.08333333333333333,0.0,0.25,1,0.25,0.0,0.5,3,0.16666666666666666,0.0,0.4166666666666667,2,0.16666666666666666,0.0,0.4166666666666667,2,0.3333333333333333,0.08333333333333333,0.5833333333333334,4,0.0,0.0,0.0,0
native,Multi-Lane Maneuvers,42,24,0.5714285714285714,0.041666666666666664,0.0,0.125,1,0.4166666666666667,0.20833333333333334,0.625,10,0.0,0.0,0.0,0,0.16666666666666666,0.041666666666666664,0.3333333333333333,4,0.3333333333333333,0.16666666666666666,0.5,8,0.041666666666666664,0.0,0.125,1
native,Pedestrian,52,21,0.40384615384615385,0.0,0.0,0.0,0,0.19047619047619047,0.045454545454545456,0.35,4,0.09523809523809523,0.0,0.23809523809523808,2,0.3333333333333333,0.14285714285714285,0.5652173913043478,7,0.2857142857142857,0.09988095238095239,0.5,6,0.09523809523809523,0.0,0.23809523809523808,2
native,Cut_ins,20,9,0.45,0.0,0.0,0.0,0,0.2222222222222222,0.0,0.5555555555555556,2,0.0,0.0,0.0,0,0.1111111111111111,0.0,0.3333333333333333,1,0.6666666666666666,0.3333333333333333,1.0,6,0.0,0.0,0.0,0
native,Foreign Object Debris,78,43,0.5512820512820513,0.09302325581395349,0.023255813953488372,0.18604651162790697,4,0.16279069767441862,0.06918604651162794,0.25639534883720877,7,0.06976744186046512,0.0,0.13953488372093023,3,0.20930232558139536,0.09302325581395349,0.3488372093023256,9,0.3953488372093023,0.2558139534883721,0.5581395348837209,17,0.06976744186046512,0.0,0.16279069767441862,3
native,others,146,67,0.4589041095890411,0.0,0.0,0.0,0,0.1791044776119403,0.08955223880597014,0.26865671641791045,12,0.07462686567164178,0.014925373134328358,0.1347014925373131,5,0.22388059701492538,0.11940298507462686,0.3283582089552239,15,0.4925373134328358,0.3880597014925373,0.6268656716417911,33,0.029850746268656716,0.0,0.07462686567164178,2
native,six clusters pooled,333,172,0.5165165165165165,0.046511627906976744,0.01744186046511628,0.08139534883720931,8,0.26744186046511625,0.2023121387283237,0.3333333333333333,46,0.05232558139534884,0.023121387283236993,0.08771929824561403,9,0.23255813953488372,0.1744186046511628,0.30057803468208094,40,0.36046511627906974,0.29235516115871074,0.4269217117939357,62,0.040697674418604654,0.017241379310344827,0.07471264367816093,7
native,all rater frames,479,239,0.4989561586638831,0.03347280334728033,0.012550993723849373,0.058333333333333334,8,0.24267782426778242,0.18828451882845187,0.29831932773109243,58,0.058577405857740586,0.029411764705882353,0.08832107843137248,14,0.2301255230125523,0.1799163179916318,0.2887332548081994,55,0.39748953974895396,0.33613445378151263,0.4579831932773109,95,0.03765690376569038,0.012605042016806723,0.06302521008403361,9
cls_late,Interections,116,68,0.5862068965517241,0.014705882352941176,0.0,0.04411764705882353,1,0.2647058823529412,0.16176470588235295,0.36764705882352944,18,0.08823529411764706,0.029411764705882353,0.16176470588235295,6,0.25,0.16176470588235295,0.35330882352941145,17,0.3382352941176471,0.23492647058823532,0.45588235294117646,23,0.04411764705882353,0.0,0.10294117647058823,3
cls_late,Special Vehicles,25,13,0.52,0.07692307692307693,0.0,0.23076923076923078,1,0.3076923076923077,0.07692307692307693,0.6153846153846154,4,0.15384615384615385,0.0,0.38461538461538464,2,0.15384615384615385,0.0,0.38461538461538464,2,0.3076923076923077,0.07692307692307693,0.6153846153846154,4,0.0,0.0,0.0,0
cls_late,Multi-Lane Maneuvers,42,25,0.5952380952380952,0.04,0.0,0.12,1,0.4,0.2,0.6,10,0.16,0.04,0.28,4,0.16,0.04,0.32,4,0.24,0.08,0.4,6,0.0,0.0,0.0,0
cls_late,Pedestrian,52,21,0.40384615384615385,0.0,0.0,0.0,0,0.23809523809523808,0.09523809523809523,0.42857142857142855,5,0.09523809523809523,0.0,0.23809523809523808,2,0.2857142857142857,0.09523809523809523,0.47619047619047616,6,0.2857142857142857,0.09523809523809523,0.47619047619047616,6,0.09523809523809523,0.0,0.23809523809523808,2
cls_late,Cut_ins,20,11,0.55,0.0,0.0,0.0,0,0.09090909090909091,0.0,0.2727272727272727,1,0.0,0.0,0.0,0,0.09090909090909091,0.0,0.2727272727272727,1,0.5454545454545454,0.2727272727272727,0.8181818181818182,6,0.2727272727272727,0.0,0.5454545454545454,3
cls_late,Foreign Object Debris,78,44,0.5641025641025641,0.045454545454545456,0.0,0.11363636363636363,2,0.3181818181818182,0.18181818181818182,0.45454545454545453,14,0.13636363636363635,0.045454545454545456,0.25,6,0.20454545454545456,0.09090909090909091,0.3181818181818182,9,0.29545454545454547,0.1590909090909091,0.4318181818181818,13,0.0,0.0,0.0,0
cls_late,others,146,86,0.589041095890411,0.0,0.0,0.0,0,0.26744186046511625,0.18604651162790697,0.36046511627906974,23,0.046511627906976744,0.011627906976744186,0.09302325581395349,4,0.20930232558139536,0.12790697674418605,0.3023255813953488,18,0.4418604651162791,0.3372093023255814,0.5348837209302325,38,0.03488372093023256,0.0,0.07005813953488346,3
cls_late,six clusters pooled,333,182,0.5465465465465466,0.027472527472527472,0.005494505494505495,0.054945054945054944,5,0.2857142857142857,0.21428571428571427,0.3517857142857142,52,0.10989010989010989,0.06593406593406594,0.15934065934065933,20,0.21428571428571427,0.15934065934065933,0.27472527472527475,39,0.31868131868131866,0.25274725274725274,0.3901098901098901,58,0.04395604395604396,0.016483516483516484,0.07692307692307693,8
cls_late,all rater frames,479,268,0.5594989561586639,0.018656716417910446,0.0037313432835820895,0.033582089552238806,5,0.2798507462686567,0.23134328358208955,0.332089552238806,75,0.08955223880597014,0.05960820895522388,0.12322761194029842,24,0.2126865671641791,0.1678171641791045,0.26119402985074625,57,0.3582089552238806,0.30597014925373134,0.4141791044776119,96,0.041044776119402986,0.018656716417910446,0.06716417910447761,11
