cls,dbin,n,precision,reading,weather,all
pedestrian,0-10 m,903,0.6854928017718716,"precision, lifted <= 80 m",,
pedestrian,10-20 m,3213,0.5935262994086523,"precision, lifted <= 80 m",,
pedestrian,20-40 m,4613,0.2859310643832647,"precision, lifted <= 80 m",,
pedestrian,40-80 m,3092,0.13939197930142302,"precision, lifted <= 80 m",,
pedestrian,,11277,0.3622417309568148,"precision, lifted <= 80 m",day,
pedestrian,,30,0.36666666666666664,"precision, lifted <= 80 m",night,
pedestrian,,514,0.35019455252918286,"precision, lifted <= 80 m",rain,
pedestrian,,11821,0.36172912613146097,"precision, lifted <= 80 m",,all
cyclist,0-10 m,6,0.5,"precision, lifted <= 80 m",,
cyclist,10-20 m,41,0.5609756097560976,"precision, lifted <= 80 m",,
cyclist,20-40 m,49,0.30612244897959184,"precision, lifted <= 80 m",,
cyclist,40-80 m,10,0.0,"precision, lifted <= 80 m",,
cyclist,,100,0.41,"precision, lifted <= 80 m",day,
cyclist,,6,0.0,"precision, lifted <= 80 m",rain,
cyclist,,106,0.3867924528301887,"precision, lifted <= 80 m",,all
vehicle,0-10 m,4495,0.2371523915461624,"precision, lifted <= 80 m",,
vehicle,10-20 m,9186,0.4080121924667973,"precision, lifted <= 80 m",,
vehicle,20-40 m,18220,0.29747530186608123,"precision, lifted <= 80 m",,
vehicle,40-80 m,19546,0.256062621508237,"precision, lifted <= 80 m",,
vehicle,,39730,0.27805184998741506,"precision, lifted <= 80 m",day,
vehicle,,1489,0.3707186030893217,"precision, lifted <= 80 m",night,
vehicle,,10228,0.35588580367618305,"precision, lifted <= 80 m",rain,
vehicle,,51447,0.296207747779268,"precision, lifted <= 80 m",,all
cone,0-10 m,596,0.7348993288590604,"precision, lifted <= 80 m",,
cone,10-20 m,2240,0.44642857142857145,"precision, lifted <= 80 m",,
cone,20-40 m,2505,0.2562874251497006,"precision, lifted <= 80 m",,
cone,40-80 m,562,0.021352313167259787,"precision, lifted <= 80 m",,
cone,,5132,0.3425565081839439,"precision, lifted <= 80 m",day,
cone,,13,0.0,"precision, lifted <= 80 m",night,
cone,,758,0.44063324538258575,"precision, lifted <= 80 m",rain,
cone,,5903,0.3543960697950195,"precision, lifted <= 80 m",,all
debris,0-10 m,245,0.0,"precision, lifted <= 80 m",,
debris,10-20 m,156,0.0,"precision, lifted <= 80 m",,
debris,20-40 m,15,0.0,"precision, lifted <= 80 m",,
debris,40-80 m,2,0.0,"precision, lifted <= 80 m",,
debris,,182,0.0,"precision, lifted <= 80 m",day,
debris,,236,0.0,"precision, lifted <= 80 m",rain,
debris,,418,0.0,"precision, lifted <= 80 m",,all
emergency vehicle,0-10 m,2,0.0,"precision, lifted <= 80 m",,
emergency vehicle,,2,0.0,"precision, lifted <= 80 m",day,
emergency vehicle,,2,0.0,"precision, lifted <= 80 m",,all
