cls,dbin,n,recall,bev_err_med,bev_err_p90,reading,weather,all
pedestrian,0-10 m,1016,0.65748031496063,0.8624318800309538,1.5051948250481906,"recall (ii), <= 40 m, in image",,
pedestrian,10-20 m,4025,0.39652173913043476,0.9893563655549434,1.7657483698168748,"recall (ii), <= 40 m, in image",,
pedestrian,20-40 m,5490,0.21129326047358835,1.3880645554267153,2.771635325682724,"recall (ii), <= 40 m, in image",,
pedestrian,,10015,0.32631053419870193,1.03129490523406,1.9891706104017506,"recall (ii), <= 40 m, in image",day,
pedestrian,,39,0.28205128205128205,0.9248532453581018,1.7715143036993917,"recall (ii), <= 40 m, in image",night,
pedestrian,,477,0.3039832285115304,1.0115387888717509,2.1292046362026875,"recall (ii), <= 40 m, in image",rain,
pedestrian,0-10 m,982,0.6527494908350305,0.8612308543276407,1.504105521507414,"recall (ii), <= 40 m, in image",day,
pedestrian,0-10 m,6,0.5,0.9193249978174998,1.3750131148761964,"recall (ii), <= 40 m, in image",night,
pedestrian,0-10 m,28,0.8571428571428571,0.8315387395520495,1.7282860166317127,"recall (ii), <= 40 m, in image",rain,
pedestrian,10-20 m,3864,0.3967391304347826,0.9935561181068541,1.767958240862755,"recall (ii), <= 40 m, in image",day,
pedestrian,10-20 m,17,0.4117647058823529,0.9901307609805832,1.8251683824227185,"recall (ii), <= 40 m, in image",night,
pedestrian,10-20 m,144,0.3888888888888889,0.8434350734255637,1.706997138075717,"recall (ii), <= 40 m, in image",rain,
pedestrian,20-40 m,5169,0.21164635325981815,1.3880645554267153,2.779369140338406,"recall (ii), <= 40 m, in image",day,
pedestrian,20-40 m,16,0.0625,0.9248532453581018,0.9248532453581018,"recall (ii), <= 40 m, in image",night,
pedestrian,20-40 m,305,0.21311475409836064,1.4700860813748498,2.487805558608384,"recall (ii), <= 40 m, in image",rain,
pedestrian,,10531,0.3251353147849207,1.0303271697066547,1.9902907425888865,"recall (ii), <= 40 m, in image",,all
pedestrian,0-10 m,1016,0.8287401574803149,0.5958634783668129,1.2213936947481792,side: recall (ii) with the oracle-height lift,,
pedestrian,10-20 m,4025,0.6327950310559006,0.7349279118309798,1.538934447042448,side: recall (ii) with the oracle-height lift,,
pedestrian,20-40 m,5490,0.46830601092896174,1.1344767206366098,2.4080356255419164,side: recall (ii) with the oracle-height lift,,
pedestrian,,10531,0.5659481530718831,0.8354620383375054,1.900927450825068,side: recall (ii) with the oracle-height lift,,all
cyclist,0-10 m,3,1.0,1.0415612820345523,1.0579501482760447,"recall (ii), <= 40 m, in image",,
cyclist,10-20 m,48,0.5208333333333334,0.8016388417494515,1.3306411365983146,"recall (ii), <= 40 m, in image",,
cyclist,20-40 m,91,0.13186813186813187,1.1254473008120969,1.7847453969001497,"recall (ii), <= 40 m, in image",,
cyclist,,136,0.29411764705882354,1.0336459148812223,1.5319867757658694,"recall (ii), <= 40 m, in image",day,
cyclist,,6,0.0,,,"recall (ii), <= 40 m, in image",rain,
cyclist,0-10 m,3,1.0,1.0415612820345523,1.0579501482760447,"recall (ii), <= 40 m, in image",day,
cyclist,10-20 m,45,0.5555555555555556,0.8016388417494515,1.3306411365983146,"recall (ii), <= 40 m, in image",day,
cyclist,10-20 m,3,0.0,,,"recall (ii), <= 40 m, in image",rain,
cyclist,20-40 m,88,0.13636363636363635,1.1254473008120969,1.7847453969001497,"recall (ii), <= 40 m, in image",day,
cyclist,20-40 m,3,0.0,,,"recall (ii), <= 40 m, in image",rain,
cyclist,,142,0.28169014084507044,1.0336459148812223,1.5319867757658694,"recall (ii), <= 40 m, in image",,all
cyclist,0-10 m,3,1.0,1.7690839039842814,1.8065178876453083,side: recall (ii) with the oracle-height lift,,
cyclist,10-20 m,48,0.08333333333333333,1.5098870890659357,1.903718770647771,side: recall (ii) with the oracle-height lift,,
cyclist,20-40 m,91,0.08791208791208792,1.8756382659582145,2.57806941186111,side: recall (ii) with the oracle-height lift,,
cyclist,,142,0.1056338028169014,1.7781106480773954,2.407299143297693,side: recall (ii) with the oracle-height lift,,all
vehicle,0-10 m,2096,0.6722328244274809,1.2299617118634105,1.7072223845202674,"recall (ii), <= 40 m, in image",,
vehicle,10-20 m,7184,0.4526726057906459,1.272766013944989,1.844403401164125,"recall (ii), <= 40 m, in image",,
vehicle,20-40 m,15300,0.29869281045751633,1.6492231280572125,2.8235822376048505,"recall (ii), <= 40 m, in image",,
vehicle,,18110,0.3580342352291552,1.407251972992076,2.4675614811224773,"recall (ii), <= 40 m, in image",day,
vehicle,,1246,0.38362760834670945,1.2864340792982103,1.9652483875550235,"recall (ii), <= 40 m, in image",night,
vehicle,,5224,0.4343415007656968,1.3685599992375272,2.3618312524386416,"recall (ii), <= 40 m, in image",rain,
vehicle,0-10 m,1601,0.6383510306058713,1.2101125406362536,1.6849420039227874,"recall (ii), <= 40 m, in image",day,
vehicle,0-10 m,167,0.8203592814371258,1.2246528327591146,1.7965662349657028,"recall (ii), <= 40 m, in image",night,
vehicle,0-10 m,328,0.7621951219512195,1.2903020339059048,1.7229086177706343,"recall (ii), <= 40 m, in image",rain,
vehicle,10-20 m,5149,0.41542046999417365,1.2959533384175823,1.8470473261355056,"recall (ii), <= 40 m, in image",day,
vehicle,10-20 m,461,0.4685466377440347,1.280877212091622,1.8172915957124727,"recall (ii), <= 40 m, in image",night,
vehicle,10-20 m,1574,0.5698856416772554,1.2131498273119172,1.8295209501563872,"recall (ii), <= 40 m, in image",rain,
vehicle,20-40 m,11360,0.2925176056338028,1.6558173609077669,2.8257856049440946,"recall (ii), <= 40 m, in image",day,
vehicle,20-40 m,618,0.2022653721682848,1.5448640301105125,2.836155999529936,"recall (ii), <= 40 m, in image",night,
vehicle,20-40 m,3322,0.33774834437086093,1.6343487821430602,2.81464893444403,"recall (ii), <= 40 m, in image",rain,
vehicle,,24580,0.37554922701383237,1.3891343514843193,2.4270967540405928,"recall (ii), <= 40 m, in image",,all
vehicle,0-10 m,2096,0.8115458015267175,1.2166184512002838,1.7144600332025681,side: recall (ii) with the oracle-height lift,,
vehicle,10-20 m,7184,0.4908129175946548,1.3413240376422766,1.8596553790817891,side: recall (ii) with the oracle-height lift,,
vehicle,20-40 m,15300,0.4263398692810457,1.7409099607765204,2.8182587967859765,side: recall (ii) with the oracle-height lift,,
vehicle,,24580,0.4780309194467046,1.4886290866006946,2.499533088767743,side: recall (ii) with the oracle-height lift,,all
cone,0-10 m,727,0.5034387895460798,0.5004927546147953,1.2885086470018652,"recall (ii), <= 40 m, in image",,
cone,10-20 m,2652,0.39328808446455504,0.8578876543800891,1.7531117484190628,"recall (ii), <= 40 m, in image",,
cone,20-40 m,2647,0.20324896108802418,1.2083965746588134,2.2880303339527175,"recall (ii), <= 40 m, in image",,
cone,,5114,0.3206883066093078,0.8407152800282659,1.8855597927010643,"recall (ii), <= 40 m, in image",day,
cone,,50,0.0,,,"recall (ii), <= 40 m, in image",night,
cone,,862,0.3561484918793503,0.871385720859015,1.9078813195612514,"recall (ii), <= 40 m, in image",rain,
