cls,scope,n,frames,recall,recall_oracle_height,bev_err_med,bev_err_p90,ci
pedestrian,all,1998,1560,0.491991991991992,0.7712712712712713,0.4957492364946174,1.6243448826054052,"(0.22869017340608697, 0.7322088548536044)"
pedestrian,"<= 30 m, day",1311,918,0.6498855835240275,0.8573607932875668,0.4668196928437802,1.5629491133773086,
pedestrian,<= 20 m,943,601,0.88016967126193,0.9194061505832449,0.4646538392239629,1.5279777180049747,
pedestrian,night,419,374,0.26968973747016706,0.7613365155131265,1.1886067336633193,1.7292928459720673,
pedestrian,rain,1011,816,0.3887240356083086,0.6083086053412463,0.5207763638275631,1.5870930176544873,
pedestrian,DynamicObjectCrossing 0-10 m,44,44,0.8636363636363636,,0.5154848220498479,0.9200770929388464,
pedestrian,DynamicObjectCrossing 10-20 m,70,70,0.4857142857142857,,1.2301276764357265,1.6533766972198018,
pedestrian,DynamicObjectCrossing 20-40 m,65,65,0.046153846153846156,,0.8778712926503485,0.8778712926503485,
pedestrian,ParkingCrossingPedestrian 0-10 m,19,19,1.0,,0.41252385247891077,1.020450361909979,
pedestrian,ParkingCrossingPedestrian 10-20 m,63,63,0.49206349206349204,,0.4913529559025816,1.5937957624391277,
pedestrian,ParkingCrossingPedestrian 20-40 m,96,96,0.0,,,,
pedestrian,ParkingCrossingPedestrian 40-80 m,21,21,0.0,,,,
pedestrian,PedestrianCrossing 0-10 m,538,295,0.9944237918215614,,0.4064973259803733,0.8571426038547031,
pedestrian,PedestrianCrossing 10-20 m,192,96,0.8125,,1.2114224537257074,1.8732481490500974,
pedestrian,PedestrianCrossing 20-40 m,141,54,0.8439716312056738,,1.2638979153086607,1.981774272058104,
pedestrian,VehicleTurningRoutePedestrian 0-10 m,9,9,1.0,,0.24714566625225282,0.9755302304010137,
pedestrian,VehicleTurningRoutePedestrian 10-20 m,8,8,1.0,,1.4156013722552543,1.7026127331692495,
pedestrian,VehicleTurningRoutePedestrian 20-40 m,732,732,0.04234972677595628,,1.416824703622572,3.0148368331541295,
vehicle,all,1746,1746,0.7766323024054983,0.8310423825887744,1.0361948543203663,1.8841805737316586,"(0.6832826245332565, 0.8511846327204006)"
vehicle,"<= 30 m, day",962,962,0.8066528066528067,0.8690228690228691,0.9945721904654032,1.5698058401418213,
vehicle,<= 20 m,898,898,0.888641425389755,0.9342984409799554,0.9880844071262828,1.5468164474124433,
vehicle,night,409,409,0.6625916870415648,0.78239608801956,1.049777719500583,1.7751854719105618,
vehicle,rain,708,708,0.769774011299435,0.788135593220339,1.035317589482857,1.9077121028763246,
vehicle,HighwayCutIn 10-20 m,523,523,0.9407265774378585,,0.9903127804755059,1.540511722021012,
vehicle,HighwayCutIn 20-40 m,164,164,0.22560975609756098,,1.02455232431132,1.491260154759631,
vehicle,OppositeVehicleRunningRedLight 0-10 m,8,8,0.0,,,,
vehicle,OppositeVehicleRunningRedLight 10-20 m,3,3,0.0,,,,
vehicle,OppositeVehicleRunningRedLight 40-80 m,24,24,0.0,,,,
vehicle,ParkingCutIn 0-10 m,112,112,0.5982142857142857,,0.8135559822637715,1.539049433664983,
vehicle,ParkingCutIn 10-20 m,104,104,1.0,,0.8909740038050004,1.0852003364461746,
vehicle,ParkingCutIn 20-40 m,204,204,0.8872549019607843,,1.0257556181149228,1.755623056277115,
vehicle,ParkingCutIn 40-80 m,126,126,0.5793650793650794,,1.9479820182652088,3.977804915268733,
vehicle,StaticCutIn 0-10 m,22,22,1.0,,1.461245172773986,1.7589404979626597,
vehicle,StaticCutIn 10-20 m,126,126,0.8968253968253969,,1.217454486251193,1.6844290312146473,
vehicle,StaticCutIn 20-40 m,174,174,0.8505747126436781,,1.1766140633031075,1.8884693892650244,
vehicle,StaticCutIn 40-80 m,156,156,0.7628205128205128,,1.8290036745403933,3.211611245681969,
