family,gate ttc plus,gate ttc minus,gate intrusion plus,gate intrusion minus,gate pedestrian plus,gate pedestrian minus,gate any plus,gate any minus
DynamicObjectCrossing,0.0,0.020134228187919462,0.040268456375838924,0.040268456375838924,0.18791946308724833,0.0,0.20134228187919462,0.040268456375838924
HardBreakRoute,0.03592814371257485,0.03592814371257485,0.4311377245508982,0.4311377245508982,0.0,0.0,0.4431137724550898,0.4431137724550898
HighwayCutIn,0.016574585635359115,0.016574585635359115,0.4419889502762431,0.4419889502762431,0.0,0.0,0.4419889502762431,0.4419889502762431
Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OppositeVehicleRunningRedLight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ParkingCrossingPedestrian,0.0196078431372549,0.0196078431372549,0.029411764705882353,0.029411764705882353,0.06862745098039216,0.0,0.06862745098039216,0.029411764705882353
ParkingCutIn,0.09950248756218906,0.11194029850746269,0.39054726368159204,0.39552238805970147,0.0,0.0,0.39552238805970147,0.40049751243781095
PedestrianCrossing,0.0,0.0,0.1437994722955145,0.0,0.22559366754617413,0.0,0.2678100263852243,0.0
StaticCutIn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehicleTurningRoutePedestrian,0.028104026845637585,0.028104026845637585,0.10213926174496644,0.10213926174496644,0.0006291946308724832,0.0,0.10927013422818792,0.10927013422818792
