examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
gate ttc,pooled,0.0,490,25,75,0.053061224489795916,0.021126017709633328,0.08993797443952962,0.053061224489795916,0.0,1806,0.004429678848283499,0.0,0.0,1667.0,0.05705003248862898
gate ttc,DynamicObjectCrossing,0.0,45,3,9,0.15555555555555556,0.0,0.3333333333333333,0.15555555555555556,0.0,134,0.05970149253731343,,,,
gate ttc,HighwayCutIn,0.0,102,4,12,0.0,0.0,0.0,0.0,0.0,588,0.0,,,,
gate ttc,Light,0.0,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
gate ttc,OppositeVehicleRunningRedLight,0.0,0,0,0,,,,,,31,0.0,,,,
gate ttc,ParkingCrossingPedestrian,0.0,76,5,15,0.10526315789473684,0.0,0.20512820512820512,0.10526315789473684,0.0,123,0.0,,,,
gate ttc,ParkingCutIn,0.0,135,5,15,0.08148148148148149,0.044444444444444446,0.1111111111111111,0.08148148148148149,0.0,411,0.0,,,,
gate ttc,PedestrianCrossing,0.0,3,1,3,0.0,0.0,0.0,0.0,0.0,722,0.004155124653739612,,,,
gate ttc,StaticCutIn,0.0,123,5,15,0.0,0.0,0.0,0.0,0.0,355,0.0,,,,
gate ttc,VehicleTurningRoutePedestrian,0.0,10,1,3,0.0,0.0,0.0,0.0,0.0,886,0.0056433408577878106,,,,
gate intrusion,pooled,0.0,490,25,75,0.2612244897959184,0.09979958875751976,0.43662194687109995,0.2612244897959184,0.0,1806,0.055924695459579184,0.0,0.0,1667.0,0.2237166991552956
gate intrusion,DynamicObjectCrossing,0.0,45,3,9,0.15555555555555556,0.0,0.3333333333333333,0.15555555555555556,0.0,134,0.05970149253731343,,,,
gate intrusion,HighwayCutIn,0.0,102,4,12,1.0,1.0,1.0,1.0,0.0,588,0.15816326530612246,,,,
gate intrusion,Light,0.0,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
gate intrusion,OppositeVehicleRunningRedLight,0.0,0,0,0,,,,,,31,0.0,,,,
gate intrusion,ParkingCrossingPedestrian,0.0,76,5,15,0.10526315789473684,0.0,0.20512820512820512,0.10526315789473684,0.0,123,0.0,,,,
gate intrusion,ParkingCutIn,0.0,135,5,15,0.08148148148148149,0.044444444444444446,0.1111111111111111,0.08148148148148149,0.0,411,0.0,,,,
gate intrusion,PedestrianCrossing,0.0,3,1,3,0.0,0.0,0.0,0.0,0.0,722,0.004155124653739612,,,,
gate intrusion,StaticCutIn,0.0,123,5,15,0.0,0.0,0.0,0.0,0.0,355,0.0,,,,
gate intrusion,VehicleTurningRoutePedestrian,0.0,10,1,3,0.0,0.0,0.0,0.0,0.0,886,0.004514672686230248,,,,
gate pedestrian,pooled,0.0,490,25,75,0.19795918367346937,0.08125517032593735,0.35206390401210297,0.19795918367346937,0.0,1806,0.044296788482835,0.0,0.0,1667.0,0.2716374269005848
gate pedestrian,DynamicObjectCrossing,0.0,45,3,9,0.8666666666666667,0.6666666666666666,1.0,0.8666666666666667,0.0,134,0.48507462686567165,,,,
gate pedestrian,HighwayCutIn,0.0,102,4,12,0.0,0.0,0.0,0.0,0.0,588,0.0,,,,
gate pedestrian,Light,0.0,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
gate pedestrian,OppositeVehicleRunningRedLight,0.0,0,0,0,,,,,,31,0.0,,,,
gate pedestrian,ParkingCrossingPedestrian,0.0,76,5,15,0.7631578947368421,0.6875,0.926829268292683,0.7631578947368421,0.0,123,0.12195121951219512,,,,
gate pedestrian,ParkingCutIn,0.0,135,5,15,0.0,0.0,0.0,0.0,0.0,411,0.0,,,,
gate pedestrian,PedestrianCrossing,0.0,3,1,3,1.0,1.0,1.0,1.0,0.0,722,0.3628808864265928,,,,
gate pedestrian,StaticCutIn,0.0,123,5,15,0.0,0.0,0.0,0.0,0.0,355,0.0,,,,
gate pedestrian,VehicleTurningRoutePedestrian,0.0,10,1,3,1.0,1.0,1.0,1.0,0.0,886,0.025959367945823927,,,,
gate any,pooled,0.0,490,25,75,0.42857142857142855,0.24737523074278625,0.6290172277877194,0.42857142857142855,0.0,1806,0.09579180509413067,0.0,0.0,1667.0,0.4518843404808317
gate any,DynamicObjectCrossing,0.0,45,3,9,0.8666666666666667,0.6666666666666666,1.0,0.8666666666666667,0.0,134,0.48507462686567165,,,,
gate any,HighwayCutIn,0.0,102,4,12,1.0,1.0,1.0,1.0,0.0,588,0.15816326530612246,,,,
gate any,Light,0.0,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
gate any,OppositeVehicleRunningRedLight,0.0,0,0,0,,,,,,31,0.0,,,,
gate any,ParkingCrossingPedestrian,0.0,76,5,15,0.7631578947368421,0.6875,0.926829268292683,0.7631578947368421,0.0,123,0.12195121951219512,,,,
gate any,ParkingCutIn,0.0,135,5,15,0.08148148148148149,0.044444444444444446,0.1111111111111111,0.08148148148148149,0.0,411,0.0,,,,
gate any,PedestrianCrossing,0.0,3,1,3,1.0,1.0,1.0,1.0,0.0,722,0.3628808864265928,,,,
gate any,StaticCutIn,0.0,123,5,15,0.0,0.0,0.0,0.0,0.0,355,0.0,,,,
gate any,VehicleTurningRoutePedestrian,0.0,10,1,3,0.7,0.7,0.7,0.7,0.0,886,0.022573363431151242,,,,
