gate,fold,magnitude
ttc,0,0.7976160049438477
ttc,1,0.47406625747680664
ttc,2,2.4795706272125244
ttc,3,2.106477737426758
ttc,4,0.6116329431533813
intrusion,0,0.10043096542358398
intrusion,1,0.03384590148925781
intrusion,2,0.06136369705200195
intrusion,3,0.05566072463989258
intrusion,4,0.014780998229980469
pedestrian,0,-0.20946407318115234
pedestrian,1,-0.04917997121810913
pedestrian,2,-0.20946407318115234
pedestrian,3,0.06668990850448608
pedestrian,4,2.9179232120513916
any,0,0.08121967315673828
any,1,0.025157827883958817
any,2,0.05031013488769531
any,3,0.07167625427246094
any,4,0.010442972183227539
