family,pairs,window_p25_s,window_median_s,window_p75_s,window_min_s,budget_p25 openpilot Cinque (2.3 ms p50),fast only openpilot Cinque (2.3 ms p50),budget_p25 SAM 3.1 3 cams p50 (558 ms),fast only SAM 3.1 3 cams p50 (558 ms),budget_p25 SAM 3.1 3 cams p95 (587 ms),fast only SAM 3.1 3 cams p95 (587 ms),budget_p25 openjev (470 ms p50),fast only openjev (470 ms p50)
DynamicObjectCrossing,15,1.2000000000000002,1.4500000000000002,3.575,1.0,1.1977000000000002,False,0.6423703891225161,False,0.6129422422964128,False,0.7300000000000002,False
HighwayCutIn,15,8.875,9.600000000000001,10.225000000000001,8.75,8.8727,False,8.317370389122516,False,8.287942242296413,False,8.405,False
Light,15,0.1,0.1,0.15000000000000002,0.05,0.09770000000000001,True,-0.4576296108774841,True,-0.4870577577035874,True,-0.37,True
OppositeVehicleRunningRedLight,9,0.05,4.4,5.300000000000001,0.05,0.047700000000000006,True,-0.507629610877484,True,-0.5370577577035873,True,-0.42,True
ParkingCrossingPedestrian,15,0.525,1.9000000000000001,4.7,0.4,0.5227,False,-0.03262961087748406,True,-0.062057757703587346,True,0.05500000000000005,True
ParkingCutIn,15,8.05,8.05,8.15,7.9,8.0477,False,7.492370389122517,False,7.462942242296413,False,7.580000000000001,False
PedestrianCrossing,15,3.2,17.45,19.5,2.85,3.1977,False,2.642370389122516,False,2.6129422422964126,False,2.7300000000000004,False
StaticCutIn,15,6.9,6.95,7.5,2.6,6.8977,False,6.342370389122516,False,6.312942242296413,False,6.430000000000001,False
VehicleTurningRoutePedestrian,15,9.900000000000002,18.85,20.05,6.550000000000001,9.897700000000002,False,9.342370389122518,False,9.312942242296415,False,9.430000000000001,False
all families,129,1.9000000000000001,6.9,9.3,0.05,1.8977000000000002,False,1.342370389122516,False,1.3129422422964128,False,1.4300000000000002,False
