examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
prior [cinque],pooled,1.49,490,25,75,0.4673,0.3169,0.6004,0.4673,0,1806,0.04651,0.05039,0.05109,1667,0.327
Q9b pair grid s0 [cinque],pooled,2.006,490,25,75,0.4694,0.3041,0.5988,0.4694,0,1806,0.02436,0.05039,0.04949,1667,0.3308
Q9b pair grid s1 [cinque],pooled,1.983,490,25,75,0.4959,0.3396,0.6247,0.4959,0,1806,0.02104,0.05039,0.04982,1667,0.3502
Q9b pair grid s2 [cinque],pooled,1.993,490,25,75,0.4959,0.3398,0.6222,0.4959,0,1806,0.02492,0.05039,0.05076,1667,0.3498
Q9b hard grid [cinque],pooled,3.104,490,25,75,0.2224,0.1139,0.326,0.2224,0,1806,0.008306,0.05039,0.05783,1667,0.1523
Q9b pair pooled-linear [cinque],pooled,1.559,490,25,75,0.502,0.3371,0.6401,0.502,0,1806,0.05371,0.05039,0.05036,1667,0.3524
prior [lebowski],pooled,1.379,490,25,75,0.4163,0.2552,0.5628,0.4163,0,1806,0.04762,0.05039,0.05495,1667,0.2958
Q9b pair grid s0 [lebowski],pooled,2.188,490,25,75,0.4122,0.246,0.5618,0.4122,0,1806,0.02769,0.05039,0.059,1667,0.2922
Q9b pair grid s1 [lebowski],pooled,2.274,490,25,75,0.4041,0.2383,0.5515,0.4041,0,1806,0.0227,0.05039,0.06075,1667,0.2873
Q9b pair grid s2 [lebowski],pooled,2.208,490,25,75,0.4224,0.2552,0.5714,0.4224,0,1806,0.02215,0.05039,0.05205,1667,0.3
Q9b hard grid [lebowski],pooled,3.098,490,25,75,0.1959,0.09315,0.3053,0.1959,0,1806,0.009413,0.05039,0.08332,1667,0.141
Q9b pair pooled-linear [lebowski],pooled,1.481,490,25,75,0.4347,0.2736,0.5765,0.4347,0,1806,0.05814,0.05039,0.05824,1667,0.3059
