examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
prior [cinque],pooled,1.165,1081,49,147,0.482,0.355,0.6023,0.482,0,4045,0.06947,0.05006,0.05052,3176,0.3347
Q9b pair grid s0 [cinque],pooled,2.002,1081,49,147,0.6327,0.5514,0.7104,0.6327,0,4045,0.05637,0.05006,0.06264,3176,0.4564
Q9b pair grid s1 [cinque],pooled,1.986,1081,49,147,0.6309,0.5458,0.7107,0.6309,0,4045,0.05241,0.05006,0.05083,3176,0.4541
Q9b pair grid s2 [cinque],pooled,1.946,1081,49,147,0.6522,0.566,0.7292,0.6522,0,4045,0.06082,0.05006,0.04852,3176,0.4702
Q9b hard grid [cinque],pooled,2.762,1081,49,147,0.3071,0.2228,0.3967,0.3071,0,4045,0.02126,0.05006,0.05142,3176,0.2203
Q9b pair pooled-linear [cinque],pooled,1.384,1081,49,147,0.519,0.4088,0.6237,0.519,0,4045,0.09642,0.05006,0.055,3176,0.409
prior [lebowski],pooled,1.17,1081,49,147,0.4514,0.3354,0.5617,0.4551,0.0037,4045,0.08999,0.05006,0.05158,3176,0.339
Q9b pair grid s0 [lebowski],pooled,2.097,1081,49,147,0.6244,0.5496,0.6963,0.6244,0,4045,0.05216,0.05006,0.05692,3176,0.4593
Q9b pair grid s1 [lebowski],pooled,2.118,1081,49,147,0.6226,0.5442,0.6972,0.6226,0,4045,0.05192,0.05006,0.0617,3176,0.4532
Q9b pair grid s2 [lebowski],pooled,2.044,1081,49,147,0.617,0.5432,0.6908,0.6179,0.0009251,4045,0.0581,0.05006,0.05714,3176,0.46
Q9b hard grid [lebowski],pooled,2.71,1081,49,147,0.3182,0.2319,0.4076,0.3182,0,4045,0.03263,0.05006,0.05372,3176,0.2535
Q9b pair pooled-linear [lebowski],pooled,1.35,1081,49,147,0.5217,0.4203,0.6152,0.5217,0,4045,0.1145,0.05006,0.05243,3176,0.4195
