t,kind,fold,arm,model,group,n,slope_fit,slope_prior
1.79e+09,q9b_insample,0,Q9b pair grid s0,cinque,pedestrian,314,0.7081,0.01397
1.79e+09,q9b_insample,0,Q9b pair grid s0,cinque,cut-in,547,0.7324,0.1826
1.79e+09,q9b_insample,0,Q9b pair grid s1,cinque,pedestrian,314,0.7061,0.01397
1.79e+09,q9b_insample,0,Q9b pair grid s1,cinque,cut-in,547,0.7314,0.1826
1.79e+09,q9b_insample,0,Q9b pair grid s2,cinque,pedestrian,314,0.713,0.01397
1.79e+09,q9b_insample,0,Q9b pair grid s2,cinque,cut-in,547,0.7149,0.1826
1.79e+09,q9b_insample,0,Q9b hard grid,cinque,pedestrian,314,0.294,0.01397
1.79e+09,q9b_insample,0,Q9b hard grid,cinque,cut-in,547,0.3835,0.1826
1.79e+09,q9b_insample,0,Q9b pair pooled-linear,cinque,pedestrian,314,0.09175,0.01397
1.79e+09,q9b_insample,0,Q9b pair pooled-linear,cinque,cut-in,547,0.2347,0.1826
1.79e+09,q9b_insample,1,Q9b pair grid s0,cinque,pedestrian,353,0.6761,0.02547
1.79e+09,q9b_insample,1,Q9b pair grid s0,cinque,cut-in,474,0.5227,0.2019
1.79e+09,q9b_insample,1,Q9b pair grid s1,cinque,pedestrian,353,0.691,0.02547
1.79e+09,q9b_insample,1,Q9b pair grid s1,cinque,cut-in,474,0.5706,0.2019
1.79e+09,q9b_insample,1,Q9b pair grid s2,cinque,pedestrian,353,0.6445,0.02547
1.79e+09,q9b_insample,1,Q9b pair grid s2,cinque,cut-in,474,0.5003,0.2019
1.79e+09,q9b_insample,1,Q9b hard grid,cinque,pedestrian,353,0.1337,0.02547
1.79e+09,q9b_insample,1,Q9b hard grid,cinque,cut-in,474,0.3266,0.2019
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,cinque,pedestrian,353,0.04176,0.02547
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,cinque,cut-in,474,0.2164,0.2019
1.79e+09,q9b_insample,2,Q9b pair grid s0,cinque,pedestrian,300,0.6728,0.02512
1.79e+09,q9b_insample,2,Q9b pair grid s0,cinque,cut-in,570,0.6916,0.1758
1.79e+09,q9b_insample,2,Q9b pair grid s1,cinque,pedestrian,300,0.6768,0.02512
1.79e+09,q9b_insample,2,Q9b pair grid s1,cinque,cut-in,570,0.6878,0.1758
1.79e+09,q9b_insample,2,Q9b pair grid s2,cinque,pedestrian,300,0.667,0.02512
1.79e+09,q9b_insample,2,Q9b pair grid s2,cinque,cut-in,570,0.6662,0.1758
1.79e+09,q9b_insample,2,Q9b hard grid,cinque,pedestrian,300,0.2141,0.02512
1.79e+09,q9b_insample,2,Q9b hard grid,cinque,cut-in,570,0.3206,0.1758
1.79e+09,q9b_insample,2,Q9b pair pooled-linear,cinque,pedestrian,300,0.04348,0.02512
1.79e+09,q9b_insample,2,Q9b pair pooled-linear,cinque,cut-in,570,0.194,0.1758
1.79e+09,q9b_insample,3,Q9b pair grid s0,cinque,pedestrian,362,0.7314,0.02703
1.79e+09,q9b_insample,3,Q9b pair grid s0,cinque,cut-in,490,0.6302,0.1807
1.79e+09,q9b_insample,3,Q9b pair grid s1,cinque,pedestrian,362,0.723,0.02703
1.79e+09,q9b_insample,3,Q9b pair grid s1,cinque,cut-in,490,0.634,0.1807
1.79e+09,q9b_insample,3,Q9b pair grid s2,cinque,pedestrian,362,0.7259,0.02703
1.79e+09,q9b_insample,3,Q9b pair grid s2,cinque,cut-in,490,0.5948,0.1807
1.79e+09,q9b_insample,3,Q9b hard grid,cinque,pedestrian,362,0.2127,0.02703
1.79e+09,q9b_insample,3,Q9b hard grid,cinque,cut-in,490,0.2782,0.1807
1.79e+09,q9b_insample,3,Q9b pair pooled-linear,cinque,pedestrian,362,0.09678,0.02703
1.79e+09,q9b_insample,3,Q9b pair pooled-linear,cinque,cut-in,490,0.2126,0.1807
