examinee,scope,n_reactive,flip_rate,flip_lo,flip_hi,tau_model
prior [cinque],DynamicObjectCrossing,45,0,0,0,1.49
prior [cinque],HighwayCutIn,102,0.8922,0.6875,1,1.49
prior [cinque],Light,9,0,0,0,1.49
prior [cinque],OppositeVehicleRunningRedLight,0,,,,1.49
prior [cinque],ParkingCrossingPedestrian,76,0,0,0,1.49
prior [cinque],ParkingCutIn,135,0.5333,0.4296,0.6222,1.49
prior [cinque],PedestrianCrossing,3,0,0,0,1.49
prior [cinque],StaticCutIn,123,0.5366,0.3651,0.728,1.49
prior [cinque],VehicleTurningRoutePedestrian,10,0,0,0,1.49
Q9b pair grid s0 [cinque],DynamicObjectCrossing,45,0,0,0,3.075
Q9b pair grid s0 [cinque],HighwayCutIn,102,0.7745,0.3429,1,3.075
Q9b pair grid s0 [cinque],Light,9,0,0,0,3.075
Q9b pair grid s0 [cinque],OppositeVehicleRunningRedLight,0,,,,3.075
Q9b pair grid s0 [cinque],ParkingCrossingPedestrian,76,0,0,0,3.075
Q9b pair grid s0 [cinque],ParkingCutIn,135,0.4148,0.2,0.6074,3.075
Q9b pair grid s0 [cinque],PedestrianCrossing,3,0,0,0,3.075
Q9b pair grid s0 [cinque],StaticCutIn,123,0.2114,0.01695,0.416,3.075
Q9b pair grid s0 [cinque],VehicleTurningRoutePedestrian,10,0,0,0,3.075
Q9b pair grid s1 [cinque],DynamicObjectCrossing,45,0.04444,0,0.1111,2.019
Q9b pair grid s1 [cinque],HighwayCutIn,102,0.7647,0.2727,1,2.019
Q9b pair grid s1 [cinque],Light,9,0,0,0,2.019
Q9b pair grid s1 [cinque],OppositeVehicleRunningRedLight,0,,,,2.019
Q9b pair grid s1 [cinque],ParkingCrossingPedestrian,76,0.05263,0,0.1348,2.019
Q9b pair grid s1 [cinque],ParkingCutIn,135,0.8222,0.7185,0.9259,2.019
Q9b pair grid s1 [cinque],PedestrianCrossing,3,0,0,0,2.019
Q9b pair grid s1 [cinque],StaticCutIn,123,0.5447,0.3492,0.7642,2.019
Q9b pair grid s1 [cinque],VehicleTurningRoutePedestrian,10,0,0,0,2.019
Q9b pair grid s2 [cinque],DynamicObjectCrossing,45,0,0,0,2.046
Q9b pair grid s2 [cinque],HighwayCutIn,102,0.9804,0.9429,1,2.046
Q9b pair grid s2 [cinque],Light,9,0,0,0,2.046
Q9b pair grid s2 [cinque],OppositeVehicleRunningRedLight,0,,,,2.046
Q9b pair grid s2 [cinque],ParkingCrossingPedestrian,76,0,0,0,2.046
Q9b pair grid s2 [cinque],ParkingCutIn,135,0.5037,0.2444,0.7407,2.046
Q9b pair grid s2 [cinque],PedestrianCrossing,3,0,0,0,2.046
Q9b pair grid s2 [cinque],StaticCutIn,123,0.439,0.232,0.6585,2.046
Q9b pair grid s2 [cinque],VehicleTurningRoutePedestrian,10,0,0,0,2.046
Q9b hard grid [cinque],DynamicObjectCrossing,45,0,0,0,2.758
Q9b hard grid [cinque],HighwayCutIn,102,0.7157,0.2286,0.9896,2.758
Q9b hard grid [cinque],Light,9,0,0,0,2.758
Q9b hard grid [cinque],OppositeVehicleRunningRedLight,0,,,,2.758
Q9b hard grid [cinque],ParkingCrossingPedestrian,76,0,0,0,2.758
Q9b hard grid [cinque],ParkingCutIn,135,0.2593,0.05185,0.4669,2.758
Q9b hard grid [cinque],PedestrianCrossing,3,0,0,0,2.758
Q9b hard grid [cinque],StaticCutIn,123,0.2602,0.1,0.4385,2.758
Q9b hard grid [cinque],VehicleTurningRoutePedestrian,10,0,0,0,2.758
Q9b pair pooled-linear [cinque],DynamicObjectCrossing,45,0,0,0,1.559
Q9b pair pooled-linear [cinque],HighwayCutIn,102,1,1,1,1.559
Q9b pair pooled-linear [cinque],Light,9,0,0,0,1.559
Q9b pair pooled-linear [cinque],OppositeVehicleRunningRedLight,0,,,,1.559
Q9b pair pooled-linear [cinque],ParkingCrossingPedestrian,76,0,0,0,1.559
Q9b pair pooled-linear [cinque],ParkingCutIn,135,0.5778,0.5111,0.6444,1.559
Q9b pair pooled-linear [cinque],PedestrianCrossing,3,0,0,0,1.559
Q9b pair pooled-linear [cinque],StaticCutIn,123,0.5366,0.3492,0.7333,1.559
Q9b pair pooled-linear [cinque],VehicleTurningRoutePedestrian,10,0,0,0,1.559
prior [lebowski],DynamicObjectCrossing,45,0,0,0,1.379
prior [lebowski],HighwayCutIn,102,0.8627,0.6286,1,1.379
prior [lebowski],Light,9,0,0,0,1.379
prior [lebowski],OppositeVehicleRunningRedLight,0,,,,1.379
prior [lebowski],ParkingCrossingPedestrian,76,0,0,0,1.379
prior [lebowski],ParkingCutIn,135,0.3185,0.1556,0.4667,1.379
prior [lebowski],PedestrianCrossing,3,0,0,0,1.379
prior [lebowski],StaticCutIn,123,0.5935,0.3828,0.8087,1.379
prior [lebowski],VehicleTurningRoutePedestrian,10,0,0,0,1.379
Q9b pair grid s0 [lebowski],DynamicObjectCrossing,45,0,0,0,2.468
Q9b pair grid s0 [lebowski],HighwayCutIn,102,0.7353,0.2286,1,2.468
Q9b pair grid s0 [lebowski],Light,9,0,0,0,2.468
Q9b pair grid s0 [lebowski],OppositeVehicleRunningRedLight,0,,,,2.468
Q9b pair grid s0 [lebowski],ParkingCrossingPedestrian,76,0,0,0,2.468
Q9b pair grid s0 [lebowski],ParkingCutIn,135,0.4519,0.2222,0.6667,2.468
Q9b pair grid s0 [lebowski],PedestrianCrossing,3,0,0,0,2.468
Q9b pair grid s0 [lebowski],StaticCutIn,123,0.4553,0.246,0.675,2.468
Q9b pair grid s0 [lebowski],VehicleTurningRoutePedestrian,10,0,0,0,2.468
Q9b pair grid s1 [lebowski],DynamicObjectCrossing,45,0,0,0,2.474
Q9b pair grid s1 [lebowski],HighwayCutIn,102,0.4804,0.2037,0.7917,2.474
Q9b pair grid s1 [lebowski],Light,9,0,0,0,2.474
Q9b pair grid s1 [lebowski],OppositeVehicleRunningRedLight,0,,,,2.474
Q9b pair grid s1 [lebowski],ParkingCrossingPedestrian,76,0.05263,0,0.1348,2.474
Q9b pair grid s1 [lebowski],ParkingCutIn,135,0.3852,0.1778,0.5926,2.474
Q9b pair grid s1 [lebowski],PedestrianCrossing,3,0,0,0,2.474
Q9b pair grid s1 [lebowski],StaticCutIn,123,0.5285,0.2619,0.8,2.474
Q9b pair grid s1 [lebowski],VehicleTurningRoutePedestrian,10,0,0,0,2.474
Q9b pair grid s2 [lebowski],DynamicObjectCrossing,45,0,0,0,1.855
Q9b pair grid s2 [lebowski],HighwayCutIn,102,0.9804,0.9429,1,1.855
Q9b pair grid s2 [lebowski],Light,9,0,0,0,1.855
Q9b pair grid s2 [lebowski],OppositeVehicleRunningRedLight,0,,,,1.855
Q9b pair grid s2 [lebowski],ParkingCrossingPedestrian,76,0,0,0,1.855
Q9b pair grid s2 [lebowski],ParkingCutIn,135,0.2963,0.1111,0.4815,1.855
Q9b pair grid s2 [lebowski],PedestrianCrossing,3,0,0,0,1.855
