examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
prior [cinque],pooled,1.49,490,25,75,0.4673,0.3169,0.6004,0.4673,0,1806,0.04651,0.05039,0.05109,1667,0.327
Q9b pair grid s0 [cinque],pooled,3.075,490,25,75,0.3286,0.167,0.4753,0.3286,0,1806,0.03987,0.05039,0.05659,1667,0.2335
Q9b pair grid s1 [cinque],pooled,2.019,490,25,75,0.5347,0.3547,0.6845,0.5388,0.004082,1806,0.04928,0.05039,0.05623,1667,0.3715
Q9b pair grid s2 [cinque],pooled,2.046,490,25,75,0.4531,0.2836,0.6089,0.4531,0,1806,0.04153,0.05039,0.04568,1667,0.3205
Q9b hard grid [cinque],pooled,2.758,490,25,75,0.2857,0.1294,0.4311,0.2857,0,1806,0.03322,0.05039,0.05965,1667,0.2059
Q9b pair pooled-linear [cinque],pooled,1.559,490,25,75,0.502,0.3371,0.6401,0.502,0,1806,0.05371,0.05039,0.05036,1667,0.3524
prior [lebowski],pooled,1.379,490,25,75,0.4163,0.2552,0.5628,0.4163,0,1806,0.04762,0.05039,0.05495,1667,0.2958
Q9b pair grid s0 [lebowski],pooled,2.468,490,25,75,0.3918,0.2234,0.5492,0.3918,0,1806,0.06977,0.05039,0.05175,1667,0.2737
Q9b pair grid s1 [lebowski],pooled,2.474,490,25,75,0.3469,0.2154,0.4753,0.3469,0,1806,0.01218,0.05039,0.1293,1667,0.2411
Q9b pair grid s2 [lebowski],pooled,1.855,490,25,75,0.4143,0.2446,0.5747,0.4143,0,1806,0.06589,0.05039,0.07374,1667,0.2981
Q9b hard grid [lebowski],pooled,2.744,490,25,75,0.2408,0.1071,0.3867,0.2408,0,1806,0.01993,0.05039,0.06108,1667,0.1772
Q9b pair pooled-linear [lebowski],pooled,1.481,490,25,75,0.4347,0.2736,0.5765,0.4347,0,1806,0.05814,0.05039,0.05824,1667,0.3059
