board,method,slug,repo_url,repo_path,commit,clone_date,clone_status,paper_url,paper_path,paper_status,code_grade,branch
bench2drive,TFv6,tfv6,https://github.com/kesai-labs/lead,repos/bench2drive__tfv6,730bc1a2f44d5f28312dd55f0ca958e94a24c038,2026-09-24,ok,https://arxiv.org/pdf/2512.20563,papers/tfv6.pdf,ok,A,cvpr2026
bench2drive,BLUE,blue,https://github.com/George-Ling3/BLUE,repos/bench2drive__blue,6970cb69e05ef904b37f4264207ea0e1dab35ef2,2026-09-24,ok,https://arxiv.org/pdf/2606.08684,papers/blue.pdf,ok,B,main
bench2drive,SparseDriveV2,sparsedrivev2,https://github.com/swc-17/SparseDriveV2,repos/bench2drive__sparsedrivev2_b2d,e42ea59dd4946238dc65097495a9aa0708121fae,2026-09-24,ok,https://arxiv.org/pdf/2603.29163,papers/sparsedrivev2.pdf,ok,A,bench2drive
carla_lb2,TF++,tfpp,https://github.com/autonomousvision/carla_garage,repos/carla_lb2__tfpp,f22bc491b3094792aef475149e09a94dcbb526f9,2026-09-24,ok,https://arxiv.org/pdf/2412.09602,papers/tfpp.pdf,ok,A,leaderboard_2
navsim_v1,TOAD+DrivoR,toad,https://github.com/valeoai/TOAD,repos/navsim_v1__toad_nav1,0110647142888dd56644565588510812bdafaa27,2026-09-24,ok,https://arxiv.org/pdf/2606.07170,papers/toad.pdf,ok,A,nav1
navsim_v1,DriveVLA-M0,drivevla_m0,https://github.com/ZebinX/DriveVLA-M0,repos/navsim_v1__drivevla_m0,7fabe160fc9bb41f9278845b36d457bf871f697a,2026-09-24,ok,https://arxiv.org/pdf/2608.10413,papers/drivevla_m0.pdf,ok,A,main
navsim_v1,RAP-DINO,rap,https://github.com/vita-epfl/RAP,repos/navsim_v1__rap,5fd8630ae54442dd41827de4a9afe1690e3f02bb,2026-09-24,ok,https://arxiv.org/pdf/2510.04333,papers/rap.pdf,ok,A,main
navsim_v1,DrivoR,drivor,https://github.com/valeoai/DrivoR,repos/navsim_v1__drivor,fc6e5aa144bbcb5a046e22c18f1bd5cf3af8634a,2026-09-24,ok,https://arxiv.org/pdf/2601.05083,papers/drivor.pdf,ok,A,main
navsim_v2,DrivoR+TOAD,toad,https://github.com/valeoai/TOAD,repos/navsim_v2__toad,cfa88e008080d0799b2859b5935c257048ec0adf,2026-09-24,ok,https://arxiv.org/pdf/2606.07170,papers/toad.pdf,ok,A,main
navsim_v2,DrivoR,drivor,https://github.com/valeoai/DrivoR,repos/navsim_v2__drivor,fc6e5aa144bbcb5a046e22c18f1bd5cf3af8634a,2026-09-24,ok,https://arxiv.org/pdf/2601.05083,papers/drivor.pdf,ok,A,main
navsim_v2,GTRS,gtrs,https://github.com/NVlabs/GTRS,repos/navsim_v2__gtrs,92a740def80610e4096962d25cc837b21e72ef78,2026-09-24,ok,https://arxiv.org/pdf/2506.06664,papers/gtrs.pdf,ok,A,master
nuscenes,SparseOccVLA,sparseoccvla,https://github.com/MSunDYY/SparseOccVLA,repos/nuscenes__sparseoccvla,e41b48ebe35b78635d533500d1f433e8143d9754,2026-09-24,ok,https://arxiv.org/pdf/2601.06474,papers/sparseoccvla.pdf,ok,A,main
nuscenes,AD-MLP,ad_mlp,https://github.com/E2E-AD/AD-MLP,repos/nuscenes__ad_mlp,4b93ba085ee47474152f282177865796ea577fc0,2026-09-24,ok,https://arxiv.org/pdf/2305.10430,papers/ad_mlp.pdf,ok,A,main
wod_e2e,DriveMA-4B,drivema,https://github.com/Tsinghua-MARS-Lab/DriveMA,repos/wod_e2e__drivema,de20e6c64878bc3413d26d69362c3be9b3a91533,2026-09-24,ok,https://arxiv.org/pdf/2605.31271,papers/drivema.pdf,ok,A,main
wod_e2e,RAP-DINO,rap,https://github.com/vita-epfl/RAP,repos/wod_e2e__rap,5fd8630ae54442dd41827de4a9afe1690e3f02bb,2026-09-24,ok,https://arxiv.org/pdf/2510.04333,papers/rap.pdf,ok,A,main
wod_e2e,AutoVLA,autovla,https://github.com/ucla-mobility/AutoVLA,repos/wod_e2e__autovla,ba34eed74ce6729e7986592d0e66cbaca397b4fa,2026-09-24,ok,https://arxiv.org/pdf/2506.13757,papers/autovla.pdf,ok,B,main
hugsim,WA-JEPA,wa_jepa,https://github.com/AFARI-Research/WA-JEPA,repos/hugsim__wa_jepa,bec29660f5ea46ac73db8e2d0c33c8d1a72c23ad,2026-09-24,ok,https://arxiv.org/pdf/2608.20974,papers/wa_jepa.pdf,ok,A,main
hugsim,UniAD,uniad,https://github.com/hyzhou404/UniAD_SIM,repos/hugsim__uniad,5fb279e39912a5ac7f58e00d56b065cadcd0a749,2026-09-24,ok,https://arxiv.org/pdf/2212.10156,papers/uniad.pdf,ok,B,main
nuscenes,BEV-Planner++,bev_planner,https://github.com/NVlabs/BEV-Planner,repos/nuscenes__bev_planner,01c28d6db56a178ee3a65bf017fe7996360ef026,2026-09-24,ok,https://arxiv.org/pdf/2312.03031,papers/bev_planner.pdf,ok,A,master
hugsim,LTF,ltf,https://github.com/hyzhou404/NAVSIM,repos/hugsim__ltf,ca0ca7e4368646d8f7b86fb1fdaa1862c946176f,2026-09-24,ok,https://arxiv.org/pdf/2406.15349,papers/ltf.pdf,ok,B,main
