scenario,dataset,difficulty,agent,controller,tag,hdscore,rc,nc,dac,ttc,c,pdms,steps,end,wall_s,rc_code,finished,scene,run_dir
scene-0051-easy-00,nuscenes,easy,cinque,fixed,cinque-fixed,0.9487870619946092,1.0,0.9622641509433962,1.0,0.9811320754716981,1.0,0.9487870619946092,53,complete,87.4,0,2026-09-25 12:41:38,scene-0051,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0051_easy_00
scene-0051-easy-00,nuscenes,easy,cinque,official,cinque-official,0.39392886108214564,0.9191673425250066,0.6753246753246753,0.7012987012987013,0.6103896103896104,0.6753246753246753,0.4285714285714285,77,bg_collision,99.6,0,2026-09-25 12:41:51,scene-0051,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0051_easy_00
scene-0166-easy-00,nuscenes,easy,cinque,official,cinque-official,0.020701055693662887,0.04709490170308307,0.6923076923076923,1.0,0.46153846153846156,0.46153846153846156,0.43956043956043955,13,bg_collision,21.7,0,2026-09-25 12:42:12,scene-0166,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0166_easy_00
scene-0166-easy-00,nuscenes,easy,cinque,fixed,cinque-fixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49,complete,50.0,0,2026-09-25 12:42:31,scene-0166,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0166_easy_00
scene-0167-easy-00,nuscenes,easy,cinque,fixed,cinque-fixed,0.971830985915493,1.0,1.0,0.971830985915493,0.9859154929577465,1.0,0.971830985915493,71,complete,51.4,0,2026-09-25 12:43:23,scene-0167,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0167_easy_00
scene-0167-easy-00,nuscenes,easy,cinque,official,cinque-official,0.09074820992430076,0.1474505327245053,0.936046511627907,0.9593023255813954,0.8546511627906976,0.0755813953488372,0.6154485049833869,172,off_route,98.6,0,2026-09-25 12:43:53,scene-0167,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0167_easy_00
scene-0411-easy-00,nuscenes,easy,cinque,fixed,cinque-fixed,0.8877551020408163,1.0,0.9047619047619048,1.0,0.8809523809523809,1.0,0.8877551020408163,42,complete,31.0,0,2026-09-25 12:43:57,scene-0411,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0411_easy_00
scene-0411-easy-00,nuscenes,easy,cinque,official,cinque-official,0.0072580588879816305,0.035173669995603285,0.3333333333333333,0.8333333333333334,0.2222222222222222,0.3333333333333333,0.20634920634920637,18,bg_collision,30.2,0,2026-09-25 12:44:23,scene-0411,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0411_easy_00
scene-0013-medium-00,nuscenes,medium,cinque,fixed,cinque-fixed,0.05528816231691631,0.10915867944621939,0.7727272727272727,1.0,0.5454545454545454,0.4090909090909091,0.5064935064935064,22,bg_collision,31.8,0,2026-09-25 12:44:32,scene-0013,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0013_medium_00
scene-0013-medium-00,nuscenes,medium,cinque,official,cinque-official,0.021519008739456027,0.05946041888533902,0.9333333333333333,0.4,0.7333333333333333,0.6,0.3619047619047619,15,bg_collision,27.0,0,2026-09-25 12:44:50,scene-0013,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0013_medium_00
scene-0041-medium-00,nuscenes,medium,cinque,fixed,cinque-fixed,0.11539585159217061,0.16155419222903886,0.7619047619047619,0.7619047619047619,0.7142857142857143,0.8571428571428571,0.7142857142857143,21,bg_collision,37.2,0,2026-09-25 12:45:13,scene-0041,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0041_medium_00
scene-0041-medium-00,nuscenes,medium,cinque,official,cinque-official,0.132973944294699,0.2222222222222222,0.9622641509433962,0.8301886792452831,0.7924528301886793,0.32075471698113206,0.5983827493261455,53,bg_collision,88.4,0,2026-09-25 12:46:19,scene-0041,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0041_medium_00
scene-0411-medium-00,nuscenes,medium,cinque,official,cinque-official,0.007816371110134062,0.035173669995603285,0.3333333333333333,0.8888888888888888,0.2222222222222222,0.3888888888888889,0.2222222222222222,18,bg_collision,41.3,0,2026-09-25 12:47:00,scene-0411,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0411_medium_00
