run,scenario,policy,wall_s,steps,sim_peak_mib,sim_plus_agent_peak_mib,hdscore,rc
smoke-route,nuscenes/scene-0071-easy-00,route,43,66,2442,2442,0.9870129870129869,1.0
smoke-route,nuscenes/scene-0383-easy-00,route,36,44,4272,4272,0.788961038961039,1.0
smoke-route,nuscenes/scene-0383-medium-00,route,40,44,5170,5170,0.788961038961039,1.0
smoke-route,nuscenes/scene-0383-hard-00,route,22,13,5874,5874,0.02896617342192113,0.23962925285407483
smoke-cv,nuscenes/scene-0071-easy-00,cv,23,22,2442,2442,0.021046180176117212,0.05787699548432233
smoke-cv,nuscenes/scene-0383-easy-00,cv,22,17,4272,4272,0.040131345858112656,0.07347123318639086
smoke-cv,nuscenes/scene-0383-medium-00,cv,23,17,5170,5170,0.040131345858112656,0.07347123318639086
smoke-cv,nuscenes/scene-0383-hard-00,cv,25,17,5874,5874,0.040131345858112656,0.07347123318639086
smoke-route-lqrfix,nuscenes/scene-0071-easy-00,route,50,68,2442,2442,0.9873949579831932,1.0
smoke-route-lqrfix,nuscenes/scene-0383-easy-00,route,36,45,4272,4272,0.7333333333333336,1.0
smoke-route-lqrfix,nuscenes/scene-0383-medium-00,route,36,45,5170,5170,0.7333333333333336,1.0
smoke-route-lqrfix,nuscenes/scene-0383-hard-00,route,18,14,5874,5874,0.034036673333287186,0.256584152820165
smoke-cv-lqrfix,nuscenes/scene-0071-easy-00,cv,171,343,2442,2442,0.9101316542644534,0.9101316542644534
smoke-cv-lqrfix,nuscenes/scene-0383-easy-00,cv,73,157,4272,4272,0.5482084322369164,0.5482084322369164
smoke-cv-lqrfix,nuscenes/scene-0383-medium-00,cv,72,157,5170,5170,0.5482084322369164,0.5482084322369164
smoke-cv-lqrfix,nuscenes/scene-0383-hard-00,cv,91,157,5874,5874,0.5482084322369164,0.5482084322369164
