scenario,controller,step,t,v,log_xt,log_dth,log_v,stop,fwd_only,plan_len,lat25,lon25,hd25,lat50,lon50,hd50
scene-0062-medium-00,fixed,0,0,1.0,0.0,-0.02107,8.397,0,0,12.14835,-0.007,0.113,-0.01945,-0.015,0.287,-0.01559
scene-0062-medium-00,fixed,1,0.25,1.75,-0.0092,-0.01987,8.61,0,0,14.39757,-0.01562,0.1115,-0.02248,-0.02671,0.287,-0.01009
scene-0062-medium-00,fixed,2,0.5,2.5,-0.0196,-0.00813,8.396,0,0,16.64589,-0.01706,0.11288,-0.0203,-0.0331,0.28703,-0.01625
scene-0062-medium-00,fixed,3,0.75,3.25,-0.0322,-0.01382,8.312,0,0,18.70891,-0.02137,0.11203,-0.02097,-0.04318,0.28111,-0.01901
scene-0062-medium-00,fixed,4,1.0,3.995,-0.0343,0.00558,8.414,0,0,20.49495,-0.05226,0.10758,-0.03416,-0.08091,0.26625,-0.01361
scene-0062-medium-00,fixed,5,1.25,4.726,-0.0508,-0.0203,8.437,0,0,22.02719,-0.06301,0.1018,-0.03518,-0.09557,0.23943,-0.01138
scene-0062-medium-00,fixed,6,1.5,5.427,-0.09,-0.02659,8.455,0,0,23.14311,-0.05872,0.08863,-0.028,-0.08607,0.1926,-0.00666
scene-0062-medium-00,fixed,7,1.75,6.072,-0.099,-0.00969,8.461,0,0,23.91903,-0.04747,0.0676,-0.02003,-0.06915,0.12977,-0.00478
scene-0062-medium-00,fixed,8,2.0,6.641,-0.0854,0.00892,8.448,0,0,24.486,-0.03338,0.0428,-0.01353,-0.04981,0.05592,-0.00342
scene-0062-medium-00,fixed,9,2.25,7.116,-0.0682,0.00841,8.464,0,0,24.83503,-0.02203,0.00312,-0.00877,-0.03592,-0.01794,-0.00592
scene-0062-medium-00,fixed,10,2.5,7.492,-0.0492,0.00536,8.472,0,0,25.02312,-0.02174,-0.04193,-0.0087,-0.03419,-0.08388,-0.00275
scene-0062-medium-00,fixed,11,2.75,7.773,-0.0363,0.00222,8.478,0,0,25.11611,-0.0366,-0.06095,-0.01121,-0.0483,-0.10685,-0.00097
scene-0062-medium-00,fixed,12,3.0,7.975,-0.0322,-0.01538,8.501,0,0,25.16724,-0.0199,-0.04766,-0.00725,-0.02735,-0.08885,-0.0011
scene-0062-medium-00,fixed,13,3.25,8.116,-0.0481,0.00566,8.435,0,0,25.1912,0.01101,-0.03756,-0.0015,-0.00511,-0.07593,-0.01428
scene-0062-medium-00,fixed,14,3.5,8.211,-0.0275,-0.00045,8.408,0,0,25.18815,-0.00922,-0.04624,-0.00226,-0.0074,-0.081,0.00234
scene-0062-medium-00,fixed,15,3.75,8.274,-0.0047,-0.00918,8.481,0,0,25.16813,-0.06618,-0.07289,-0.02161,-0.08922,-0.10209,-0.00039
scene-0062-medium-00,fixed,16,4.0,8.312,-0.0064,-0.01087,8.866,0,0,25.11311,0.01296,-0.0227,0.00403,,,
scene-0062-medium-00,fixed,17,4.25,8.328,-0.0491,-0.34925,8.507,0,0,25.0521,,,,,,
scene-0062-medium-00,ideal,0,0,1.0,0.0,-0.02107,8.397,0,0,12.14835,0.0,-0.0,0.00043,0.0,0.012,-0.00234
scene-0062-medium-00,ideal,1,0.25,1.55,0.0004,0.0,8.555,0,0,13.79802,0.00026,-0.00041,-9e-05,0.00262,0.01221,0.0041
scene-0062-medium-00,ideal,2,0.5,2.1,-0.0007,-0.0039,8.781,0,0,15.44805,0.00057,0.00012,0.00034,-0.01097,0.01304,-0.00595
scene-0062-medium-00,ideal,3,0.75,2.65,0.0021,-0.00268,8.099,0,0,17.08204,-0.00066,0.00028,2e-05,0.00032,0.01309,-0.00194
scene-0062-medium-00,ideal,4,1.0,3.2,-0.0108,0.00557,8.41,0,0,18.57872,0.00035,3e-05,-6e-05,0.01604,0.0116,0.00625
scene-0062-medium-00,ideal,5,1.25,3.75,0.0006,0.01173,8.416,0,0,19.93414,-0.00049,-0.00101,-0.0001,0.00246,0.01232,0.00312
scene-0062-medium-00,ideal,6,1.5,4.3,0.0157,0.00014,8.436,0,0,21.1641,0.00049,0.00037,-5e-05,-0.01145,0.0115,-0.00536
scene-0062-medium-00,ideal,7,1.75,4.849,0.0022,-0.01677,8.467,0,0,22.21215,-0.00018,-0.0002,0.00016,0.006,0.0113,0.00292
scene-0062-medium-00,ideal,8,2.0,5.397,-0.0113,-0.01411,8.457,0,0,23.05306,-0.00049,3e-05,-5e-05,-0.00669,0.01242,-0.0019
scene-0062-medium-00,ideal,9,2.25,5.944,0.0063,-0.01857,8.453,0,0,23.756,0.00065,0.00012,5e-05,-0.00281,0.01323,-0.00042
scene-0062-medium-00,ideal,10,2.5,6.494,-0.0067,0.00594,8.455,0,0,24.34726,-5e-05,0.00064,-0.00011,-0.00295,0.02538,-0.00166
scene-0062-medium-00,ideal,11,2.75,7.044,-0.0036,0.00785,8.46,0,0,24.77816,6e-05,-0.00051,9e-05,0.01356,0.06584,0.00275
scene-0062-medium-00,ideal,12,3.0,7.594,-0.0026,0.00414,8.475,0,0,25.05901,-2e-05,0.00028,-0.00012,0.00232,0.05223,0.00076
scene-0062-medium-00,ideal,13,3.25,8.133,0.0129,0.00755,8.491,0,0,25.19653,-0.0,-1e-05,-1e-05,-0.00567,-0.00611,-0.00111
scene-0062-medium-00,ideal,14,3.5,8.42,0.0016,-0.01326,8.471,0,0,25.20425,-0.00079,0.00055,-3e-05,-0.01976,-0.00586,-0.00029
scene-0062-medium-00,ideal,15,3.75,8.429,-0.005,0.01337,8.412,0,0,25.191,-3e-05,0.00059,2e-05,-0.01059,0.04033,-0.01254
scene-0062-medium-00,ideal,16,4.0,8.442,-0.019,0.02408,8.443,0,0,25.18509,0.00022,-1e-05,0.00011,0.09394,0.01921,0.02906
scene-0062-medium-00,ideal,17,4.25,8.545,-0.0105,0.00232,8.497,0,0,25.15902,0.00035,-0.00044,-8e-05,,,
scene-0062-medium-00,ideal,18,4.5,8.493,0.094,0.09515,8.748,0,0,25.07459,,,,,,
scene-0062-medium-00,official,0,0,1.0,0.0,-0.02107,8.397,0,0,12.14835,-0.007,0.113,-0.00941,-0.009,0.287,0.00975
scene-0062-medium-00,official,1,0.25,1.75,-0.0092,-0.00984,8.61,0,0,14.39756,-0.01038,0.11154,0.00325,-0.00214,0.28726,0.03226
scene-0062-medium-00,official,2,0.5,2.5,-0.0133,0.01722,8.396,0,0,16.64642,0.0042,0.11335,0.02561,0.02799,0.28739,0.02583
scene-0062-medium-00,official,3,0.75,3.25,-0.0053,0.02858,8.312,0,0,18.7092,0.0324,0.11238,0.03305,0.06109,0.28787,0.01617
scene-0062-medium-00,official,4,1.0,4.0,0.035,0.04567,8.414,0,0,20.50375,0.03408,0.11349,0.02509,0.06329,0.28594,0.017
scene-0062-medium-00,official,5,1.25,4.75,0.0658,0.00866,8.437,0,0,22.07208,0.04518,0.10911,0.02566,0.07864,0.26028,0.01654
scene-0062-medium-00,official,6,1.5,5.483,0.0658,-0.00979,8.454,0,0,23.22528,0.06408,0.09311,0.0318,0.10622,0.2006,-0.00059
scene-0062-medium-00,official,7,1.75,6.155,0.0828,-0.00202,8.461,0,0,24.00827,0.07866,0.06478,0.01668,0.09325,0.13117,-0.002
scene-0062-medium-00,official,8,2.0,6.711,0.1101,-0.00902,8.447,0,0,24.54912,0.05894,0.04989,0.01809,0.07251,0.067,0.02184
scene-0062-medium-00,official,9,2.25,7.217,0.095,-0.01413,8.462,0,0,24.89862,0.03578,-0.00613,0.0335,0.08303,-0.02199,0.01792
scene-0062-medium-00,official,10,2.5,7.573,0.0711,0.00565,8.473,0,0,25.06084,0.05204,-0.03929,0.024,0.09135,-0.06867,0.02273
