variant,n_runs,n_steps,complete,lat50_med,lat50_p95,lon50_med,lon50_p95,lat25_med,lat25_p95,hd50_med_deg,hd50_p95_deg,xt_med,xt_p95,xt_max,xt_run_med_max,solve_ms_med,solve_capped
official,9,532,9,0.2431,1.8049,0.1101,0.3847,0.1528,1.1359,2.072,32.3654,0.2359,1.7811,2.1533,1.451,25.3475,0.0
fixed,9,548,9,0.1251,0.7005,0.125,0.3496,0.0795,0.4331,1.2916,13.0726,0.1227,0.6697,1.1256,0.3584,22.417,0.0
fixed-T,9,548,9,0.1251,0.7005,0.125,0.3496,0.0795,0.4331,1.2916,13.0726,0.1227,0.6697,1.1256,0.3584,22.3781,0.0
fixed-dt,9,552,9,0.0485,0.4309,0.1069,0.3158,0.0321,0.274,0.5685,7.3061,0.0493,0.4257,0.6916,0.1429,39.6134,0.0421
central,9,548,9,0.1299,0.7111,0.1261,0.348,0.0844,0.4454,1.2846,13.8906,0.1296,0.6952,1.1663,0.3874,22.3125,0.0
central-dt,9,552,9,0.05,0.4363,0.1084,0.3168,0.0334,0.2729,0.5991,7.5284,0.0488,0.4385,0.7049,0.1799,37.951,0.011
fixed-dt-sr,9,552,9,0.0485,0.4309,0.1069,0.3158,0.0321,0.274,0.5685,7.3061,0.0493,0.4257,0.6916,0.1429,38.5987,0.0385
fixed-dt-h,9,552,9,0.0496,0.393,0.1105,0.323,0.0331,0.2559,0.5485,5.8826,0.0487,0.4062,0.6616,0.1667,39.2384,0.1061
fixed-dt-xy,9,545,9,0.0374,0.3833,0.0988,0.3056,0.0261,0.2457,0.5057,6.4449,0.038,0.383,0.5749,0.0868,30.7556,0.0223
fixed-dt-u,9,552,9,0.0344,0.275,0.1074,0.3207,0.0246,0.1922,0.443,4.683,0.0334,0.3104,0.5221,0.0781,38.6692,0.0047
fixed-dt-xyu,9,545,9,0.0386,0.2823,0.0952,0.303,0.027,0.1976,0.7739,4.4197,0.0386,0.2863,0.5195,0.051,31.5245,0.0065
