arm,direction,fit_lam,fit_sel_ade,ade_all,n_all,ade_pre_onset,n_pre_onset,ade_straight_yaw,n_straight_yaw,ade_turn_yaw,n_turn_yaw,rfs,n_rater,rfs_cluster,rfs_lo,rfs_hi,floored,fit_n_fit,fit_sel_pre_ade,fit_epochs
ridge ego,0,3.162277660168379e-06,1.8219876289367676,1.8827033,52919,2.6355965,791,1.789302,23612,2.529912,5881,7.258364643465332,237,7.254880988516602,6.963521664670105,7.559028578928051,0.23628691983122363,,,
A ridge_late uniform,0,10.0,1.7818200588226318,1.8050988,52919,2.6081972,791,1.6639351,23612,2.4984813,5881,7.265223838559976,237,7.213518333991672,6.964697568908177,7.542990283249839,0.2489451476793249,53441.0,2.3395341175487876,
B ego:lin,0,10.0,3.1389230489730835,1.9019241,52919,2.6922405,791,1.7344689,23612,2.5669675,5881,7.016404196973022,237,6.965321189915248,6.704727007795447,7.293534844250847,0.25316455696202533,53441.0,2.369001916452973,
B ego:sq,0,10.0,5.141751170158386,2.3283305,52919,3.0311177,791,2.1507037,23612,2.9119911,5881,6.666866924154985,237,6.630955380695026,6.359390979329359,6.953395750361345,0.32489451476793246,53441.0,2.720662420747675,
B ego:a1,0,10.0,2.484360456466675,1.8350451,52919,2.6387618,791,1.679371,23612,2.5176642,5881,7.172391810099921,237,7.125387577764397,6.880028809457064,7.451279621352633,0.24472573839662448,53441.0,2.34000372322942,
B ego:a4,0,10.0,2.8838934898376465,1.8712761,52919,2.6681497,791,1.7081999,23612,2.5439422,5881,7.08575822571606,237,7.034063316222607,6.786277747736749,7.353304694992663,0.24472573839662448,53441.0,2.3539083212904206,
B ego:top25,0,1.0,3.4931501150131226,2.2963858,52919,3.0560718,791,2.1135623,23612,2.8744686,5881,6.166839498832672,237,6.06994082584567,5.889606354023347,6.435021106024216,0.3755274261603376,53441.0,2.6612785668300156,
B ctrv:lin,0,3.162277660168379,2.7030709981918335,1.9829297,52919,2.7013197,791,1.8301715,23612,2.5923784,5881,6.804347441212387,237,6.74901931415535,6.494097539384747,7.0866015441613905,0.29535864978902954,53441.0,2.363484686372675,
B ctrv:top25,0,3.162277660168379,2.9876034259796143,2.1281757,52919,2.8017113,791,1.9907254,23612,2.691033,5881,6.373182628711057,237,6.33255942477622,6.079377310809933,6.66215777299257,0.3291139240506329,53441.0,2.4428075119251997,
B cv:lin,0,3.162277660168379,2.7031713128089905,1.9865195,52919,2.6974626,791,1.8384155,23612,2.5894861,5881,6.732555698683093,237,6.672688087835189,6.432461578655007,7.019912177297666,0.28270042194092826,53441.0,2.33620120752836,
B cv:top25,0,3.162277660168379,2.9828720688819885,2.1303825,52919,2.780971,791,2.0017853,23612,2.677396,5881,6.3828138246798005,237,6.347242763670833,6.088055636153839,6.677248301102198,0.3206751054852321,53441.0,2.4237058424651208,
C pre_onset fit,0,31.622776601683796,2.292561650276184,2.10306,52919,2.5995193,791,2.032679,23612,2.5677001,5881,6.231175041609948,237,6.314626831869939,5.942663310809949,6.518808558702834,0.37130801687763715,719.0,2.292365062220206,
D mlp uniform,0,,1.9963361024856567,2.0222356,52919,2.883245,791,1.8378937,23612,2.7409153,5881,6.587009616465769,237,6.492416399336361,6.285418979231298,6.852937123704939,0.32489451476793246,,,1.0
D mlp ego:a1,0,,2.693394422531128,2.1882188,52919,3.0422277,791,2.02054,23612,2.8565123,5881,6.361891445243123,237,6.332279273508176,6.063373532328048,6.626918718314229,0.3459915611814346,,,1.0
ridge ego,1,3.162277660168379e-06,1.8517758548259735,1.8543527,53441,2.293307,719,1.8308797,22968,2.3943748,5179,7.111843987259308,242,7.140646656904467,6.839462919930987,7.419712494576508,0.24380165289256198,,,
A ridge_late uniform,1,10.0,1.80814927816391,1.8201015,53441,2.2506177,719,1.7593867,22968,2.3489738,5179,7.096235224610605,242,7.1736674863072825,6.813550910275558,7.390998571374063,0.256198347107438,52919.0,2.4375011960112793,
B ego:lin,1,3.162277660168379,3.047151565551758,1.9543661,53441,2.2768788,719,1.8745178,22968,2.3927634,5179,6.844458233416952,242,6.803155407923211,6.555661136724133,7.162946410374981,0.2727272727272727,52919.0,2.499291614093612,
B ego:sq,1,3.162277660168379,4.796644806861877,2.4045727,53441,2.5969112,719,2.3424625,22968,2.725739,5179,6.358198371594879,242,6.372067224946041,6.081354527482951,6.665121809466939,0.359504132231405,52919.0,2.839833448870595,
B ego:a1,1,3.162277660168379,2.4495925307273865,1.874323,53441,2.2472162,719,1.7985255,22968,2.3482387,5179,6.975673906461604,242,6.9646517680076085,6.682218189344654,7.285449971112468,0.2644628099173554,52919.0,2.4463578524390606,
B ego:a4,1,3.162277660168379,2.813761353492737,1.9200917,53441,2.2620711,719,1.8413273,22968,2.3718464,5179,6.8934612968279545,242,6.856411274564126,6.596275128066649,7.212153952483938,0.2644628099173554,52919.0,2.475570427934379,
B ego:top25,1,1.0,3.5171276926994324,2.1728208,53441,2.5171201,719,2.0955184,22968,2.59357,5179,6.424033394971595,242,6.42310398967832,6.141196411440205,6.735635993874036,0.34710743801652894,52919.0,2.677527194981629,
B ctrv:lin,1,3.162277660168379,2.607640564441681,1.9366333,53441,2.2482805,719,1.8510696,22968,2.389053,5179,6.887066073722488,242,6.874235888420121,6.590909785729879,7.197916820000925,0.2644628099173554,52919.0,2.4737440415489687,
B ctrv:top25,1,3.162277660168379,2.92376571893692,2.045869,53441,2.3042152,719,1.9670023,22968,2.4973938,5179,6.602808783095012,242,6.604645258501438,6.299030460639134,6.927042822999979,0.3181818181818182,52919.0,2.5121386657020386,
B cv:lin,1,3.162277660168379,2.6269848942756653,1.9524343,53441,2.254676,719,1.869651,22968,2.387509,5179,6.781626698267637,242,6.767530128947965,6.487024294377612,7.09136762299003,0.2809917355371901,52919.0,2.4879725247659215,
B cv:top25,1,3.162277660168379,2.9493854641914368,2.0664968,53441,2.3206253,719,1.9911551,22968,2.4861374,5179,6.520595328077909,242,6.486972646714868,6.223794207998119,6.8462887887894075,0.3140495867768595,52919.0,2.5601204776884483,
C pre_onset fit,1,1000.0,2.4778281450271606,1.9705487,53441,2.2131588,719,1.9317694,22968,2.3777325,5179,7.0416682432953674,242,7.072840995906726,6.767602080106918,7.352779690082323,0.25206611570247933,791.0,2.4775828905262327,
D mlp uniform,1,,1.9714667797088623,1.9848144,53441,2.3227735,719,1.896796,22968,2.4319422,5179,6.604331520878514,242,6.624755208414254,6.322331350578258,6.932501618150535,0.3305785123966942,,,1.0
D mlp ego:a1,1,,2.570589780807495,2.172947,53441,2.5587628,719,2.0723403,22968,2.5901852,5179,6.47974846862115,242,6.42102660204903,6.218914275255265,6.784128348429636,0.3181818181818182,,,1.0
