direction,scheme,arm,eff_n,lam,sel_ade,n_fit,sel_pre_ade
0,uniform,A ridge_late uniform,53441.0,10.0,1.7818200588226318,53441,2.3395341175487876
0,ego:lin,B ego:lin,29512.256878066997,10.0,3.1389230489730835,53441,2.369001916452973
0,ego:sq,B ego:sq,6782.922179278851,10.0,5.141751170158386,53441,2.720662420747675
0,ego:a1,B ego:a1,44434.12389931274,10.0,2.484360456466675,53441,2.34000372322942
0,ego:a4,B ego:a4,35183.63881981938,10.0,2.8838934898376465,53441,2.3539083212904206
0,ego:top25,B ego:top25,13361.00004210487,1.0,3.4931501150131226,53441,2.6612785668300156
0,ctrv:lin,B ctrv:lin,26467.720801024938,3.162277660168379,2.7030709981918335,53441,2.363484686372675
0,ctrv:top25,B ctrv:top25,13361.001018777091,3.162277660168379,2.9876034259796143,53441,2.4428075119251997
0,cv:lin,B cv:lin,26598.71384805407,3.162277660168379,2.7031713128089905,53441,2.33620120752836
0,cv:top25,B cv:top25,13361.001018777091,3.162277660168379,2.9828720688819885,53441,2.4237058424651208
1,uniform,A ridge_late uniform,52919.0,10.0,1.80814927816391,52919,2.4375011960112793
1,ego:lin,B ego:lin,30337.261927232143,3.162277660168379,3.047151565551758,52919,2.499291614093612
1,ego:sq,B ego:sq,7865.489602524162,3.162277660168379,4.796644806861877,52919,2.839833448870595
1,ego:a1,B ego:a1,44616.38154968979,3.162277660168379,2.4495925307273865,52919,2.4463578524390606
1,ego:a4,B ego:a4,35843.5515753145,3.162277660168379,2.813761353492737,52919,2.475570427934379
1,ego:top25,B ego:top25,13230.00000472429,1.0,3.5171276926994324,52919,2.677527194981629
1,ctrv:lin,B ctrv:lin,28258.135868111083,3.162277660168379,2.607640564441681,52919,2.4737440415489687
1,ctrv:top25,B ctrv:top25,13229.998051562454,3.162277660168379,2.92376571893692,52919,2.5121386657020386
1,cv:lin,B cv:lin,28230.881947739126,3.162277660168379,2.6269848942756653,52919,2.4879725247659215
1,cv:top25,B cv:top25,13229.999028124954,3.162277660168379,2.9493854641914368,52919,2.5601204776884483
