clip,config,sample,ade64,ade40,fde40
030c760c-ae38-49aa-9ad8-f5650a545d26,native,0,1.1172136,0.27269736,1.0865908
030c760c-ae38-49aa-9ad8-f5650a545d26,native,1,0.8718043,0.4149521,1.0745256
030c760c-ae38-49aa-9ad8-f5650a545d26,native,2,1.0786281,0.34798425,1.199614
030c760c-ae38-49aa-9ad8-f5650a545d26,native,3,3.9129677,1.590409,4.911038
030c760c-ae38-49aa-9ad8-f5650a545d26,native,4,2.4189134,0.6837482,2.6089494
030c760c-ae38-49aa-9ad8-f5650a545d26,native,5,2.0038326,0.448193,1.9794804
030c760c-ae38-49aa-9ad8-f5650a545d26,native+ego2hz,0,1.1763623,0.31600928,1.1736243
030c760c-ae38-49aa-9ad8-f5650a545d26,native+ego2hz,1,0.7704581,0.35428798,0.94644904
030c760c-ae38-49aa-9ad8-f5650a545d26,native+ego2hz,2,1.1422731,0.39259624,1.2796162
030c760c-ae38-49aa-9ad8-f5650a545d26,native+ego2hz,3,3.9999132,1.6536295,5.022768
030c760c-ae38-49aa-9ad8-f5650a545d26,native+ego2hz,4,2.4740932,0.73261815,2.6852283
030c760c-ae38-49aa-9ad8-f5650a545d26,native+ego2hz,5,2.0638056,0.49352232,2.066438
030c760c-ae38-49aa-9ad8-f5650a545d26,repeat,0,0.3119167,0.13639545,0.47459432
030c760c-ae38-49aa-9ad8-f5650a545d26,repeat,1,1.0097399,0.27200714,0.60910994
030c760c-ae38-49aa-9ad8-f5650a545d26,repeat,2,1.7665379,0.22410259,0.6915762
030c760c-ae38-49aa-9ad8-f5650a545d26,repeat,3,0.46536204,0.128628,0.41249982
030c760c-ae38-49aa-9ad8-f5650a545d26,repeat,4,0.2694289,0.14623019,0.37245414
030c760c-ae38-49aa-9ad8-f5650a545d26,repeat,5,2.3953736,0.33765948,1.5906777
030c760c-ae38-49aa-9ad8-f5650a545d26,2hz,0,0.8432449,0.1538372,0.7091128
030c760c-ae38-49aa-9ad8-f5650a545d26,2hz,1,2.4383416,1.08055,3.0092506
030c760c-ae38-49aa-9ad8-f5650a545d26,2hz,2,0.6202488,0.160104,0.60256696
030c760c-ae38-49aa-9ad8-f5650a545d26,2hz,3,4.365459,1.7641659,5.49379
030c760c-ae38-49aa-9ad8-f5650a545d26,2hz,4,2.411406,0.64666116,2.5564578
030c760c-ae38-49aa-9ad8-f5650a545d26,2hz,5,1.91832,0.3654001,1.7844497
030c760c-ae38-49aa-9ad8-f5650a545d26,native+rt,0,0.91542983,0.21472025,0.8466354
030c760c-ae38-49aa-9ad8-f5650a545d26,native+rt,1,1.2828531,0.6262397,1.61091
030c760c-ae38-49aa-9ad8-f5650a545d26,native+rt,2,0.89830005,0.28088728,0.97984105
030c760c-ae38-49aa-9ad8-f5650a545d26,native+rt,3,3.955575,1.6429608,4.986789
030c760c-ae38-49aa-9ad8-f5650a545d26,native+rt,4,2.285246,0.6490337,2.4157588
030c760c-ae38-49aa-9ad8-f5650a545d26,native+rt,5,1.7402267,0.35407418,1.637154
030c760c-ae38-49aa-9ad8-f5650a545d26,repeat+rt+ego2hz,0,0.39411333,0.12427106,0.41056097
030c760c-ae38-49aa-9ad8-f5650a545d26,repeat+rt+ego2hz,1,1.3442464,0.17863765,0.6194377
030c760c-ae38-49aa-9ad8-f5650a545d26,repeat+rt+ego2hz,2,1.9574022,0.26596612,1.0653236
030c760c-ae38-49aa-9ad8-f5650a545d26,repeat+rt+ego2hz,3,0.5341813,0.11051758,0.40517488
030c760c-ae38-49aa-9ad8-f5650a545d26,repeat+rt+ego2hz,4,0.35000268,0.2046783,0.5653971
030c760c-ae38-49aa-9ad8-f5650a545d26,repeat+rt+ego2hz,5,2.379923,0.38788003,1.7075602
030c760c-ae38-49aa-9ad8-f5650a545d26,2hz+rt+ego2hz,0,0.9140681,0.23555179,0.8635045
030c760c-ae38-49aa-9ad8-f5650a545d26,2hz+rt+ego2hz,1,2.6169474,1.1096274,3.2029247
030c760c-ae38-49aa-9ad8-f5650a545d26,2hz+rt+ego2hz,2,1.0522581,0.3819707,1.180471
030c760c-ae38-49aa-9ad8-f5650a545d26,2hz+rt+ego2hz,3,5.479474,2.353996,6.965196
030c760c-ae38-49aa-9ad8-f5650a545d26,2hz+rt+ego2hz,4,3.0735857,0.98162556,3.2927704
030c760c-ae38-49aa-9ad8-f5650a545d26,2hz+rt+ego2hz,5,2.0348978,0.4310205,1.9179617
75235a25-5d0f-40ad-90e1-37d2354150e8,native,0,0.66603494,0.33572945,0.87376106
75235a25-5d0f-40ad-90e1-37d2354150e8,native,1,3.2296147,1.4205806,3.9545557
75235a25-5d0f-40ad-90e1-37d2354150e8,native,2,0.60954833,0.24827676,0.7314387
75235a25-5d0f-40ad-90e1-37d2354150e8,native,3,2.2878737,0.99096185,3.0108173
75235a25-5d0f-40ad-90e1-37d2354150e8,native,4,0.79651886,0.2345305,0.8751003
75235a25-5d0f-40ad-90e1-37d2354150e8,native,5,0.2936682,0.25819412,0.38478732
75235a25-5d0f-40ad-90e1-37d2354150e8,native+ego2hz,0,0.88989925,0.4674279,1.1570001
75235a25-5d0f-40ad-90e1-37d2354150e8,native+ego2hz,1,3.6393933,1.6441696,4.476017
75235a25-5d0f-40ad-90e1-37d2354150e8,native+ego2hz,2,0.83379924,0.37794432,1.0177501
75235a25-5d0f-40ad-90e1-37d2354150e8,native+ego2hz,3,2.1292348,0.88811386,2.800697
75235a25-5d0f-40ad-90e1-37d2354150e8,native+ego2hz,4,0.62611175,0.13428289,0.64996433
75235a25-5d0f-40ad-90e1-37d2354150e8,native+ego2hz,5,0.41346157,0.39406365,0.6539969
