metric,a,b,command,n,a_mean,b_mean,diff,ci_lo,ci_hi
PDMS,alpamayo_nav,alpamayo_nonav,all,3000,41.36,41.88,-0.52,-2.10,0.98
PDMS,alpamayo_nav,alpamayo_nonav,left,1000,37.39,40.22,-2.83,-5.54,-0.13
PDMS,alpamayo_nav,alpamayo_nonav,straight,1000,44.69,43.47,1.21,-1.49,4.07
PDMS,alpamayo_nav,alpamayo_nonav,right,1000,41.99,41.94,0.05,-2.47,2.76
PDMS,alpamayo_nav,lebowski_none,all,12146,44.28,50.89,-6.61,-7.64,-5.60
PDMS,alpamayo_nav,lebowski_none,left,2501,39.72,47.44,-7.72,-9.87,-5.47
PDMS,alpamayo_nav,lebowski_none,straight,8070,46.37,51.37,-5.00,-6.25,-3.77
PDMS,alpamayo_nav,lebowski_none,right,1575,40.84,53.95,-13.11,-15.91,-10.56
PDMS,lebowski_cmd,lebowski_none,all,12146,49.36,50.89,-1.53,-1.94,-1.14
PDMS,lebowski_cmd,lebowski_none,left,2501,44.13,47.44,-3.31,-4.75,-1.98
PDMS,lebowski_cmd,lebowski_none,straight,8070,50.84,51.37,-0.52,-0.77,-0.28
PDMS,lebowski_cmd,lebowski_none,right,1575,50.08,53.95,-3.87,-5.56,-2.23
PDMS,cinque_cmd,cinque_none,all,12146,50.65,52.07,-1.42,-1.86,-0.96
PDMS,cinque_cmd,cinque_none,left,2501,35.85,38.08,-2.23,-3.76,-0.65
PDMS,cinque_cmd,cinque_none,straight,8070,55.80,57.09,-1.29,-1.59,-1.01
PDMS,cinque_cmd,cinque_none,right,1575,47.78,48.57,-0.79,-2.58,1.06
PDMS,small_cmd,small_none,all,12146,42.34,47.34,-5.00,-5.58,-4.44
PDMS,small_cmd,small_none,left,2501,32.46,46.14,-13.68,-15.63,-11.76
PDMS,small_cmd,small_none,straight,8070,45.13,47.49,-2.36,-2.76,-2.00
PDMS,small_cmd,small_none,right,1575,43.76,48.51,-4.75,-7.23,-2.34
PDMS,alpamayo_nav,cv,all,12146,44.28,20.65,23.63,22.89,24.31
PDMS,alpamayo_nav,cv,left,2501,39.72,18.68,21.04,19.51,22.66
PDMS,alpamayo_nav,cv,straight,8070,46.37,21.03,25.34,24.41,26.24
PDMS,alpamayo_nav,cv,right,1575,40.84,21.86,18.98,17.09,20.84
EPDMS,alpamayo_nav,alpamayo_nonav,all,3000,39.57,41.57,-2.00,-3.54,-0.62
EPDMS,alpamayo_nav,alpamayo_nonav,left,1000,35.61,39.37,-3.76,-6.29,-1.24
EPDMS,alpamayo_nav,alpamayo_nonav,straight,1000,44.27,46.54,-2.27,-5.15,0.83
EPDMS,alpamayo_nav,alpamayo_nonav,right,1000,38.84,38.81,0.03,-2.19,2.40
EPDMS,alpamayo_nav,lebowski_none,all,12146,43.17,45.47,-2.30,-3.24,-1.38
EPDMS,alpamayo_nav,lebowski_none,left,2501,37.39,39.48,-2.09,-3.95,-0.13
EPDMS,alpamayo_nav,lebowski_none,straight,8070,46.03,47.45,-1.42,-2.64,-0.23
EPDMS,alpamayo_nav,lebowski_none,right,1575,37.70,44.87,-7.18,-9.60,-4.81
EPDMS,lebowski_cmd,lebowski_none,all,12146,44.28,45.47,-1.20,-1.54,-0.87
EPDMS,lebowski_cmd,lebowski_none,left,2501,36.91,39.48,-2.57,-3.80,-1.44
EPDMS,lebowski_cmd,lebowski_none,straight,8070,46.97,47.45,-0.48,-0.70,-0.26
EPDMS,lebowski_cmd,lebowski_none,right,1575,42.16,44.87,-2.72,-4.16,-1.24
EPDMS,cinque_cmd,cinque_none,all,12146,45.16,46.16,-0.99,-1.35,-0.63
EPDMS,cinque_cmd,cinque_none,left,2501,28.48,29.61,-1.13,-2.30,0.08
EPDMS,cinque_cmd,cinque_none,straight,8070,51.41,52.57,-1.16,-1.43,-0.91
EPDMS,cinque_cmd,cinque_none,right,1575,39.67,39.58,0.09,-1.54,1.72
EPDMS,small_cmd,small_none,all,12146,39.13,42.52,-3.39,-3.89,-2.91
EPDMS,small_cmd,small_none,left,2501,28.97,37.50,-8.52,-10.14,-6.95
EPDMS,small_cmd,small_none,straight,8070,42.01,44.26,-2.25,-2.60,-1.91
EPDMS,small_cmd,small_none,right,1575,40.48,41.59,-1.11,-3.14,0.88
EPDMS,alpamayo_nav,cv,all,12146,43.17,25.88,17.29,16.53,18.02
EPDMS,alpamayo_nav,cv,left,2501,37.39,20.51,16.89,15.42,18.43
EPDMS,alpamayo_nav,cv,straight,8070,46.03,28.09,17.94,16.89,18.90
EPDMS,alpamayo_nav,cv,right,1575,37.70,23.08,14.61,12.78,16.39
