metric,model,variant,n,n_valid,score,ci_lo,ci_hi,NC,DAC,EP,TTC,C,DDC,TLC,LK,HC,EC
PDMS,human (log),,12146,12146,94.55,94.45,94.65,100.00,100.00,86.96,100.00,99.90,,,,,
PDMS,constant velocity,,12146,12146,20.65,20.13,21.16,68.02,57.84,19.44,50.03,100.00,,,,,
PDMS,Alpamayo 1.5,nav,12146,12146,44.28,43.53,45.03,76.78,70.65,42.56,62.63,96.03,,,,,
PDMS,Alpamayo 1.5,no-nav,3000,3000,41.88,40.32,43.46,81.35,63.93,38.74,65.90,95.87,,,,,
PDMS,openpilot Lebowski,none,12146,12146,50.89,50.15,51.63,78.54,79.11,49.66,71.13,63.32,,,,,
PDMS,openpilot Lebowski,cmd,12146,12146,49.36,48.59,50.13,78.12,76.89,47.47,70.83,65.03,,,,,
PDMS,openpilot Cinque v3,none,12146,12146,52.07,51.28,52.85,78.37,75.74,55.68,67.82,68.81,,,,,
PDMS,openpilot Cinque v3,cmd,12146,12146,50.65,49.84,51.44,77.94,74.12,54.21,67.31,68.92,,,,,
PDMS,openpilot small,none,12146,12146,47.35,46.57,48.18,70.95,79.49,51.13,61.61,58.08,,,,,
PDMS,openpilot small,cmd,12146,12146,42.34,41.58,43.15,69.65,72.80,44.84,60.08,64.60,,,,,
EPDMS,human (log),,12146,12146,94.51,94.39,94.63,100.00,100.00,87.42,100.00,,99.82,100.00,100.00,98.07,90.08
EPDMS,constant velocity,,12146,12146,25.88,25.16,26.57,68.06,57.84,77.75,66.89,,84.23,98.10,82.67,97.87,55.34
EPDMS,Alpamayo 1.5,nav,12146,12146,43.17,42.40,43.92,76.81,70.65,84.84,73.22,,86.27,98.26,85.39,91.02,32.68
EPDMS,Alpamayo 1.5,no-nav,3000,3000,41.57,40.15,43.21,81.38,63.93,81.63,76.67,,82.17,98.40,83.53,88.50,29.70
EPDMS,openpilot Lebowski,none,12146,12146,45.48,44.73,46.17,78.64,79.11,85.47,77.57,,87.18,97.37,87.60,52.43,12.28
EPDMS,openpilot Lebowski,cmd,12146,12146,44.28,43.56,44.98,78.21,76.89,84.96,77.24,,86.08,97.41,86.83,54.04,12.38
EPDMS,openpilot Cinque v3,none,12146,12146,46.16,45.42,46.90,78.44,75.74,95.24,75.17,,85.13,96.94,89.56,52.49,9.99
EPDMS,openpilot Cinque v3,cmd,12146,12146,45.16,44.44,45.91,78.01,74.12,95.07,74.56,,84.05,97.01,88.42,52.31,9.98
EPDMS,openpilot small,none,12146,12146,42.52,41.77,43.28,70.99,79.49,94.98,68.29,,88.98,95.60,91.24,45.25,12.11
EPDMS,openpilot small,cmd,12146,12146,39.13,38.40,39.90,69.69,72.80,93.07,66.95,,84.27,95.93,88.06,55.55,13.51
