base_id,scenario,seed,mode_x10,mode_x11,t_lat_x10,t_lat_x11,v_x10_at_tlat,v_x11_at_tlat,lat_delay_s
1825,ConstructionObstacleTwoWays,0,bypass_L,stop,119.0,,10.439,0.015,
1825,ConstructionObstacleTwoWays,1,bypass_L,stop,120.0,,10.344,0.009,
1825,ConstructionObstacleTwoWays,2,bypass_L,stop,118.0,,10.19,3.579,
1833,ConstructionObstacleTwoWays,0,bypass_L,stop,136.0,,10.729,3.655,
1833,ConstructionObstacleTwoWays,1,bypass_L,stop,132.0,,10.222,0.002,
1833,ConstructionObstacleTwoWays,2,bypass_L,stop,136.0,,10.425,1.268,
1852,AccidentTwoWays,0,bypass_L,stop,145.0,,10.297,0.872,
1852,AccidentTwoWays,1,bypass_L,stop,143.0,,10.285,0.009,
1852,AccidentTwoWays,2,bypass_L,stop,143.0,,10.163,3.49,
2606,ConstructionObstacleTwoWays,0,bypass_L,stop,132.0,,10.861,0.393,
2606,ConstructionObstacleTwoWays,1,bypass_L,stop,130.0,,10.362,0.877,
2606,ConstructionObstacleTwoWays,2,bypass_L,stop,131.0,,10.267,0.551,
2643,AccidentTwoWays,0,bypass_L,wait_then_bypass_L,134.0,209.0,10.332,3.16,3.75
2643,AccidentTwoWays,1,bypass_L,wait_then_bypass_L,135.0,803.0,10.44,3.72,33.4
2643,AccidentTwoWays,2,bypass_L,wait_then_bypass_L,134.0,722.0,10.3,3.661,29.4
2664,ParkedObstacleTwoWays,0,bypass_L,bypass_L,134.0,149.0,11.007,6.318,0.75
2664,ParkedObstacleTwoWays,1,bypass_L,wait_then_bypass_L,136.0,271.0,10.857,3.57,6.75
2664,ParkedObstacleTwoWays,2,bypass_L,bypass_L,136.0,171.0,10.554,3.918,1.75
2668,ParkedObstacleTwoWays,0,bypass_L,wait_then_bypass_L,134.0,225.0,11.393,0.185,4.55
2668,ParkedObstacleTwoWays,1,bypass_L,bypass_L,129.0,133.0,11.647,9.437,0.2
2668,ParkedObstacleTwoWays,2,bypass_L,bypass_L,131.0,132.0,11.454,10.517,0.05
3410,AccidentTwoWays,0,bypass_L,stop,141.0,,11.098,2.549,
3410,AccidentTwoWays,1,bypass_L,stop,130.0,,10.715,8.171,
3410,AccidentTwoWays,2,bypass_L,stop,124.0,,10.684,0.03,
3436,HazardAtSideLaneTwoWays,0,bypass_L,bypass_L,180.0,539.0,5.431,5.26,17.95
3436,HazardAtSideLaneTwoWays,1,bypass_L,bypass_L,157.0,583.0,5.565,3.742,21.3
3436,HazardAtSideLaneTwoWays,2,bypass_L,bypass_L,153.0,536.0,5.677,2.866,19.15
3457,ParkedObstacleTwoWays,0,bypass_L,wait_then_bypass_L,154.0,283.0,10.854,3.167,6.45
3457,ParkedObstacleTwoWays,1,bypass_L,wait_then_bypass_L,132.0,269.0,10.704,1.745,6.85
3457,ParkedObstacleTwoWays,2,bypass_L,bypass_L,129.0,193.0,10.772,0.506,3.2
3464,VehicleOpensDoorTwoWays,0,bypass_L,wait_then_bypass_L,154.0,265.0,11.155,3.634,5.55
3464,VehicleOpensDoorTwoWays,1,bypass_L,wait_then_bypass_L,128.0,266.0,11.372,1.907,6.9
3464,VehicleOpensDoorTwoWays,2,bypass_L,bypass_L,127.0,170.0,10.775,2.447,2.15
3472,VehicleOpensDoorTwoWays,0,bypass_L,bypass_L,160.0,160.0,11.618,11.004,0.0
3472,VehicleOpensDoorTwoWays,1,bypass_L,wait_then_bypass_L,151.0,269.0,11.56,0.58,5.9
3472,VehicleOpensDoorTwoWays,2,bypass_L,bypass_L,143.0,180.0,11.604,3.217,1.85
3476,VehicleOpensDoorTwoWays,0,bypass_L,stop,129.0,,9.166,0.012,
3476,VehicleOpensDoorTwoWays,1,stop,stop,,,,,
3476,VehicleOpensDoorTwoWays,2,stop,stop,,,,,
3482,VehicleOpensDoorTwoWays,0,stop,stop,,,,,
3482,VehicleOpensDoorTwoWays,1,stop,stop,,,,,
3482,VehicleOpensDoorTwoWays,2,stop,stop,,,,,
20920,ConstructionObstacleTwoWays,0,bypass_L,wait_then_bypass_L,124.0,290.0,10.428,0.192,8.3
20920,ConstructionObstacleTwoWays,1,bypass_L,stop,120.0,,10.492,0.328,
20920,ConstructionObstacleTwoWays,2,bypass_L,stop,121.0,,10.401,3.052,
24258,HazardAtSideLaneTwoWays,0,bypass_L,bypass_L,139.0,560.0,7.103,8.602,21.05
24258,HazardAtSideLaneTwoWays,1,bypass_L,bypass_L,139.0,606.0,7.165,6.587,23.35
24258,HazardAtSideLaneTwoWays,2,bypass_L,bypass_L,137.0,562.0,7.187,6.483,21.25
25424,ConstructionObstacleTwoWays,0,bypass_L,wait_then_bypass_L,132.0,214.0,10.31,2.908,4.1
25424,ConstructionObstacleTwoWays,1,bypass_L,wait_then_bypass_L,143.0,808.0,10.654,3.667,33.25
25424,ConstructionObstacleTwoWays,2,bypass_L,wait_then_bypass_L,143.0,474.0,10.285,3.844,16.55
25845,AccidentTwoWays,0,bypass_L,stop,138.0,,10.057,3.074,
25845,AccidentTwoWays,1,bypass_L,stop,129.0,,10.117,3.194,
