base_id,scenario,cls,seed,t_trig,t_vis,t_div,t_last,t_div_lat,smoke1_frames,smoke1_keep,max_d_x00_in_window,reason
1773,ParkedObstacle,1W,0,49,5.0,73,304,130.0,8,8,0.0,ok
1773,ParkedObstacle,1W,1,49,5.0,80,306,119.0,9,9,0.001,ok
1773,ParkedObstacle,1W,2,49,5.0,70,300,174.0,15,15,0.001,ok
1790,HazardAtSideLane,1W,0,61,5.0,73,260,158.0,0,0,,ok
1790,HazardAtSideLane,1W,1,61,5.0,74,261,147.0,28,28,0.001,ok
1790,HazardAtSideLane,1W,2,61,5.0,73,261,252.0,1,1,0.001,ok
1792,HazardAtSideLane,1W,0,45,5.0,78,207,104.0,21,21,0.002,ok
1792,HazardAtSideLane,1W,1,45,5.0,70,205,101.0,23,23,0.001,ok
1792,HazardAtSideLane,1W,2,49,5.0,94,239,120.0,28,28,0.001,ok
1825,ConstructionObstacleTwoWays,2W,0,45,45.0,61,271,118.0,10,10,0.001,ok
1825,ConstructionObstacleTwoWays,2W,1,45,45.0,60,272,118.0,9,9,0.001,ok
1825,ConstructionObstacleTwoWays,2W,2,45,45.0,56,271,117.0,10,10,0.001,ok
1833,ConstructionObstacleTwoWays,2W,0,57,5.0,79,279,135.0,9,9,0.0,ok
1833,ConstructionObstacleTwoWays,2W,1,57,5.0,66,276,130.0,9,9,0.0,ok
1833,ConstructionObstacleTwoWays,2W,2,57,5.0,79,279,135.0,9,9,0.001,ok
1852,AccidentTwoWays,2W,0,57,5.0,73,289,144.0,10,10,0.001,ok
1852,AccidentTwoWays,2W,1,57,5.0,67,284,141.0,10,10,0.001,ok
1852,AccidentTwoWays,2W,2,53,5.0,71,286,142.0,9,9,0.001,ok
2509,ConstructionObstacle,1W,0,49,5.0,72,170,94.0,0,0,,ok
2509,ConstructionObstacle,1W,1,49,5.0,72,172,170.0,0,0,,ok
2509,ConstructionObstacle,1W,2,53,5.0,67,187,177.0,0,0,,ok
2513,ConstructionObstacle,1W,0,65,5.0,84,292,186.0,17,17,0.001,ok
2513,ConstructionObstacle,1W,1,65,5.0,82,292,128.0,17,17,0.002,ok
2513,ConstructionObstacle,1W,2,65,5.0,88,292,135.0,17,17,0.001,ok
2534,Accident,1W,0,49,5.0,65,246,173.0,17,17,0.001,ok
2534,Accident,1W,1,49,5.0,73,243,130.0,22,22,0.001,ok
