base_id,scenario,cls,seed,world,rid,mode,t_lat,max_abs_d,d_at_max,t_first_stop,v_min,k0,stop,ticks,registry_dropped,registry_kept,oncoming_in_window
1773,ParkedObstacle,1W,0,x10,177310,bypass_L,131.0,3.119,3.119,,0.0,5,route_end,318,,ParkedObstacle,
1773,ParkedObstacle,1W,0,x00,177320,keep,,0.001,-0.001,,0.0,5,route_end,304,ParkedObstacle,,
1773,ParkedObstacle,1W,0,wnull,177330,bypass_L,131.0,3.119,3.119,,0.0,5,route_end,318,,ParkedObstacle,
1773,ParkedObstacle,1W,0,shoulder,177360,keep,,0.001,-0.001,,0.0,5,route_end,304,ParkedObstacle,,
1773,ParkedObstacle,1W,1,x10,177311,bypass_L,120.0,3.09,3.09,,0.0,5,route_end,319,,ParkedObstacle,
1773,ParkedObstacle,1W,1,x00,177321,keep,,0.001,-0.001,,0.0,5,route_end,306,ParkedObstacle,,
1773,ParkedObstacle,1W,2,x10,177312,wait_then_bypass_L,177.0,3.12,3.12,123.0,0.0,5,route_end,400,,ParkedObstacle,
1773,ParkedObstacle,1W,2,x00,177322,keep,,0.002,0.002,,0.0,5,route_end,300,ParkedObstacle,,
1790,HazardAtSideLane,1W,0,x10,179010,bypass_L,161.0,3.252,3.252,164.0,0.0,5,route_end,395,,HazardAtSideLane,
1790,HazardAtSideLane,1W,0,x00,179020,keep,,0.001,-0.001,,0.0,5,route_end,260,HazardAtSideLane,,
1790,HazardAtSideLane,1W,0,wnull,179030,bypass_L,162.0,3.252,3.252,164.0,0.0,5,route_end,395,,HazardAtSideLane,
1790,HazardAtSideLane,1W,0,shoulder,179060,keep,,0.002,0.002,,0.0,5,route_end,526,HazardAtSideLane,,
1790,HazardAtSideLane,1W,1,x10,179011,bypass_L,149.0,3.25,3.25,,0.0,5,route_end,286,,HazardAtSideLane,
1790,HazardAtSideLane,1W,1,x00,179021,keep,,0.001,-0.001,,0.0,5,route_end,261,HazardAtSideLane,,
1790,HazardAtSideLane,1W,2,x10,179012,wait_then_bypass_L,256.0,3.25,3.25,157.0,0.0,5,route_end,401,,HazardAtSideLane,
1790,HazardAtSideLane,1W,2,x00,179022,keep,,0.001,-0.001,,0.0,5,route_end,261,HazardAtSideLane,,
1792,HazardAtSideLane,1W,0,x10,179210,bypass_L,105.0,3.499,3.499,,0.001,5,route_end,236,,HazardAtSideLane,
1792,HazardAtSideLane,1W,0,x00,179220,keep,,0.004,0.004,,0.001,5,route_end,207,HazardAtSideLane,,
1792,HazardAtSideLane,1W,0,wnull,179230,bypass_L,105.0,3.499,3.499,,0.001,5,route_end,236,,HazardAtSideLane,
1792,HazardAtSideLane,1W,0,shoulder,179260,keep,,0.004,0.004,,0.001,5,after_trigger,845,HazardAtSideLane,,
1792,HazardAtSideLane,1W,1,x10,179211,bypass_L,103.0,3.499,3.499,,0.001,5,route_end,241,,HazardAtSideLane,
1792,HazardAtSideLane,1W,1,x00,179221,keep,,0.004,0.004,,0.001,5,route_end,205,HazardAtSideLane,,
1792,HazardAtSideLane,1W,2,x10,179212,bypass_L,122.0,3.5,3.5,131.0,0.0,5,route_end,296,,HazardAtSideLane,
1792,HazardAtSideLane,1W,2,x00,179222,keep,,0.004,0.004,,0.001,5,route_end,239,HazardAtSideLane,,
1825,ConstructionObstacleTwoWays,2W,0,x10,182510,bypass_L,119.0,3.243,3.243,,7.275,45,route_end,271,,ConstructionObstacleTwoWays,0.0
