model,read_s,set,bin,n_targets,median_abs_dlat3,median_dlat3_left,median_dlat3_right,p90_abs_dlat3,dir_correct,verdict
cinque,0.0,carla_p5v1_ba,5-10,150,0.554,0.761,-0.276,1.202,0.997,openpilot 不按 desire 变道
cinque,0.0,carla_p5v1_ba,10-15,1,0.884,1.566,-0.203,1.43,1.0,之间
cinque,0.0,carla_p5v1_ba,>15,0,,,,,,
cinque,0.0,carla_p5v1_pdm,5-10,150,0.67,0.883,-0.301,1.255,1.0,openpilot 不按 desire 变道
cinque,0.0,carla_p5v1_pdm,10-15,98,0.923,0.909,-0.954,1.515,1.0,之间
cinque,0.0,carla_p5v1_pdm,>15,2,1.518,0.838,-2.203,2.214,1.0,执行器可用
cinque,0.0,pooled,5-10,300,0.606,0.823,-0.287,1.223,0.998,openpilot 不按 desire 变道
cinque,0.0,pooled,10-15,99,0.923,0.91,-0.946,1.525,1.0,之间
cinque,0.0,pooled,>15,2,1.518,0.838,-2.203,2.214,1.0,执行器可用
cinque,0.2,carla_p5v1_ba,5-10,150,0.441,0.653,-0.195,1.172,1.0,openpilot 不按 desire 变道
cinque,0.2,carla_p5v1_ba,10-15,1,1.105,1.985,-0.224,1.809,1.0,之间
cinque,0.2,carla_p5v1_ba,>15,0,,,,,,
cinque,0.2,carla_p5v1_pdm,5-10,150,0.55,0.764,-0.224,1.199,1.0,openpilot 不按 desire 变道
cinque,0.2,carla_p5v1_pdm,10-15,98,0.707,0.783,-0.573,1.305,1.0,openpilot 不按 desire 变道
cinque,0.2,carla_p5v1_pdm,>15,2,1.381,0.794,-1.905,1.908,1.0,之间
cinque,0.2,pooled,5-10,300,0.492,0.735,-0.2,1.181,1.0,openpilot 不按 desire 变道
cinque,0.2,pooled,10-15,99,0.707,0.786,-0.57,1.309,1.0,openpilot 不按 desire 变道
cinque,0.2,pooled,>15,2,1.381,0.794,-1.905,1.908,1.0,之间
cinque,1.0,carla_p5v1_ba,5-10,150,0.19,0.399,-0.056,0.801,1.0,openpilot 不按 desire 变道
cinque,1.0,carla_p5v1_ba,10-15,1,0.607,1.182,-0.032,1.067,1.0,openpilot 不按 desire 变道
cinque,1.0,carla_p5v1_ba,>15,0,,,,,,
cinque,1.0,carla_p5v1_pdm,5-10,150,0.211,0.428,-0.056,0.897,1.0,openpilot 不按 desire 变道
cinque,1.0,carla_p5v1_pdm,10-15,98,0.381,0.658,-0.117,0.997,1.0,openpilot 不按 desire 变道
cinque,1.0,carla_p5v1_pdm,>15,2,1.073,1.002,-1.11,1.195,1.0,之间
cinque,1.0,pooled,5-10,300,0.199,0.413,-0.056,0.846,1.0,openpilot 不按 desire 变道
cinque,1.0,pooled,10-15,99,0.381,0.665,-0.115,1.003,1.0,openpilot 不按 desire 变道
cinque,1.0,pooled,>15,2,1.073,1.002,-1.11,1.195,1.0,之间
lebowski,0.0,carla_p5v1_ba,5-10,150,0.577,0.633,-0.503,0.89,1.0,openpilot 不按 desire 变道
lebowski,0.0,carla_p5v1_ba,10-15,1,1.009,1.019,-1.0,1.017,1.0,之间
lebowski,0.0,carla_p5v1_ba,>15,0,,,,,,
lebowski,0.0,carla_p5v1_pdm,5-10,150,0.776,0.841,-0.719,1.245,1.0,openpilot 不按 desire 变道
lebowski,0.0,carla_p5v1_pdm,10-15,98,1.355,1.315,-1.377,2.141,1.0,之间
lebowski,0.0,carla_p5v1_pdm,>15,2,1.354,1.103,-1.726,1.803,1.0,之间
lebowski,0.0,pooled,5-10,300,0.677,0.725,-0.61,1.123,1.0,openpilot 不按 desire 变道
lebowski,0.0,pooled,10-15,99,1.352,1.295,-1.376,2.141,1.0,之间
lebowski,0.0,pooled,>15,2,1.354,1.103,-1.726,1.803,1.0,之间
lebowski,0.2,carla_p5v1_ba,5-10,150,0.64,0.699,-0.565,0.945,1.0,openpilot 不按 desire 变道
lebowski,0.2,carla_p5v1_ba,10-15,1,1.13,1.434,-0.827,1.373,1.0,之间
lebowski,0.2,carla_p5v1_ba,>15,0,,,,,,
lebowski,0.2,carla_p5v1_pdm,5-10,150,0.803,0.897,-0.734,1.289,1.0,之间
lebowski,0.2,carla_p5v1_pdm,10-15,98,1.216,1.216,-1.217,1.88,1.0,之间
lebowski,0.2,carla_p5v1_pdm,>15,2,1.358,1.262,-1.523,1.633,1.0,之间
lebowski,0.2,pooled,5-10,300,0.722,0.792,-0.641,1.147,1.0,openpilot 不按 desire 变道
lebowski,0.2,pooled,10-15,99,1.216,1.226,-1.205,1.878,1.0,之间
lebowski,0.2,pooled,>15,2,1.358,1.262,-1.523,1.633,1.0,之间
lebowski,1.0,carla_p5v1_ba,5-10,150,0.725,0.828,-0.622,1.032,1.0,openpilot 不按 desire 变道
lebowski,1.0,carla_p5v1_ba,10-15,1,0.567,0.836,-0.298,0.782,1.0,openpilot 不按 desire 变道
lebowski,1.0,carla_p5v1_ba,>15,0,,,,,,
lebowski,1.0,carla_p5v1_pdm,5-10,150,0.878,0.962,-0.79,1.248,1.0,之间
lebowski,1.0,carla_p5v1_pdm,10-15,98,1.027,1.142,-0.967,1.395,1.0,之间
lebowski,1.0,carla_p5v1_pdm,>15,2,1.238,1.552,-0.957,1.609,1.0,之间
lebowski,1.0,pooled,5-10,300,0.801,0.889,-0.706,1.148,1.0,之间
lebowski,1.0,pooled,10-15,99,1.027,1.142,-0.966,1.389,1.0,之间
lebowski,1.0,pooled,>15,2,1.238,1.552,-0.957,1.609,1.0,之间
