model,read_s,set,bin,n_targets,median_abs_dlat3,median_dlat3_left,median_dlat3_right,p90_abs_dlat3,dir_correct,verdict
cinque,0.0,carla_p6,5-10,33,0.735,0.946,-0.543,1.682,0.924,openpilot 不按 desire 变道
cinque,0.0,carla_p6,10-15,28,0.857,0.798,-1.136,1.72,0.946,之间
cinque,0.0,carla_p6,>15,1,1.511,1.265,-1.758,1.709,1.0,执行器可用
cinque,0.0,pooled,5-10,33,0.735,0.946,-0.543,1.682,0.924,openpilot 不按 desire 变道
cinque,0.0,pooled,10-15,28,0.857,0.798,-1.136,1.72,0.946,之间
cinque,0.0,pooled,>15,1,1.511,1.265,-1.758,1.709,1.0,执行器可用
cinque,0.2,carla_p6,5-10,33,0.58,0.656,-0.435,1.354,0.939,openpilot 不按 desire 变道
cinque,0.2,carla_p6,10-15,28,0.833,0.702,-0.855,2.003,0.946,之间
cinque,0.2,carla_p6,>15,1,0.222,0.195,0.248,0.243,0.5,openpilot 不按 desire 变道
cinque,0.2,pooled,5-10,33,0.58,0.656,-0.435,1.354,0.939,openpilot 不按 desire 变道
cinque,0.2,pooled,10-15,28,0.833,0.702,-0.855,2.003,0.946,之间
cinque,0.2,pooled,>15,1,0.222,0.195,0.248,0.243,0.5,openpilot 不按 desire 变道
cinque,1.0,carla_p6,5-10,33,0.506,0.464,-0.512,1.323,0.985,openpilot 不按 desire 变道
cinque,1.0,carla_p6,10-15,28,0.413,0.36,-0.624,1.389,0.964,openpilot 不按 desire 变道
cinque,1.0,carla_p6,>15,1,0.478,0.601,-0.355,0.577,1.0,openpilot 不按 desire 变道
cinque,1.0,pooled,5-10,33,0.506,0.464,-0.512,1.323,0.985,openpilot 不按 desire 变道
cinque,1.0,pooled,10-15,28,0.413,0.36,-0.624,1.389,0.964,openpilot 不按 desire 变道
cinque,1.0,pooled,>15,1,0.478,0.601,-0.355,0.577,1.0,openpilot 不按 desire 变道
lebowski,0.0,carla_p6,5-10,33,0.89,1.028,-0.642,1.648,0.955,之间
lebowski,0.0,carla_p6,10-15,28,1.142,1.144,-1.142,2.07,0.964,之间
lebowski,0.0,carla_p6,>15,1,1.687,1.72,-1.653,1.713,1.0,执行器可用
lebowski,0.0,pooled,5-10,33,0.89,1.028,-0.642,1.648,0.955,之间
lebowski,0.0,pooled,10-15,28,1.142,1.144,-1.142,2.07,0.964,之间
lebowski,0.0,pooled,>15,1,1.687,1.72,-1.653,1.713,1.0,执行器可用
lebowski,0.2,carla_p6,5-10,33,0.724,0.861,-0.474,1.642,0.985,openpilot 不按 desire 变道
lebowski,0.2,carla_p6,10-15,28,1.274,1.322,-1.225,2.298,0.964,之间
lebowski,0.2,carla_p6,>15,1,1.3,1.484,-1.117,1.447,1.0,之间
lebowski,0.2,pooled,5-10,33,0.724,0.861,-0.474,1.642,0.985,openpilot 不按 desire 变道
lebowski,0.2,pooled,10-15,28,1.274,1.322,-1.225,2.298,0.964,之间
lebowski,0.2,pooled,>15,1,1.3,1.484,-1.117,1.447,1.0,之间
lebowski,1.0,carla_p6,5-10,33,0.732,1.066,-0.399,1.657,0.97,openpilot 不按 desire 变道
lebowski,1.0,carla_p6,10-15,28,0.926,0.906,-0.849,1.99,0.946,之间
lebowski,1.0,carla_p6,>15,1,1.532,2.339,-0.725,2.178,1.0,执行器可用
lebowski,1.0,pooled,5-10,33,0.732,1.066,-0.399,1.657,0.97,openpilot 不按 desire 变道
lebowski,1.0,pooled,10-15,28,0.926,0.906,-0.849,1.99,0.946,之间
lebowski,1.0,pooled,>15,1,1.532,2.339,-0.725,2.178,1.0,执行器可用
